id_venta,id_cliente,id_propiedad,fecha_venta,canal_venta,estado_venta,precio_venta,comision_pct,comision_usd,descuento_pct,precio_m2,probabilidad_cierre,fecha_primera_compra,cohorte_cliente
SALE000038,CUST00341,PROP00265,2024-08-08,Broker,Cerrada,367699.0,0.05,18384.95,0.161,2723.7,1.0,2022-07-06,2022-07
SALE000039,CUST00524,PROP00654,2022-03-07,Broker,Cerrada,95213.0,0.05,4760.65,0.0981,129.89,1.0,2022-03-07,2022-03
SALE000040,CUST00541,PROP00802,2023-01-08,Digital,Cerrada,556068.0,0.03,16682.04,0.0721,3732.0,1.0,2022-10-18,2022-10
SALE000041,CUST00045,PROP00699,2022-05-25,Referral,Cerrada,394570.0,0.04,15782.8,0.03,4242.69,1.0,2022-05-25,2022-05
SALE000042,CUST00445,PROP00666,2023-06-07,Broker,Cerrada,246663.0,0.05,12333.15,0.1771,2710.58,1.0,2023-03-14,2023-03
SALE000043,CUST00218,PROP00509,2022-09-20,Digital,Cerrada,192824.0,0.03,5784.72,0.1704,3268.2,1.0,2022-09-20,2022-09
SALE000044,CUST00591,PROP00335,2024-11-10,Digital,Cerrada,506682.0,0.03,15200.46,0.0952,1933.9,1.0,2022-08-29,2022-08
SALE000045,CUST00143,PROP00230,2023-09-13,Direct,Cerrada,214439.0,0.025,5360.98,0.1643,1111.08,1.0,2023-09-13,2023-09
SALE000046,CUST00022,PROP00852,2024-09-19,Digital,Cerrada,718915.0,0.03,21567.45,0.1341,4357.06,1.0,2022-04-24,2022-04
SALE000047,CUST00432,PROP00470,2022-11-04,Broker,Cerrada,208613.0,0.05,10430.65,0.1157,1152.56,1.0,2022-04-13,2022-04
SALE000048,CUST00359,PROP00508,2022-02-01,Broker,Cerrada,231880.0,0.05,11594.0,0.086,1012.58,1.0,2022-02-01,2022-02
SALE000049,CUST00361,PROP00014,2024-04-24,Digital,Cerrada,671598.0,0.03,20147.94,0.1611,3153.04,1.0,2022-03-11,2022-03
SALE000050,CUST00172,PROP00413,2024-02-14,Broker,Cerrada,313858.0,0.05,15692.9,0.0987,3138.58,1.0,2024-02-14,2024-02
SALE000051,CUST00322,PROP00614,2023-08-27,Direct,Cerrada,195125.0,0.025,4878.12,0.0767,975.62,1.0,2023-08-27,2023-08
SALE000052,CUST00627,PROP00446,2024-06-10,Direct,Cerrada,327192.0,0.025,8179.8,0.0425,3207.76,1.0,2022-04-22,2022-04
SALE000053,CUST00497,PROP00553,2024-07-10,Direct,Cerrada,666695.0,0.025,16667.38,0.1298,2283.2,1.0,2022-11-05,2022-11
SALE000054,CUST00641,PROP00729,2023-10-14,Broker,Cerrada,210170.0,0.05,10508.5,0.0956,3821.27,1.0,2022-05-15,2022-05
SALE000055,CUST00217,PROP00020,2024-11-23,Referral,Cerrada,383846.0,0.04,15353.84,0.0597,5905.32,1.0,2023-04-29,2023-04
SALE000056,CUST00566,PROP00814,2024-03-05,Digital,Cerrada,493899.0,0.03,14816.97,0.1497,1259.95,1.0,2022-09-02,2022-09
SALE000057,CUST00249,PROP00736,2024-01-14,Broker,Cerrada,398558.0,0.05,19927.9,0.1074,2674.89,1.0,2022-01-13,2022-01
SALE000058,CUST00609,PROP00378,2023-02-04,Broker,Cancelada,414587.0,0.05,20729.35,0.0951,5922.67,0.0,2024-11-23,2024-11
SALE000059,CUST00563,PROP00688,2022-01-03,Broker,Cerrada,155697.0,0.05,7784.85,0.1701,798.45,1.0,2022-01-03,2022-01
SALE000060,CUST00108,PROP00060,2022-10-01,Broker,Cerrada,338171.0,0.05,16908.55,0.1374,1530.19,1.0,2022-10-01,2022-10
SALE000061,CUST00632,PROP00278,2024-04-14,Direct,Cancelada,298956.0,0.025,7473.9,0.1103,864.03,0.0,2023-03-25,2023-03
SALE000062,CUST00395,PROP00097,2024-02-23,Referral,Cerrada,429227.0,0.04,17169.08,0.0562,7036.51,1.0,2022-03-26,2022-03
SALE000063,CUST00505,PROP00572,2022-12-29,Broker,Cerrada,283700.0,0.05,14185.0,0.1951,1228.14,1.0,2022-04-29,2022-04
SALE000064,CUST00377,PROP00771,2023-11-17,Digital,Cerrada,381247.0,0.03,11437.41,0.1142,1406.82,1.0,2022-01-28,2022-01
SALE000065,CUST00142,PROP00542,2022-08-06,Broker,Cerrada,553448.0,0.05,27672.4,0.1621,4854.81,1.0,2022-08-06,2022-08
SALE000066,CUST00641,PROP00641,2022-10-22,Broker,Cerrada,346579.0,0.05,17328.95,0.0898,1468.56,1.0,2022-05-15,2022-05
SALE000067,CUST00074,PROP00129,2024-11-06,Broker,Cerrada,225200.0,0.05,11260.0,0.1016,3217.14,1.0,2023-06-27,2023-06
SALE000068,CUST00526,PROP00841,2023-03-29,Digital,Cerrada,330596.0,0.03,9917.88,0.1056,3339.35,1.0,2022-02-14,2022-02
SALE000069,CUST00136,PROP00174,2022-10-05,Digital,Cerrada,302026.0,0.03,9060.78,0.0938,1059.74,1.0,2022-10-05,2022-10
SALE000070,CUST00511,PROP00474,2023-06-17,Referral,Cancelada,320129.0,0.04,12805.16,0.1296,4104.22,0.0,2022-05-07,2022-05
SALE000071,CUST00275,PROP00615,2023-03-06,Referral,Cerrada,346171.0,0.04,13846.84,0.1299,3205.29,1.0,2022-01-19,2022-01
SALE000072,CUST00154,PROP00771,2024-03-14,Broker,En negociación,389973.0,0.05,19498.65,0.0939,1439.01,0.46,2023-02-22,2023-02
SALE000073,CUST00154,PROP00841,2024-11-19,Referral,Cerrada,310895.0,0.04,12435.8,0.1589,3140.35,1.0,2023-02-22,2023-02
SALE000074,CUST00208,PROP00539,2023-10-17,Broker,Cancelada,385539.0,0.05,19276.95,0.0864,1918.1,0.0,2023-01-04,2023-01
SALE000075,CUST00586,PROP00519,2023-10-16,Broker,Cerrada,490175.0,0.05,24508.75,0.1073,1424.93,1.0,2023-10-16,2023-10
SALE000076,CUST00501,PROP00376,2023-02-08,Digital,Cancelada,293271.0,0.03,8798.13,0.0418,1638.39,0.0,2022-08-30,2022-08
SALE000077,CUST00436,PROP00512,2023-09-20,Broker,En negociación,180676.0,0.05,9033.8,0.1534,3474.54,0.68,2023-03-17,2023-03
SALE000078,CUST00410,PROP00608,2022-12-15,Broker,Cerrada,240097.0,0.05,12004.85,0.1278,3429.96,1.0,2022-02-16,2022-02
SALE000079,CUST00271,PROP00583,2022-01-02,Broker,Cerrada,546028.0,0.05,27301.4,0.1889,1625.08,1.0,2022-01-02,2022-01
SALE000080,CUST00586,PROP00534,2024-08-11,Broker,Cerrada,385504.0,0.05,19275.2,0.0593,2177.99,1.0,2023-10-16,2023-10
SALE000081,CUST00178,PROP00397,2023-04-13,Direct,Cerrada,628231.0,0.025,15705.78,0.0719,8725.43,1.0,2023-04-13,2023-04
SALE000082,CUST00613,PROP00177,2023-06-23,Broker,Cerrada,223930.0,0.05,11196.5,0.1072,1251.01,1.0,2022-09-30,2022-09
SALE000083,CUST00248,PROP00049,2022-04-02,Digital,Cerrada,462812.0,0.03,13884.36,0.0635,2423.1,1.0,2022-02-05,2022-02
SALE000084,CUST00222,PROP00379,2024-07-06,Direct,Cerrada,346728.0,0.025,8668.2,0.1345,1742.35,1.0,2022-07-19,2022-07
SALE000085,CUST00310,PROP00357,2022-07-07,Digital,Cerrada,381318.0,0.03,11439.54,0.088,1371.65,1.0,2022-07-07,2022-07
SALE000086,CUST00487,PROP00548,2023-03-27,Digital,En negociación,365690.0,0.03,10970.7,0.0528,2593.55,0.45,2022-11-02,2022-11
SALE000087,CUST00464,PROP00811,2024-07-10,Direct,Cerrada,570831.0,0.025,14270.78,0.1656,2274.23,1.0,2023-04-26,2023-04
SALE000088,CUST00499,PROP00632,2023-05-12,Broker,Cancelada,177498.0,0.05,8874.9,0.0624,2275.62,0.0,2023-11-10,2023-11
SALE000089,CUST00059,PROP00725,2024-10-22,Broker,Cerrada,164582.0,0.05,8229.1,0.0653,835.44,1.0,2022-04-19,2022-04
SALE000090,CUST00105,PROP00521,2022-08-23,Digital,Cerrada,308295.0,0.03,9248.85,0.0418,1976.25,1.0,2022-08-23,2022-08
SALE000091,CUST00552,PROP00835,2024-03-01,Digital,Cerrada,354927.0,0.03,10647.81,0.0599,2350.51,1.0,2022-01-31,2022-01
SALE000092,CUST00638,PROP00846,2024-12-05,Referral,Cancelada,620071.0,0.04,24802.84,0.1329,1949.91,0.0,2022-03-09,2022-03
SALE000093,CUST00083,PROP00138,2023-09-01,Broker,Cerrada,812396.0,0.05,40619.8,0.1196,8123.96,1.0,2023-06-19,2023-06
SALE000094,CUST00588,PROP00576,2024-02-01,Digital,Cerrada,292320.0,0.03,8769.6,0.1642,661.36,1.0,2022-06-26,2022-06
SALE000095,CUST00171,PROP00456,2023-03-11,Referral,Cerrada,835485.0,0.04,33419.4,0.0593,4829.39,1.0,2023-03-11,2023-03
SALE000096,CUST00637,PROP00875,2024-04-02,Direct,Cerrada,634577.0,0.025,15864.42,0.1554,2478.82,1.0,2023-06-28,2023-06
SALE000097,CUST00646,PROP00527,2024-10-02,Broker,Cerrada,292301.0,0.05,14615.05,0.0561,5621.17,1.0,2022-08-02,2022-08
SALE000098,CUST00414,PROP00015,2024-02-15,Broker,Cerrada,758189.0,0.05,37909.45,0.1739,3559.57,1.0,2023-08-26,2023-08
SALE000099,CUST00124,PROP00189,2024-10-26,Direct,Cerrada,436730.0,0.025,10918.25,0.1543,1521.71,1.0,2022-07-20,2022-07
SALE000100,CUST00513,PROP00117,2023-10-14,Digital,Cancelada,340776.0,0.03,10223.28,0.1731,2816.33,0.0,2022-05-17,2022-05
SALE000101,CUST00066,PROP00181,2023-10-04,Broker,Cerrada,420424.0,0.05,21021.2,0.0784,1281.78,1.0,2023-10-04,2023-10
SALE000102,CUST00218,PROP00087,2022-11-28,Broker,Cerrada,142399.0,0.05,7119.95,0.1593,1564.82,1.0,2022-09-20,2022-09
SALE000103,CUST00415,PROP00704,2024-02-23,Referral,Cerrada,410953.0,0.04,16438.12,0.1484,1851.14,1.0,2023-11-15,2023-11
SALE000104,CUST00044,PROP00445,2024-08-30,Digital,En negociación,177499.0,0.03,5324.97,0.1688,1570.79,0.44,2022-06-24,2022-06
SALE000105,CUST00256,PROP00605,2023-12-07,Digital,Cerrada,212972.0,0.03,6389.16,0.1423,858.76,1.0,2022-01-11,2022-01
SALE000106,CUST00519,PROP00900,2022-09-21,Referral,Cerrada,358445.0,0.04,14337.8,0.0294,998.45,1.0,2022-01-07,2022-01
SALE000107,CUST00060,PROP00583,2023-08-25,Broker,Cerrada,580336.0,0.05,29016.8,0.138,1727.19,1.0,2023-08-09,2023-08
SALE000108,CUST00239,PROP00432,2024-04-06,Broker,Cancelada,341155.0,0.05,17057.75,0.1722,7416.41,0.0,2022-02-13,2022-02
SALE000109,CUST00003,PROP00241,2024-10-29,Digital,Cerrada,377392.0,0.03,11321.76,0.1661,4659.16,1.0,2022-01-01,2022-01
SALE000110,CUST00428,PROP00680,2022-06-20,Direct,Cerrada,180609.0,0.025,4515.23,0.177,976.26,1.0,2022-06-20,2022-06
SALE000111,CUST00052,PROP00457,2022-05-15,Broker,Cerrada,430496.0,0.05,21524.8,0.144,4262.34,1.0,2022-05-15,2022-05
SALE000112,CUST00183,PROP00682,2023-03-29,Referral,Cerrada,695307.0,0.04,27812.28,0.1624,2228.55,1.0,2023-03-29,2023-03
SALE000113,CUST00340,PROP00021,2022-05-13,Broker,Cerrada,575056.0,0.05,28752.8,0.1975,1349.9,1.0,2022-02-26,2022-02
SALE000114,CUST00140,PROP00147,2024-12-08,Broker,Cerrada,577371.0,0.05,28868.55,0.1959,1297.46,1.0,2022-01-10,2022-01
SALE000115,CUST00151,PROP00117,2023-04-09,Direct,Cerrada,358919.0,0.025,8972.98,0.129,2966.27,1.0,2022-07-24,2022-07
SALE000116,CUST00543,PROP00614,2023-08-13,Broker,Cerrada,196644.0,0.05,9832.2,0.0695,983.22,1.0,2023-02-04,2023-02
SALE000117,CUST00506,PROP00467,2022-09-14,Broker,Cerrada,373129.0,0.05,18656.45,0.1939,2870.22,1.0,2022-09-14,2022-09
SALE000118,CUST00053,PROP00286,2023-05-01,Referral,Cerrada,334711.0,0.04,13388.44,0.0714,1049.25,1.0,2023-02-25,2023-02
SALE000119,CUST00558,PROP00279,2024-12-13,Broker,Cerrada,448254.0,0.05,22412.7,0.1133,2606.13,1.0,2022-01-10,2022-01
SALE000120,CUST00305,PROP00547,2023-06-19,Digital,Cerrada,537389.0,0.03,16121.67,0.052,2326.36,1.0,2022-07-16,2022-07
SALE000121,CUST00095,PROP00870,2022-01-11,Referral,Cerrada,273495.0,0.04,10939.8,0.1506,1163.81,1.0,2022-01-11,2022-01
SALE000122,CUST00590,PROP00896,2022-10-02,Broker,Cerrada,131294.0,0.05,6564.7,0.0724,462.3,1.0,2022-10-02,2022-10
SALE000123,CUST00220,PROP00425,2024-12-05,Digital,Cerrada,624509.0,0.03,18735.27,0.0486,1720.41,1.0,2023-12-05,2023-12
SALE000124,CUST00212,PROP00604,2024-12-18,Broker,Cerrada,495800.0,0.05,24790.0,0.0609,10778.26,1.0,2022-01-10,2022-01
SALE000125,CUST00096,PROP00076,2022-08-25,Broker,En negociación,363614.0,0.05,18180.7,0.0682,1007.24,0.5,2023-01-01,2023-01
SALE000126,CUST00577,PROP00851,2023-11-07,Referral,Cerrada,681891.0,0.04,27275.64,0.1602,4315.77,1.0,2022-01-05,2022-01
SALE000127,CUST00187,PROP00017,2022-03-27,Broker,Cerrada,165144.0,0.05,8257.2,0.0475,151.65,1.0,2022-03-27,2022-03
SALE000128,CUST00386,PROP00309,2023-10-04,Referral,Cancelada,306204.0,0.04,12248.16,0.0496,207.88,0.0,2022-06-25,2022-06
SALE000129,CUST00156,PROP00653,2022-05-13,Direct,Cerrada,867105.0,0.025,21677.62,0.146,5319.66,1.0,2022-01-13,2022-01
SALE000130,CUST00583,PROP00873,2024-06-14,Referral,Cerrada,596266.0,0.04,23850.64,0.1536,1790.59,1.0,2022-06-07,2022-06
SALE000131,CUST00512,PROP00155,2024-10-30,Broker,Cerrada,427589.0,0.05,21379.45,0.0408,2007.46,1.0,2022-03-24,2022-03
SALE000132,CUST00327,PROP00595,2022-07-10,Broker,Cerrada,293332.0,0.05,14666.6,0.1847,3577.22,1.0,2022-05-22,2022-05
SALE000133,CUST00225,PROP00170,2023-05-18,Direct,Cerrada,290598.0,0.025,7264.95,0.0557,187.85,1.0,2022-03-17,2022-03
SALE000134,CUST00426,PROP00046,2022-04-18,Digital,Cerrada,330127.0,0.03,9903.81,0.1279,5001.92,1.0,2022-04-18,2022-04
SALE000135,CUST00323,PROP00382,2023-01-08,Referral,Cerrada,670942.0,0.04,26837.68,0.0642,4564.23,1.0,2022-05-09,2022-05
SALE000136,CUST00612,PROP00519,2022-03-16,Referral,Cerrada,458318.0,0.04,18332.72,0.1653,1332.32,1.0,2022-03-16,2022-03
SALE000137,CUST00439,PROP00238,2022-10-22,Broker,Cerrada,945936.0,0.05,47296.8,0.0878,9183.84,1.0,2022-03-15,2022-03
SALE000138,CUST00018,PROP00876,2024-12-20,Broker,Cerrada,523309.0,0.05,26165.45,0.1337,2669.94,1.0,2024-12-20,2024-12
SALE000139,CUST00535,PROP00555,2022-02-24,Digital,En negociación,206525.0,0.03,6195.75,0.0458,2005.1,0.48,2022-11-29,2022-11
SALE000140,CUST00126,PROP00395,2024-08-02,Digital,Cerrada,423657.0,0.03,12709.71,0.1513,1291.64,1.0,2024-08-02,2024-08
SALE000141,CUST00196,PROP00438,2022-03-27,Broker,Cerrada,222988.0,0.05,11149.4,0.1747,231.56,1.0,2022-03-27,2022-03
SALE000142,CUST00284,PROP00418,2023-08-07,Digital,Cerrada,328928.0,0.03,9867.84,0.1521,1274.91,1.0,2023-04-29,2023-04
SALE000143,CUST00136,PROP00101,2023-05-05,Referral,Cerrada,597832.0,0.04,23913.28,0.1674,3690.32,1.0,2022-10-05,2022-10
SALE000144,CUST00613,PROP00546,2024-10-22,Broker,Cerrada,656133.0,0.05,32806.65,0.0519,2012.68,1.0,2022-09-30,2022-09
SALE000145,CUST00636,PROP00707,2022-08-11,Broker,Cerrada,206919.0,0.05,10345.95,0.192,802.01,1.0,2022-07-16,2022-07
SALE000146,CUST00102,PROP00380,2022-07-18,Referral,Cerrada,140869.0,0.04,5634.76,0.1479,428.17,1.0,2022-07-18,2022-07
SALE000147,CUST00209,PROP00384,2024-03-31,Referral,Cerrada,195373.0,0.04,7814.92,0.0504,880.06,1.0,2022-12-29,2022-12
SALE000148,CUST00241,PROP00820,2024-03-10,Direct,Cerrada,660872.0,0.025,16521.8,0.1405,5648.48,1.0,2024-03-10,2024-03
SALE000149,CUST00437,PROP00550,2024-02-10,Broker,Cerrada,729423.0,0.05,36471.15,0.1611,2481.03,1.0,2023-09-02,2023-09
SALE000150,CUST00389,PROP00269,2022-02-01,Direct,Cerrada,280759.0,0.025,7018.98,0.0724,1226.02,1.0,2022-02-01,2022-02
SALE000151,CUST00441,PROP00004,2022-10-18,Referral,Cerrada,282386.0,0.04,11295.44,0.1162,482.71,1.0,2022-10-12,2022-10
SALE000152,CUST00021,PROP00741,2024-07-10,Referral,Cerrada,148730.0,0.04,5949.2,0.0463,1018.7,1.0,2022-02-13,2022-02
SALE000153,CUST00335,PROP00564,2023-10-25,Broker,Cerrada,587479.0,0.05,29373.95,0.0958,8159.43,1.0,2023-10-25,2023-10
SALE000154,CUST00138,PROP00564,2023-10-26,Broker,Cerrada,540389.0,0.05,27019.45,0.1683,7505.4,1.0,2022-06-21,2022-06
SALE000155,CUST00149,PROP00255,2022-11-20,Digital,Cerrada,280508.0,0.03,8415.24,0.0852,1257.88,1.0,2022-03-26,2022-03
SALE000156,CUST00504,PROP00168,2022-10-18,Broker,En negociación,163506.0,0.05,8175.3,0.0691,2239.81,0.5,2023-11-08,2023-11
SALE000157,CUST00092,PROP00445,2024-11-05,Broker,Cerrada,182050.0,0.05,9102.5,0.1475,1611.06,1.0,2022-12-25,2022-12
SALE000158,CUST00021,PROP00683,2024-03-12,Direct,Cerrada,389131.0,0.025,9728.28,0.0622,1074.95,1.0,2022-02-13,2022-02
SALE000159,CUST00317,PROP00268,2022-05-14,Broker,Cerrada,301849.0,0.05,15092.45,0.1307,2719.36,1.0,2022-05-14,2022-05
SALE000160,CUST00479,PROP00475,2024-10-28,Direct,Cerrada,413193.0,0.025,10329.83,0.0931,1700.38,1.0,2023-12-14,2023-12
SALE000161,CUST00333,PROP00897,2023-10-09,Digital,Cerrada,280582.0,0.03,8417.46,0.0722,4755.63,1.0,2022-03-27,2022-03
SALE000162,CUST00105,PROP00198,2023-01-01,Referral,Cerrada,312741.0,0.04,12509.64,0.1703,1895.4,1.0,2022-08-23,2022-08
SALE000163,CUST00503,PROP00208,2023-03-15,Broker,Cerrada,659318.0,0.05,32965.9,0.1318,12209.59,1.0,2022-09-24,2022-09
SALE000164,CUST00249,PROP00213,2024-03-10,Digital,Cerrada,544341.0,0.03,16330.23,0.1754,1340.74,1.0,2022-01-13,2022-01
SALE000165,CUST00462,PROP00822,2023-02-22,Digital,Cerrada,410082.0,0.03,12302.46,0.0696,3037.64,1.0,2022-07-01,2022-07
SALE000166,CUST00132,PROP00476,2023-10-05,Direct,En negociación,521398.0,0.025,13034.95,0.0828,3980.14,0.37,2022-09-12,2022-09
SALE000167,CUST00593,PROP00827,2024-02-24,Broker,Cerrada,654929.0,0.05,32746.45,0.1374,4337.28,1.0,2023-03-21,2023-03
SALE000168,CUST00185,PROP00853,2022-08-06,Broker,Cerrada,597822.0,0.05,29891.1,0.184,2290.51,1.0,2022-08-06,2022-08
SALE000169,CUST00632,PROP00379,2024-11-03,Direct,Cerrada,387845.0,0.025,9696.12,0.0319,1948.97,1.0,2023-03-25,2023-03
SALE000170,CUST00246,PROP00050,2023-01-29,Broker,Cerrada,628432.0,0.05,31421.6,0.1397,1372.12,1.0,2022-03-31,2022-03
SALE000171,CUST00474,PROP00274,2023-04-04,Digital,Cerrada,261210.0,0.03,7836.3,0.1495,1729.87,1.0,2023-04-04,2023-04
SALE000172,CUST00327,PROP00490,2024-02-09,Broker,Cerrada,244222.0,0.05,12211.1,0.1831,1009.18,1.0,2022-05-22,2022-05
SALE000173,CUST00050,PROP00343,2023-11-01,Broker,Cerrada,657288.0,0.05,32864.4,0.123,1507.54,1.0,2023-11-01,2023-11
SALE000174,CUST00064,PROP00003,2023-04-23,Digital,Cerrada,524501.0,0.03,15735.03,0.1468,2609.46,1.0,2022-08-03,2022-08
SALE000175,CUST00264,PROP00891,2023-12-11,Digital,Cerrada,442493.0,0.03,13274.79,0.0566,3847.77,1.0,2023-10-07,2023-10
SALE000176,CUST00126,PROP00273,2024-09-25,Digital,Cerrada,374738.0,0.03,11242.14,0.0879,827.24,1.0,2024-08-02,2024-08
SALE000177,CUST00396,PROP00557,2024-05-22,Digital,Cerrada,224380.0,0.03,6731.4,0.183,1121.9,1.0,2022-11-30,2022-11
SALE000178,CUST00090,PROP00853,2024-06-21,Referral,Cerrada,667055.0,0.04,26682.2,0.0895,2555.77,1.0,2022-05-30,2022-05
SALE000179,CUST00384,PROP00491,2022-10-17,Direct,Cerrada,210110.0,0.025,5252.75,0.1429,3444.43,1.0,2022-10-17,2022-10
SALE000180,CUST00134,PROP00626,2023-04-04,Broker,Cerrada,322039.0,0.05,16101.95,0.2049,3833.8,1.0,2022-03-28,2022-03
SALE000181,CUST00118,PROP00033,2023-09-06,Broker,Cerrada,586144.0,0.05,29307.2,0.1175,3330.36,1.0,2022-03-03,2022-03
SALE000182,CUST00239,PROP00628,2022-02-24,Broker,Cerrada,717974.0,0.05,35898.7,0.1799,2826.67,1.0,2022-02-13,2022-02
SALE000183,CUST00379,PROP00764,2024-04-19,Referral,Cerrada,578668.0,0.04,23146.72,0.0361,2937.4,1.0,2024-04-19,2024-04
SALE000184,CUST00260,PROP00827,2022-12-20,Broker,En negociación,674904.0,0.05,33745.2,0.1111,4469.56,0.55,2022-08-20,2022-08
