cliente_id,region,dispositivo,canal_adquisicion,segmento,edad,meses_antiguedad,visitas_mes,compras_mes,tiempo_app_min,gasto_marketing,satisfaccion,usa_cupon,abandono,ticket_promedio,ingreso_generado
NR100023,Medellín,mobile,email,nuevo,30.0,19,14,2,109.3,50.65,2.7,1,0,95594,249973
NR100024,Medellín,mobile,paid_search,recurrente,23.0,23,13,4,72.8,139.55,3.1,1,0,147794,777948
NR100025,Barranquilla,desktop,paid_search,nuevo,18.0,13,4,0,44.9,45.56,1.7,0,0,57960,71292
NR100026,Bogotá,mobile,social_ads,premium,43.0,4,10,6,75.6,59.04,,0,0,203552,1233558
NR100027,Medellín,mobile,email,recurrente,22.0,27,3,0,25.0,13.34,1.9,1,0,185071,104896
NR100028,Cali,mobile,organico,nuevo,32.0,12,2,1,55.2,3.57,1.6,0,0,141907,237253
NR100029,Bogotá,mobile,paid_search,recurrente,41.0,5,5,2,76.8,31.07,2.6,0,0,193770,393906
NR100030,Cali,mobile,organico,recurrente,28.0,14,6,0,77.2,9.18,2.3,1,0,83588,242101
NR100031,Bogotá,mobile,social_ads,premium,27.0,28,12,2,146.9,40.88,4.0,0,0,272769,748368
NR100032,Bogotá,mobile,organico,premium,36.0,11,12,2,81.2,3.34,4.3,0,0,169903,617159
NR100033,Bucaramanga,DESKTOP,social_ads,recurrente,44.0,1,11,0,67.2,6.56,3.2,1,0,119376,203256
NR100034,Bucaramanga,mobile,paid_search,recurrente,23.0,12,13,1,110.8,23.66,3.2,0,1,106099,341330
NR100035,Barranquilla,mobile,organico,recurrente,33.0,9,4,2,84.6,13.99,3.8,0,0,86015,287071
NR100036,Bogotá,mobile,referido,recurrente,18.0,16,12,4,109.4,29.19,4.7,0,0,138613,729518
NR100037,Bogotá,tablet,organico,nuevo,30.0,15,6,0,45.7,16.77,2.4,0,1,140300,77945
NR100038,Cali,mobile,paid_search,nuevo,34.0,10,13,0,92.9,65.18,3.5,0,0,115571,164966
NR100039,Medellín,mobile,organico,recurrente,26.0,10,7,1,50.4,26.57,3.3,0,0,140622,262667
NR100040,Bogotá,mobile,paid_search,nuevo,30.0,33,7,1,48.9,47.01,3.7,0,1,83229,119812
NR100041,Medellín,mobile,paid_search,nuevo,21.0,21,7,0,63.5,52.38,3.0,1,0,100946,2178
NR100042,Bogotá,mobile,paid_search,recurrente,35.0,20,8,3,124.1,50.08,2.8,0,0,142818,569011
NR100043,Bucaramanga,desktop,organico,nuevo,44.0,26,9,0,57.5,5.56,3.1,0,1,44308,86682
NR100044,Bogotá,desktop,paid_search,recurrente,24.0,12,8,2,73.9,66.16,2.8,0,1,157208,413013
NR100045,Cali,mobile,social_ads,recurrente,28.0,39,5,1,22.3,11.18,2.5,1,0,130578,319858
NR100046,Bogotá,mobile,email,premium,39.0,18,15,7,105.1,33.8,5.0,1,0,259124,1974724
NR100047,Medellín,mobile,social_ads,recurrente,45.0,16,10,3,93.0,82.99,3.7,0,1,107646,450331
NR100048,Medellín,desktop,social_ads,nuevo,21.0,18,8,1,77.1,85.42,1.6,0,0,103854,261919
NR100049,Bogotá,desktop,organico,recurrente,32.0,12,10,2,121.7,4.3,1.0,0,0,131855,466322
NR100050,Bucaramanga,mobile,paid_search,premium,37.0,9,10,2,56.0,32.07,3.8,0,0,173439,387910
NR100051,Barranquilla,mobile,organico,premium,33.0,30,9,2,78.8,11.09,3.4,1,0,125337,416508
NR100052,Bucaramanga,mobile,organico,recurrente,18.0,6,5,1,47.0,6.71,3.3,0,0,147292,152362
NR100053,Bucaramanga,mobile,organico,nuevo,39.0,6,6,0,60.5,15.35,3.4,0,0,83395,59344
NR100054,Cali,mobile,paid_search,premium,48.0,13,11,0,58.4,50.85,3.7,0,0,166845,86976
NR100055,Bucaramanga,mobile,social_ads,nuevo,35.0,7,4,0,9.7,31.98,2.5,0,1,69456,0
NR100056,Bogotá,desktop,referido,recurrente,25.0,4,7,0,71.5,14.08,4.0,0,0,83880,3552
NR100057,Bogotá,mobile,organico,recurrente,29.0,6,7,3,59.1,11.44,2.6,0,0,127126,467371
NR100058,Bogotá,mobile,social_ads,nuevo,50.0,8,10,0,61.9,22.26,4.2,0,0,81851,107839
NR100059,Medellín,desktop,email,nuevo,42.0,19,12,1,80.9,70.42,3.8,1,0,71834,234089
NR100060,Medellín,mobile,social_ads,nuevo,40.0,13,8,0,60.0,82.86,2.6,0,0,104829,75514
NR100061,Bogotá,mobile,organico,recurrente,37.0,27,9,0,1.0,6.13,3.6,0,0,76063,152068
NR100062,Barranquilla,mobile,organico,premium,28.0,6,13,3,59.6,5.53,3.8,1,0,130920,528715
NR100063,Medellín,mobile,organico,nuevo,32.0,7,8,1,60.5,4.75,4.5,1,1,106971,156794
NR100064,Bogotá,desktop,paid_search,premium,33.0,17,10,0,117.7,51.86,3.2,1,0,238623,206664
NR100065,Medellín,mobile,email,nuevo,39.0,9,5,0,30.5,9.63,3.9,1,0,101470,27754
NR100066,Bogotá,mobile,organico,recurrente,48.0,11,9,1,61.6,8.2,2.2,1,0,148350,327452
NR100067,Barranquilla,mobile,organico,nuevo,44.0,6,5,0,80.6,7.19,,0,1,54881,107515
NR100068,Bogotá,desktop,social_ads,premium,21.0,6,8,0,76.1,16.98,4.0,0,0,107726,216356
NR100069,Bucaramanga,desktop,email,recurrente,36.0,8,10,2,88.3,17.02,4.0,0,0,134462,464810
NR100070,Barranquilla,mobile,paid_search,recurrente,41.0,28,7,1,66.1,32.9,3.7,1,0,83936,298329
NR100071,Bogotá,mobile,social_ads,premium,40.0,5,9,2,33.9,49.58,3.7,0,0,122519,167464
NR100072,Bogotá,desktop,paid_search,recurrente,28.0,30,8,2,37.8,18.68,1.8,0,0,89729,178379
NR100073,Barranquilla,mobile,organico,premium,60.0,26,10,6,82.9,2.77,3.3,1,0,129969,970094
NR100074,Cali,desktop,paid_search,recurrente,23.0,10,9,3,73.0,,1.8,0,0,138487,487938
NR100075,Cali,desktop,social_ads,premium,24.0,15,8,2,99.1,47.68,3.7,1,1,47988,319633
NR100076,Barranquilla,desktop,referido,recurrente,36.0,18,12,0,74.1,15.05,4.2,0,0,197883,103367
NR100077,Bogotá,mobile,organico,nuevo,53.0,22,11,3,74.2,6.05,2.9,0,0,114537,533376
NR100078,Medellín,mobile,paid_search,recurrente,26.0,7,10,0,60.8,59.66,2.9,0,0,90445,129582
NR100079,Bogotá,desktop,paid_search,nuevo,32.0,24,5,0,81.2,23.83,2.7,0,0,106318,104311
NR100080,Barranquilla,mobile,paid_search,recurrente,44.0,15,10,0,69.8,19.08,3.4,0,0,74782,63470
NR100081,Cali,mobile,organico,recurrente,34.0,7,5,0,65.7,2.64,3.3,0,0,121550,112531
NR100082,Medellín,desktop,paid_search,recurrente,31.0,16,3,0,33.9,64.97,2.8,1,0,92909,57083
NR100083,Bogotá,desktop,email,nuevo,39.0,7,9,0,21.4,67.22,2.4,1,0,117130,16293
NR100084,Bogotá,mobile,social_ads,nuevo,36.0,14,6,2,80.6,24.55,4.0,0,1,94887,174383
NR100085,Medellín,mobile,paid_search,recurrente,43.0,10,8,3,85.7,20.44,4.5,0,0,148038,573163
NR100086,Cali,mobile,paid_search,premium,46.0,16,6,1,81.5,590.73,4.5,0,0,240198,1252359
NR100087,Cali,desktop,paid_search,recurrente,37.0,17,3,0,46.5,94.95,2.2,0,0,89238,82293
NR100088,Bucaramanga,tablet,paid_search,recurrente,37.0,32,4,1,107.0,33.83,,0,0,103947,289332
NR100089,Medellín,mobile,email,recurrente,36.0,22,12,2,64.7,18.96,3.2,0,1,150994,366651
NR100090,Bogotá,mobile,referido,recurrente,38.0,19,7,1,39.5,17.89,4.5,1,0,183027,216450
NR100091,Cali,desktop,paid_search,nuevo,34.0,3,7,2,65.4,150.8,1.7,1,1,109592,349333
NR100092,Barranquilla,mobile,paid_search,recurrente,34.0,27,5,0,44.5,21.6,2.9,0,1,82332,15709
NR100093,Cali,mobile,email,nuevo,45.0,11,10,0,62.7,11.26,4.6,1,0,60573,123557
NR100094,Barranquilla,tablet,paid_search,premium,48.0,6,12,1,77.2,42.08,4.7,0,0,158300,328885
NR100095,Medellín,mobile,social_ads,nuevo,20.0,49,3,0,37.5,1.8,3.4,1,0,128657,121574
NR100096,Medellín,desktop,organico,nuevo,34.0,9,6,0,42.2,10.91,2.2,0,0,123531,72350
NR100097,Medellín,mobile,email,nuevo,28.0,35,9,1,48.0,28.21,4.6,0,0,127832,265099
NR100098,Bogotá,mobile,social_ads,nuevo,31.0,18,7,1,75.6,22.12,3.2,1,0,66919,230155
NR100099,Bogotá,desktop,email,recurrente,38.0,21,6,2,92.4,22.56,1.5,0,1,108144,343519
NR100100,Bogotá,mobile,email,nuevo,40.0,14,7,0,129.9,28.1,4.4,0,0,106603,261285
NR100101,Cali,tablet,organico,nuevo,33.0,7,9,2,83.9,7.85,2.6,1,0,105538,392634
NR100102,Bogotá,mobile,social_ads,recurrente,18.0,23,8,3,103.4,14.69,5.0,0,0,143569,693899
NR100103,Medellín,mobile,email,nuevo,25.0,17,5,1,61.8,42.87,3.2,0,1,117510,81679
NR100104,Bucaramanga,mobile,paid_search,nuevo,42.0,17,6,0,69.7,33.49,3.6,1,0,33870,59699
NR100105,Bogotá,mobile,organico,premium,18.0,15,15,2,93.4,12.04,4.0,1,0,103593,345570
NR100106,Medellín,mobile,organico,recurrente,45.0,12,8,3,72.3,12.44,3.3,1,1,126804,402929
NR100107,Barranquilla,mobile,paid_search,premium,39.0,23,17,5,114.2,63.41,5.0,0,0,152851,1061670
NR100108,Bogotá,mobile,paid_search,premium,46.0,20,9,1,111.5,28.79,4.0,0,0,169330,429176
NR100109,Bogotá,mobile,social_ads,recurrente,32.0,25,12,4,136.6,46.92,3.7,0,0,148852,837720
NR100110,Bogotá,desktop,organico,nuevo,18.0,12,2,1,29.0,5.38,2.4,1,0,135568,218761
NR100111,Bogotá,desktop,email,recurrente,38.0,12,11,2,93.2,54.42,3.3,0,0,85590,243568
NR100112,Bucaramanga,desktop,organico,premium,45.0,10,7,3,69.6,1.14,3.1,0,0,64583,325660
NR100113,Barranquilla,mobile,organico,recurrente,42.0,16,11,5,139.6,7.5,4.1,0,0,94429,676421
NR100114,Cali,mobile,paid_search,recurrente,28.0,4,16,1,66.1,60.04,3.6,0,0,139543,314697
NR100115,Barranquilla,desktop,paid_search,nuevo,35.0,60,7,1,88.4,31.07,3.5,0,0,99222,194207
NR100116,Barranquilla,mobile,organico,premium,29.0,9,5,0,53.2,16.77,4.8,0,0,132722,113858
NR100117,Bogotá,mobile,organico,recurrente,27.0,32,6,1,19.4,12.47,4.0,0,0,183439,287745
NR100118,Bucaramanga,desktop,organico,premium,43.0,11,6,0,96.5,15.71,,0,0,238561,190615
NR100119,Medellín,desktop,social_ads,nuevo,23.0,21,10,1,34.9,70.39,4.2,0,0,130520,207591
NR100120,Barranquilla,mobile,email,nuevo,26.0,41,7,0,35.0,11.45,3.3,1,0,137654,168325
NR100121,Bucaramanga,mobile,paid_search,nuevo,24.0,21,4,0,20.4,22.65,2.9,1,0,47112,0
NR100122,Bogotá,desktop,social_ads,recurrente,21.0,40,5,1,85.6,14.22,2.1,0,0,137276,270658
NR100123,Bogotá,mobile,email,nuevo,35.0,30,14,3,84.4,10.95,4.7,1,1,93469,439278
NR100124,Bogotá,desktop,organico,nuevo,44.0,7,3,0,19.0,6.11,3.7,1,0,136947,50267
NR100125,Medellín,desktop,referido,premium,32.0,24,9,0,77.3,26.0,3.3,0,0,102769,164827
NR100126,Barranquilla,desktop,email,nuevo,20.0,19,15,2,70.6,12.31,3.7,1,0,90729,391029
NR100127,Barranquilla,mobile,organico,premium,42.0,8,21,4,136.4,10.37,4.1,0,0,116706,566757
NR100128,Bogotá,mobile,organico,nuevo,49.0,29,3,1,58.6,7.0,3.2,1,0,140854,339378
NR100129,Medellín,desktop,organico,premium,28.0,6,8,0,66.2,11.71,4.5,0,0,141819,65849
NR100130,Medellín,desktop,organico,recurrente,30.0,28,5,1,14.1,14.67,2.0,0,0,63262,169353
NR100131,Bogotá,desktop,email,premium,39.0,24,10,0,92.6,24.42,4.4,0,0,204541,93053
NR100132,Bogotá,mobile,paid_search,premium,49.0,16,5,1,89.2,19.53,4.9,0,0,226773,378743
NR100133,Medellín,mobile,email,nuevo,29.0,9,16,4,131.1,25.78,2.7,0,0,76249,536606
NR100134,Bucaramanga,desktop,email,nuevo,22.0,23,10,1,89.7,49.08,1.7,1,0,108816,251719
NR100135,Medellín,desktop,social_ads,nuevo,40.0,3,4,2,56.0,22.1,3.8,0,0,109562,267511
NR100136,Medellín,tablet,social_ads,recurrente,,8,9,2,113.8,97.19,4.3,1,0,128653,625011
NR100137,Cali,tablet ,organico,premium,34.0,15,8,6,66.1,5.13,3.7,1,0,48270,376606
NR100138,Medellín,mobile,paid_search,recurrente,29.0,16,10,0,17.1,49.96,2.0,0,0,170212,143797
NR100139,Bucaramanga,desktop,social_ads,recurrente,43.0,8,5,0,78.5,23.93,1.6,0,0,117430,294014
NR100140,Bucaramanga,desktop,organico,nuevo,39.0,8,5,1,18.4,7.24,4.2,1,1,97647,95668
NR100141,Bogotá,mobile,organico,premium,27.0,21,11,3,112.4,20.07,4.0,0,0,201778,665474
NR100142,Medellín,desktop,email,premium,34.0,7,10,1,41.8,6.89,4.9,1,0,181532,277822
NR100143,Bogotá,mobile,social_ads,nuevo,22.0,11,8,1,80.7,93.98,1.0,1,0,165011,272589
NR100144,Bogotá,mobile,organico,recurrente,40.0,6,10,3,68.7,6.23,3.6,0,0,178116,686867
NR100145,Bogotá,desktop,social_ads,nuevo,32.0,15,3,0,53.3,36.85,4.1,0,0,96169,42844
NR100146,Cali,mobile,email,recurrente,30.0,13,7,1,94.4,6.71,2.5,0,1,215120,299140
NR100147,Medellín,mobile,paid_search,recurrente,34.0,2,5,2,44.6,25.94,4.1,1,0,155243,394220
NR100148,Bogotá,mobile,organico,nuevo,34.0,5,5,0,87.5,12.26,2.3,0,1,181507,5534
NR100149,Bogotá,mobile,referido,recurrente,42.0,33,13,2,89.0,21.7,2.6,0,1,141391,375135
NR100150,Bucaramanga,mobile,paid_search,nuevo,39.0,9,7,0,60.0,108.4,3.3,0,0,93161,85329
NR100151,Bogotá,mobile,organico,recurrente,33.0,19,12,0,99.5,3.77,2.7,0,0,80123,104915
NR100152,Bogotá,tablet,paid_search,recurrente,41.0,7,9,0,92.7,66.53,4.4,0,0,57861,156973
NR100153,Medellín,mobile,email,nuevo,38.0,36,7,0,56.0,18.81,3.2,1,0,106717,179804
NR100154,Bucaramanga,mobile,organico,recurrente,30.0,3,12,2,51.7,13.36,4.6,0,0,94233,265646
NR100155,Bogotá,mobile,organico,recurrente,33.0,31,9,0,64.9,1.16,3.8,0,1,148763,64746
NR100156,Cali,desktop,organico,nuevo,33.0,16,12,1,46.3,7.79,2.5,0,1,76699,111098
NR100157,Barranquilla,mobile,referido,nuevo,39.0,23,3,0,42.7,18.24,3.4,0,1,112786,140894
NR100158,Bogotá,desktop,organico,recurrente,31.0,33,5,1,49.3,8.25,2.6,0,1,169877,166482
NR100159,Cali,desktop,social_ads,premium,30.0,17,13,3,62.9,24.65,5.0,1,0,241080,808542
NR100160,Medellín,desktop,referido,nuevo,52.0,42,7,1,43.9,23.4,4.6,1,0,185636,241582
NR100161,Cali,mobile,organico,nuevo,42.0,33,4,0,75.9,8.71,1.7,0,0,121297,184671
NR100162,Cali,desktop,referido,nuevo,27.0,22,9,0,56.7,5.7,3.7,0,0,160550,179720
NR100163,Medellín,mobile,referido,recurrente,39.0,30,11,1,66.1,3.98,4.3,0,0,142179,195508
NR100164,Bogotá,tablet,email,nuevo,35.0,15,8,1,78.4,23.67,4.1,0,1,122112,254408
NR100165,Barranquilla,desktop,organico,nuevo,38.0,7,2,0,77.5,3.41,3.1,1,1,63142,58402
NR100166,Medellín,mobile,social_ads,recurrente,35.0,58,10,1,60.2,46.12,5.0,0,0,128412,137596
NR100167,Bogotá,mobile,email,recurrente,45.0,15,12,2,111.1,27.73,3.6,1,0,118667,332507
NR100168,Bogotá,mobile,referido,recurrente,37.0,18,10,1,73.0,2.45,2.1,0,1,92354,161074
NR100169,Cali,desktop,organico,recurrente,33.0,5,9,0,106.3,6.35,3.8,0,0,58788,206172
NR100170,Cali,mobile,email,recurrente,43.0,35,13,1,106.1,13.89,4.2,0,0,114439,277080
NR100171,Bogotá,mobile,paid_search,nuevo,36.0,18,5,1,49.0,35.84,3.8,1,0,73067,174530
NR100172,Medellín,mobile,organico,nuevo,35.0,21,6,0,60.3,3.87,3.4,1,0,101281,0
NR100173,Bogotá,desktop,paid_search,premium,37.0,23,12,0,55.8,87.95,2.5,0,0,223519,75760
NR100174,Cali,desktop,email,nuevo,33.0,8,10,0,70.6,41.04,1.8,0,0,70334,94558
NR100175,Bogotá,desktop,paid_search,recurrente,34.0,34,10,3,66.8,28.86,2.7,0,1,80405,287779
NR100176,Cali,desktop,social_ads,premium,29.0,19,13,0,61.4,23.7,1.7,0,1,90013,7752
NR100177,Medellín,mobile,referido,nuevo,27.0,3,6,3,98.0,2.74,4.9,1,0,83569,529978
NR100178,Bucaramanga,mobile,paid_search,nuevo,25.0,30,7,0,62.4,25.91,3.3,0,0,71952,132227
NR100179,Bogotá,desktop,social_ads,recurrente,21.0,14,5,0,59.0,33.52,2.9,0,0,76518,140429
NR100180,Medellín,mobile,paid_search,premium,26.0,9,15,5,102.1,23.83,3.1,0,0,218963,1263627
NR100181,Bogotá,mobile,paid_search,premium,32.0,4,13,3,87.8,15.74,3.0,1,0,210124,877562
NR100182,Bucaramanga,mobile,social_ads,recurrente,35.0,11,10,3,77.2,92.03,3.6,0,0,54595,222649
NR100183,Barranquilla,mobile,referido,nuevo,32.0,10,4,1,40.8,18.13,3.1,1,0,61032,198336
NR100184,Bogotá,mobile,social_ads,recurrente,18.0,32,12,1,65.6,73.35,3.4,1,0,167327,221635
NR100185,Cali,desktop,email,recurrente,48.0,10,9,3,62.8,16.65,2.4,1,0,67438,326464
NR100186,Barranquilla,mobile,organico,recurrente,44.0,4,8,1,36.2,4.8,3.6,0,0,75316,142022
NR100187,Medellín,mobile,organico,nuevo,38.0,21,6,1,58.5,11.8,4.4,0,0,99030,193471
NR100188,Medellín,mobile,paid_search,nuevo,51.0,33,7,1,42.5,68.1,3.1,0,0,80465,152565
NR100189,Bogotá,desktop,organico,recurrente,25.0,12,10,2,115.5,3.51,4.1,0,0,219470,463730
NR100190,Bogotá,mobile,organico,recurrente,51.0,47,7,4,52.0,0.54,3.5,0,0,150923,660046
NR100191,Bucaramanga,desktop,paid_search,nuevo,25.0,29,6,0,45.3,68.86,2.9,0,0,97524,67270
NR100192,Bucaramanga,desktop,organico,recurrente,36.0,35,8,1,82.7,9.01,3.7,0,0,104027,193392
NR100193,Cali,mobile,organico,premium,23.0,21,8,2,25.5,7.83,3.5,0,0,198122,347847
NR100194,Medellín,tablet,paid_search,recurrente,34.0,19,6,0,71.2,35.63,2.7,0,0,135928,80101
NR100195,Medellín,tablet,social_ads,nuevo,37.0,9,8,1,48.5,43.85,4.2,0,0,89606,210669
NR100196,Cali,desktop,referido,nuevo,33.0,41,6,0,30.4,17.73,1.7,0,0,47022,151548
NR100197,Bucaramanga,desktop,social_ads,nuevo,40.0,37,4,0,60.7,59.48,3.3,0,0,71732,75859
NR100198,Bucaramanga,mobile,paid_search,premium,35.0,41,7,3,90.8,65.31,3.2,0,0,127344,495539
NR100199,Barranquilla,mobile,referido,recurrente,29.0,15,7,0,33.1,16.24,4.7,0,0,124303,8959
NR100200,Cali,mobile,email,recurrente,29.0,12,6,0,46.8,13.03,4.0,0,0,149148,174081
NR100201,Bogotá,mobile,organico,recurrente,41.0,25,7,2,96.0,1.42,4.5,1,0,131989,371498
NR100202,Bogotá,tablet,organico,nuevo,28.0,11,5,0,41.2,11.05,3.4,1,0,115206,62017
NR100203,Bucaramanga,mobile,social_ads,premium,42.0,15,16,4,88.1,41.89,4.7,0,0,88501,530663
NR100204,Cali,desktop,social_ads,recurrente,45.0,3,10,3,82.3,41.07,3.7,1,0,83888,458925
NR100205,Bogotá,desktop,email,nuevo,19.0,18,8,0,58.5,5.56,2.7,0,0,47942,58212
NR100206,Bogotá,desktop,email,nuevo,44.0,22,7,0,51.7,39.47,4.7,1,0,90354,87950
NR100207,Cali,tablet,social_ads,recurrente,53.0,35,7,0,67.3,29.27,3.8,1,0,127091,104260
NR100208,Bogotá,mobile,referido,premium,36.0,26,11,2,68.0,21.72,3.2,1,0,215339,472723
NR100209,Bogotá,mobile,social_ads,nuevo,39.0,28,3,1,64.5,8.11,2.0,0,0,88256,202445
NR100210,Medellín,mobile,organico,premium,43.0,45,14,0,71.7,4.31,2.8,1,0,225351,102361
NR100211,Cali,mobile,email,recurrente,32.0,8,9,2,44.1,6.78,3.5,0,0,168815,385178
NR100212,Cali,mobile,organico,nuevo,36.0,7,8,2,107.6,9.74,2.9,1,1,124817,405908
NR100213,Bogotá,mobile,email,nuevo,22.0,17,12,1,45.5,21.2,4.1,1,0,154507,265327
NR100214,Cali,desktop,referido,nuevo,35.0,6,9,1,88.0,12.16,3.6,1,0,69375,332764
NR100215,Bogotá,mobile,social_ads,recurrente,38.0,19,7,2,65.9,14.89,3.2,0,0,71834,355351
NR100216,Medellín,mobile,social_ads,nuevo,39.0,6,6,0,54.7,116.05,3.2,0,1,136847,140393
NR100217,Barranquilla,desktop,paid_search,nuevo,,8,9,2,56.6,,3.3,1,0,131915,505148
NR100218,Cali,mobile,paid_search,recurrente,27.0,4,8,2,61.9,38.61,3.2,0,0,175965,550876
NR100219,Barranquilla,mobile,paid_search,recurrente,29.0,18,6,1,77.7,133.37,3.6,1,0,50857,72395
NR100220,Cali,desktop,social_ads,nuevo,51.0,5,4,1,29.4,32.16,2.9,0,0,99515,180758
NR100221,Cali,desktop,email,recurrente,33.0,21,16,1,81.1,44.28,2.3,1,0,73925,252034
NR100222,Bogotá,desktop,social_ads,recurrente,36.0,24,8,2,95.8,48.44,4.1,0,0,124631,402128
NR100223,Medellín,mobile,organico,recurrente,33.0,9,5,1,44.1,15.5,2.6,0,0,158342,192577
NR100224,Bogotá,desktop,paid_search,premium,27.0,26,7,1,64.0,98.22,4.9,1,0,199268,199968
NR100225,Bogotá,mobile,email,nuevo,49.0,24,5,0,53.4,8.58,3.1,0,0,60052,40877
NR100226,Bucaramanga,mobile,paid_search,premium,29.0,30,14,3,78.7,184.77,3.7,0,0,134176,488155
NR100227,Medellín,desktop,social_ads,recurrente,24.0,8,11,1,85.5,91.69,2.5,0,1,104041,244369
NR100228,Bucaramanga,desktop,email,recurrente,30.0,8,9,1,68.2,17.62,3.1,0,0,136413,222299
NR100229,Cali,mobile,social_ads,recurrente,18.0,23,8,1,49.0,79.91,3.6,1,0,88584,268109
NR100230,Barranquilla,mobile,paid_search,recurrente,28.0,17,12,3,105.3,38.64,2.9,0,0,113523,612726
NR100231,Medellín,tablet,email,nuevo,25.0,18,9,2,79.0,38.94,4.1,1,1,95313,239532
NR100232,Cali,desktop,organico,recurrente,40.0,36,5,0,49.5,6.32,2.3,0,0,179995,3211
NR100233,Medellín,mobile,referido,recurrente,28.0,27,17,2,94.6,27.44,4.2,0,0,152248,492373
NR100234,Bogotá,desktop,organico,recurrente,42.0,24,7,2,37.1,8.56,3.5,0,0,126883,355215
NR100235,Cali,mobile,organico,nuevo,47.0,22,7,1,60.0,,2.9,0,0,86500,183213
NR100236,Bogotá,mobile,email,premium,41.0,29,12,1,30.5,18.2,4.1,0,1,177834,134066
NR100237,Bogotá,mobile,organico,recurrente,32.0,13,3,0,60.8,13.45,4.6,0,0,223525,102426
NR100238,Cali,tablet,email,nuevo,35.0,6,6,1,34.8,21.81,4.3,0,1,116149,123936
NR100239,Bogotá,tablet,email,recurrente,20.0,10,7,2,81.3,25.9,3.7,1,0,145086,470646
NR100240,Bucaramanga,mobile,email,recurrente,33.0,9,6,1,29.4,10.35,4.1,0,0,128643,164258
NR100241,Bucaramanga,mobile,referido,recurrente,26.0,1,11,1,47.7,13.37,3.0,0,1,124895,228583
NR100242,Bucaramanga,mobile,paid_search,recurrente,40.0,22,8,2,56.3,100.66,2.9,0,0,127841,397479
NR100243,Medellín,tablet,social_ads,premium,57.0,12,6,0,95.2,36.19,4.3,0,0,205070,91332
NR100244,Bogotá,tablet,organico,nuevo,38.0,13,2,0,31.8,8.62,3.4,0,0,77380,91364
NR100245,Bucaramanga,desktop,paid_search,recurrente,18.0,10,15,3,137.9,44.86,3.3,0,0,62209,423755
NR100246,Medellín,desktop,email,premium,31.0,15,11,3,98.4,24.63,4.7,0,0,205681,751779
NR100247,Bucaramanga,desktop,paid_search,premium,35.0,39,17,3,101.7,19.44,4.1,0,0,159190,719880
NR100248,Bucaramanga,mobile,social_ads,recurrente,35.0,4,4,0,51.6,34.51,4.3,1,0,87406,9025
NR100249,Barranquilla,mobile,paid_search,premium,27.0,44,15,2,102.4,49.33,2.1,0,0,114159,360635
