order_id,cliente_id,producto_id,fecha,cantidad,precio_unitario,descuento_pct,canal,ingreso_neto
ORD000042,CLI0170,PRD042,2023-09-10,5,429.29,0.05,Tienda Física,2039.13
ORD000043,CLI0359,PRD033,2023-07-02,1,213.33,0.0,Online,213.33
ORD000044,CLI0345,PRD047,2023-11-10,2,441.16,0.15,Online,749.97
ORD000045,CLI0245,PRD047,2023-06-19,2,441.16,0.05,App Móvil,838.2
ORD000046,CLI0403,PRD050,2023-03-26,5,441.75,0.0,Online,2208.75
ORD000047,CLI0064,PRD048,2023-06-05,3,40.26,0.1,Online,108.7
ORD000048,CLI0439,PRD051,2022-04-17,2,570.09,0.05,App Móvil,1083.17
ORD000049,CLI0203,PRD005,2022-09-21,5,580.23,0.1,Tienda Física,2611.04
ORD000050,CLI0023,PRD006,2023-03-16,3,320.36,0.15,App Móvil,816.92
ORD000051,CLI0495,PRD040,2023-12-14,2,186.0,0.1,Tienda Física,334.8
ORD000052,CLI0387,PRD074,2023-07-30,5,61.96,0.1,Tienda Física,278.82
ORD000053,CLI0409,PRD067,2022-04-06,1,117.1,0.1,Tienda Física,105.39
ORD000054,CLI0074,PRD012,2023-05-23,5,592.23,0.0,Online,2961.15
ORD000055,CLI0376,PRD050,2022-07-29,1,441.75,0.05,Tienda Física,419.66
ORD000056,CLI0350,PRD056,2023-09-25,3,204.92,0.05,Marketplace,584.02
ORD000057,CLI0452,PRD049,2023-11-25,3,17.84,0.2,Online,42.82
ORD000058,CLI0186,PRD062,2023-05-24,5,61.06,0.05,Tienda Física,290.04
ORD000059,CLI0464,PRD080,2023-05-22,5,306.33,0.0,Online,1531.65
ORD000060,CLI0354,PRD010,2022-11-12,5,266.02,0.0,Tienda Física,1330.1
ORD000061,CLI0127,PRD051,2022-12-27,5,570.09,0.0,Tienda Física,2850.45
ORD000062,CLI0107,PRD051,2023-12-11,5,570.09,0.0,Tienda Física,2850.45
ORD000063,CLI0452,PRD053,2023-09-14,3,290.91,0.05,Online,829.09
ORD000064,CLI0323,PRD018,2023-03-08,5,311.99,0.15,Online,1325.96
ORD000065,CLI0060,PRD059,2022-11-24,4,364.93,0.0,Online,1459.72
ORD000066,CLI0063,PRD006,2022-02-23,2,320.36,0.2,App Móvil,512.58
ORD000067,CLI0414,PRD062,2022-05-31,5,61.06,0.1,Online,274.77
ORD000068,CLI0085,PRD059,2022-07-08,1,364.93,0.0,Online,364.93
ORD000069,CLI0110,PRD034,2022-11-26,1,426.71,0.0,Online,426.71
ORD000070,CLI0308,PRD079,2024-02-02,1,350.58,0.15,Online,297.99
ORD000071,CLI0432,PRD068,2023-02-20,3,461.98,0.1,App Móvil,1247.35
ORD000072,CLI0169,PRD052,2022-08-11,1,457.55,0.0,Tienda Física,457.55
ORD000073,CLI0333,PRD079,2022-04-22,2,350.58,0.05,App Móvil,666.1
ORD000074,CLI0352,PRD068,2022-11-12,2,461.98,0.0,Online,923.96
ORD000075,CLI0301,PRD015,2023-11-20,2,343.78,0.05,App Móvil,653.18
ORD000076,CLI0343,PRD054,2022-12-01,1,299.34,0.0,Online,299.34
ORD000077,CLI0114,PRD053,2023-11-02,2,290.91,0.0,Online,581.82
ORD000078,CLI0311,PRD059,2023-11-15,2,364.93,0.0,Tienda Física,729.86
ORD000079,CLI0002,PRD076,2022-04-27,4,591.83,0.05,Online,2248.95
ORD000080,CLI0366,PRD050,2023-06-07,3,441.75,0.0,Online,1325.25
ORD000081,CLI0397,PRD009,2024-02-17,2,49.35,0.1,Online,88.83
ORD000082,CLI0397,PRD049,2022-12-08,1,17.84,0.1,Tienda Física,16.06
ORD000083,CLI0015,PRD067,2022-02-23,3,117.1,0.05,Online,333.73
ORD000084,CLI0456,PRD039,2024-01-11,2,131.88,0.15,App Móvil,224.2
ORD000085,CLI0218,PRD005,2023-12-19,4,580.23,0.1,Online,2088.83
ORD000086,CLI0041,PRD029,2023-03-10,2,518.3,0.0,Online,1036.6
ORD000087,CLI0268,PRD061,2023-04-11,5,597.08,0.0,Tienda Física,2985.4
ORD000088,CLI0286,PRD010,2022-07-22,1,266.02,0.05,App Móvil,252.72
ORD000089,CLI0202,PRD041,2023-11-22,5,583.66,0.1,Tienda Física,2626.47
ORD000090,CLI0375,PRD014,2023-02-14,4,69.28,0.2,Online,221.7
ORD000091,CLI0272,PRD049,2022-02-05,4,17.84,0.0,App Móvil,71.36
ORD000092,CLI0109,PRD015,2023-08-02,5,343.78,0.0,Tienda Física,1718.9
ORD000093,CLI0311,PRD012,2024-02-08,3,592.23,0.1,Marketplace,1599.02
ORD000094,CLI0132,PRD062,2023-11-26,4,61.06,0.15,Tienda Física,207.6
ORD000095,CLI0060,PRD017,2022-09-25,3,454.64,0.0,Online,1363.92
ORD000096,CLI0134,PRD017,2022-02-26,4,454.64,0.0,App Móvil,1818.56
ORD000097,CLI0453,PRD054,2024-01-29,3,299.34,0.15,Online,763.32
ORD000098,CLI0287,PRD006,2024-01-25,5,320.36,0.0,App Móvil,1601.8
ORD000099,CLI0159,PRD006,2023-03-21,2,320.36,0.1,Tienda Física,576.65
ORD000100,CLI0184,PRD046,2023-07-02,4,38.12,0.15,Online,129.61
ORD000101,CLI0430,PRD040,2023-01-07,1,186.0,0.0,Online,186.0
ORD000102,CLI0334,PRD052,2022-12-16,1,457.55,0.0,Online,457.55
ORD000103,CLI0387,PRD079,2022-05-06,4,350.58,0.15,Online,1191.97
ORD000104,CLI0306,PRD047,2022-04-12,2,441.16,0.0,Tienda Física,882.32
ORD000105,CLI0497,PRD053,2022-08-09,1,290.91,0.0,App Móvil,290.91
ORD000106,CLI0329,PRD075,2023-11-29,4,168.7,0.05,Online,641.06
ORD000107,CLI0201,PRD049,2022-06-02,4,17.84,0.05,Online,67.79
ORD000108,CLI0127,PRD065,2022-08-03,4,220.99,0.0,App Móvil,883.96
ORD000109,CLI0024,PRD053,2023-04-07,3,290.91,0.1,Online,785.46
ORD000110,CLI0384,PRD059,2022-07-24,5,364.93,0.0,App Móvil,1824.65
ORD000111,CLI0467,PRD075,2022-06-15,1,168.7,0.0,Online,168.7
ORD000112,CLI0333,PRD003,2023-04-23,1,236.64,0.0,App Móvil,236.64
ORD000113,CLI0244,PRD075,2022-11-24,2,168.7,0.05,App Móvil,320.53
ORD000114,CLI0066,PRD050,2023-06-20,5,441.75,0.15,Online,1877.44
ORD000115,CLI0322,PRD056,2023-12-31,4,204.92,0.05,Online,778.7
ORD000116,CLI0101,PRD047,2022-06-06,3,441.16,0.1,Online,1191.13
ORD000117,CLI0312,PRD026,2023-12-31,5,36.31,0.0,Online,181.55
ORD000118,CLI0151,PRD008,2023-12-27,5,479.3,0.0,Online,2396.5
ORD000119,CLI0433,PRD076,2023-11-26,1,591.83,0.0,Tienda Física,591.83
ORD000120,CLI0469,PRD056,2023-06-24,3,204.92,0.1,App Móvil,553.28
ORD000121,CLI0118,PRD070,2023-06-15,5,552.76,0.05,Online,2625.61
ORD000122,CLI0164,PRD028,2023-06-30,1,141.52,0.1,App Móvil,127.37
ORD000123,CLI0462,PRD027,2023-08-10,1,340.37,0.0,Online,340.37
ORD000124,CLI0010,PRD034,2022-01-18,2,426.71,0.15,Online,725.41
ORD000125,CLI0259,PRD024,2024-02-16,5,507.84,0.1,Online,2285.28
ORD000126,CLI0071,PRD050,2023-05-16,2,441.75,0.15,Online,750.98
ORD000127,CLI0217,PRD076,2023-11-06,4,591.83,0.0,Online,2367.32
ORD000128,CLI0017,PRD070,2022-11-28,2,552.76,0.0,Online,1105.52
ORD000129,CLI0071,PRD050,2022-01-14,4,441.75,0.05,Online,1678.65
ORD000130,CLI0202,PRD037,2023-02-25,5,534.5,0.0,Marketplace,2672.5
ORD000131,CLI0031,PRD056,2023-02-23,1,204.92,0.1,Tienda Física,184.43
ORD000132,CLI0399,PRD056,2022-12-23,2,204.92,0.0,Marketplace,409.84
ORD000133,CLI0290,PRD061,2022-11-12,3,597.08,0.05,Online,1701.68
ORD000134,CLI0226,PRD051,2022-08-27,1,570.09,0.0,App Móvil,570.09
ORD000135,CLI0237,PRD005,2023-03-16,4,580.23,0.05,Online,2204.87
ORD000136,CLI0420,PRD009,2022-11-27,2,49.35,0.0,Online,98.7
ORD000137,CLI0423,PRD078,2024-02-29,1,130.9,0.15,Online,111.26
ORD000138,CLI0024,PRD063,2022-06-23,4,240.04,0.0,Online,960.16
ORD000139,CLI0343,PRD076,2022-11-04,1,591.83,0.05,Online,562.24
ORD000140,CLI0235,PRD035,2022-10-13,2,134.55,0.0,App Móvil,269.1
ORD000141,CLI0392,PRD051,2023-04-02,1,570.09,0.0,App Móvil,570.09
ORD000142,CLI0394,PRD033,2023-02-14,1,213.33,0.0,Online,213.33
ORD000143,CLI0355,PRD075,2023-07-03,3,168.7,0.0,App Móvil,506.1
ORD000144,CLI0338,PRD028,2024-02-08,5,141.52,0.05,Online,672.22
ORD000145,CLI0106,PRD062,2022-10-03,2,61.06,0.0,Online,122.12
ORD000146,CLI0427,PRD018,2023-08-13,2,311.99,0.1,Online,561.58
ORD000147,CLI0351,PRD011,2022-01-27,5,423.52,0.15,Online,1799.96
ORD000148,CLI0137,PRD017,2022-09-09,5,454.64,0.1,Online,2045.88
ORD000149,CLI0117,PRD051,2023-01-08,2,570.09,0.0,Online,1140.18
ORD000150,CLI0251,PRD069,2022-02-02,1,305.33,0.0,Online,305.33
ORD000151,CLI0172,PRD080,2023-06-14,4,306.33,0.0,App Móvil,1225.32
ORD000152,CLI0339,PRD056,2023-07-29,4,204.92,0.0,App Móvil,819.68
ORD000153,CLI0204,PRD051,2023-10-08,5,570.09,0.1,Marketplace,2565.41
ORD000154,CLI0085,PRD066,2023-03-04,4,183.17,0.0,Online,732.68
ORD000155,CLI0198,PRD008,2023-06-03,5,479.3,0.0,Online,2396.5
ORD000156,CLI0408,PRD068,2022-12-06,1,461.98,0.1,Tienda Física,415.78
ORD000157,CLI0416,PRD064,2022-02-13,1,120.71,0.0,Tienda Física,120.71
ORD000158,CLI0156,PRD051,2022-04-16,4,570.09,0.0,Online,2280.36
ORD000159,CLI0398,PRD004,2023-07-12,4,358.7,0.15,App Móvil,1219.58
ORD000160,CLI0047,PRD022,2024-03-27,2,373.28,0.0,Marketplace,746.56
ORD000161,CLI0493,PRD040,2022-01-17,3,186.0,0.1,Online,502.2
ORD000162,CLI0383,PRD076,2023-04-17,2,591.83,0.0,Marketplace,1183.66
ORD000163,CLI0021,PRD059,2023-10-13,1,364.93,0.2,Online,291.94
ORD000164,CLI0353,PRD050,2023-11-25,5,441.75,0.1,Tienda Física,1987.88
ORD000165,CLI0248,PRD050,2023-04-04,5,441.75,0.0,Online,2208.75
ORD000166,CLI0442,PRD065,2023-06-15,5,220.99,0.2,Tienda Física,883.96
ORD000167,CLI0120,PRD033,2023-08-17,3,213.33,0.0,Online,639.99
ORD000168,CLI0447,PRD010,2023-12-09,1,266.02,0.15,Tienda Física,226.12
ORD000169,CLI0436,PRD061,2022-05-09,3,597.08,0.05,Online,1701.68
ORD000170,CLI0140,PRD034,2024-01-14,4,426.71,0.0,Online,1706.84
ORD000171,CLI0217,PRD034,2022-01-28,1,426.71,0.05,Tienda Física,405.37
ORD000172,CLI0321,PRD048,2023-11-29,1,40.26,0.0,Online,40.26
ORD000173,CLI0121,PRD025,2022-03-22,5,523.4,0.05,Tienda Física,2486.15
ORD000174,CLI0500,PRD075,2022-07-09,1,168.7,0.05,Marketplace,160.26
ORD000175,CLI0096,PRD069,2022-01-05,3,305.33,0.0,App Móvil,915.99
ORD000176,CLI0122,PRD079,2022-12-27,1,350.58,0.1,Marketplace,315.52
ORD000177,CLI0251,PRD078,2022-11-10,1,130.9,0.15,Online,111.26
ORD000178,CLI0237,PRD032,2022-06-17,4,125.04,0.05,Tienda Física,475.15
ORD000179,CLI0026,PRD041,2022-12-29,1,583.66,0.05,App Móvil,554.48
ORD000180,CLI0456,PRD062,2022-12-09,4,61.06,0.0,Marketplace,244.24
ORD000181,CLI0121,PRD004,2023-10-30,5,358.7,0.2,Online,1434.8
ORD000182,CLI0052,PRD080,2023-12-23,3,306.33,0.15,Marketplace,781.14
ORD000183,CLI0260,PRD003,2023-07-10,1,236.64,0.15,Online,201.14
ORD000184,CLI0465,PRD051,2022-05-11,5,570.09,0.1,App Móvil,2565.41
ORD000185,CLI0002,PRD061,2022-10-14,2,597.08,0.0,Tienda Física,1194.16
ORD000186,CLI0245,PRD075,2023-12-31,4,168.7,0.0,Online,674.8
ORD000187,CLI0456,PRD059,2022-04-04,1,364.93,0.05,Online,346.68
ORD000188,CLI0447,PRD055,2022-12-10,1,270.14,0.0,Online,270.14
ORD000189,CLI0086,PRD029,2024-01-31,4,518.3,0.05,Tienda Física,1969.54
ORD000190,CLI0311,PRD054,2024-02-09,2,299.34,0.0,Tienda Física,598.68
ORD000191,CLI0418,PRD063,2022-12-12,3,240.04,0.1,Online,648.11
ORD000192,CLI0336,PRD051,2023-07-21,3,570.09,0.05,Tienda Física,1624.76
ORD000193,CLI0329,PRD065,2022-12-31,1,220.99,0.0,Tienda Física,220.99
ORD000194,CLI0387,PRD008,2023-10-15,2,479.3,0.1,Online,862.74
ORD000195,CLI0227,PRD034,2022-02-03,1,426.71,0.0,Online,426.71
ORD000196,CLI0034,PRD078,2022-06-01,1,130.9,0.0,Online,130.9
ORD000197,CLI0320,PRD033,2023-06-11,5,213.33,0.0,Online,1066.65
ORD000198,CLI0314,PRD056,2022-08-09,1,204.92,0.0,Marketplace,204.92
ORD000199,CLI0426,PRD051,2023-07-20,5,570.09,0.0,Marketplace,2850.45
ORD000200,CLI0462,PRD076,2022-11-17,3,591.83,0.0,Tienda Física,1775.49
ORD000201,CLI0169,PRD018,2023-12-20,2,311.99,0.0,Online,623.98
ORD000202,CLI0479,PRD029,2023-11-22,3,518.3,0.0,App Móvil,1554.9
ORD000203,CLI0005,PRD069,2023-02-07,5,305.33,0.0,Online,1526.65
ORD000204,CLI0485,PRD061,2023-11-02,4,597.08,0.1,Tienda Física,2149.49
ORD000205,CLI0069,PRD052,2022-09-19,1,457.55,0.0,Marketplace,457.55
ORD000206,CLI0323,PRD044,2023-02-09,4,194.96,0.0,App Móvil,779.84
ORD000207,CLI0342,PRD046,2022-07-11,4,38.12,0.0,Marketplace,152.48
ORD000208,CLI0317,PRD076,2023-12-09,5,591.83,0.0,Online,2959.15
ORD000209,CLI0496,PRD061,2023-11-23,2,597.08,0.0,Tienda Física,1194.16
ORD000210,CLI0277,PRD075,2023-12-27,5,168.7,0.0,App Móvil,843.5
ORD000211,CLI0066,PRD078,2023-12-16,2,130.9,0.1,Online,235.62
ORD000212,CLI0304,PRD053,2024-02-18,2,290.91,0.1,App Móvil,523.64
ORD000213,CLI0146,PRD056,2022-08-04,4,204.92,0.15,Online,696.73
ORD000214,CLI0307,PRD059,2024-01-20,3,364.93,0.15,App Móvil,930.57
ORD000215,CLI0191,PRD068,2023-05-01,2,461.98,0.0,Online,923.96
ORD000216,CLI0022,PRD059,2022-12-17,2,364.93,0.0,Online,729.86
ORD000217,CLI0319,PRD012,2023-04-20,4,592.23,0.0,Marketplace,2368.92
ORD000218,CLI0045,PRD076,2022-11-13,5,591.83,0.05,App Móvil,2811.19
ORD000219,CLI0164,PRD059,2022-10-07,2,364.93,0.05,Tienda Física,693.37
ORD000220,CLI0310,PRD070,2022-08-18,3,552.76,0.0,Marketplace,1658.28
ORD000221,CLI0441,PRD046,2022-03-28,2,38.12,0.2,Tienda Física,60.99
ORD000222,CLI0158,PRD049,2023-02-11,2,17.84,0.05,Tienda Física,33.9
ORD000223,CLI0150,PRD062,2023-12-21,4,61.06,0.15,Online,207.6
ORD000224,CLI0151,PRD065,2023-06-23,4,220.99,0.2,App Móvil,707.17
ORD000225,CLI0288,PRD009,2023-03-09,3,49.35,0.0,Tienda Física,148.05
ORD000226,CLI0097,PRD044,2022-12-20,3,194.96,0.0,Tienda Física,584.88
ORD000227,CLI0264,PRD064,2023-01-09,3,120.71,0.0,Marketplace,362.13
ORD000228,CLI0401,PRD079,2022-07-20,5,350.58,0.0,Online,1752.9
ORD000229,CLI0041,PRD003,2023-11-23,5,236.64,0.15,App Móvil,1005.72
ORD000230,CLI0483,PRD026,2022-07-12,1,36.31,0.2,App Móvil,29.05
ORD000231,CLI0266,PRD048,2023-09-07,5,40.26,0.0,Online,201.3
ORD000232,CLI0314,PRD022,2023-10-22,2,373.28,0.0,App Móvil,746.56
ORD000233,CLI0309,PRD005,2023-05-05,4,580.23,0.1,App Móvil,2088.83
ORD000234,CLI0473,PRD052,2023-12-10,5,457.55,0.05,Tienda Física,2173.36
ORD000235,CLI0333,PRD059,2022-10-10,3,364.93,0.1,Online,985.31
ORD000236,CLI0442,PRD046,2023-12-18,3,38.12,0.0,Online,114.36
ORD000237,CLI0143,PRD040,2023-09-20,4,186.0,0.0,Online,744.0
ORD000238,CLI0109,PRD079,2023-11-13,2,350.58,0.0,Online,701.16
ORD000239,CLI0322,PRD049,2023-07-19,2,17.84,0.0,Tienda Física,35.68
ORD000240,CLI0077,PRD068,2023-12-03,4,461.98,0.0,Tienda Física,1847.92
ORD000241,CLI0056,PRD028,2024-03-24,2,141.52,0.0,Tienda Física,283.04
ORD000242,CLI0106,PRD068,2022-12-16,4,461.98,0.0,Online,1847.92
ORD000243,CLI0136,PRD068,2023-11-20,2,461.98,0.1,Tienda Física,831.56
ORD000244,CLI0049,PRD026,2023-10-06,1,36.31,0.0,App Móvil,36.31
ORD000245,CLI0365,PRD059,2022-12-30,1,364.93,0.15,App Móvil,310.19
ORD000246,CLI0292,PRD061,2024-01-15,2,597.08,0.0,App Móvil,1194.16
ORD000247,CLI0101,PRD047,2022-12-05,1,441.16,0.05,Online,419.1
ORD000248,CLI0142,PRD065,2023-04-25,2,220.99,0.0,Marketplace,441.98
ORD000249,CLI0465,PRD031,2022-04-22,3,260.83,0.1,App Móvil,704.24
ORD000250,CLI0457,PRD049,2022-08-02,2,17.84,0.0,Marketplace,35.68
ORD000251,CLI0062,PRD079,2023-12-01,3,350.58,0.0,Tienda Física,1051.74
ORD000252,CLI0307,PRD018,2022-12-06,2,311.99,0.2,Online,499.18
ORD000253,CLI0162,PRD015,2022-12-05,1,343.78,0.0,Tienda Física,343.78
ORD000254,CLI0180,PRD015,2022-08-23,2,343.78,0.1,Online,618.8
ORD000255,CLI0300,PRD080,2023-02-06,1,306.33,0.1,Online,275.7
ORD000256,CLI0493,PRD017,2023-11-16,4,454.64,0.0,Online,1818.56
ORD000257,CLI0292,PRD019,2023-12-24,3,438.21,0.0,Marketplace,1314.63
ORD000258,CLI0477,PRD062,2022-03-15,3,61.06,0.1,Tienda Física,164.86
ORD000259,CLI0411,PRD064,2023-05-05,1,120.71,0.15,Online,102.6
ORD000260,CLI0390,PRD051,2023-01-12,3,570.09,0.0,Tienda Física,1710.27
ORD000261,CLI0396,PRD079,2023-06-11,5,350.58,0.1,Online,1577.61
ORD000262,CLI0396,PRD006,2022-12-27,2,320.36,0.1,Online,576.65
ORD000263,CLI0128,PRD056,2022-12-07,5,204.92,0.05,App Móvil,973.37
ORD000264,CLI0489,PRD056,2023-01-16,3,204.92,0.1,Online,553.28
ORD000265,CLI0460,PRD033,2023-05-12,1,213.33,0.0,Online,213.33
ORD000266,CLI0301,PRD075,2023-02-16,1,168.7,0.0,Tienda Física,168.7
ORD000267,CLI0356,PRD053,2023-01-17,3,290.91,0.2,Online,698.18
ORD000268,CLI0441,PRD025,2023-11-21,5,523.4,0.1,Online,2355.3
ORD000269,CLI0077,PRD010,2023-10-07,3,266.02,0.0,Tienda Física,798.06
ORD000270,CLI0033,PRD011,2022-11-13,1,423.52,0.05,Marketplace,402.34
ORD000271,CLI0498,PRD075,2023-11-14,2,168.7,0.0,Online,337.4
ORD000272,CLI0278,PRD025,2023-12-06,5,523.4,0.0,Tienda Física,2617.0
ORD000273,CLI0362,PRD075,2022-06-08,5,168.7,0.0,Tienda Física,843.5
ORD000274,CLI0252,PRD012,2023-05-13,4,592.23,0.0,App Móvil,2368.92
ORD000275,CLI0259,PRD079,2022-10-03,5,350.58,0.0,Tienda Física,1752.9
ORD000276,CLI0019,PRD068,2023-09-30,5,461.98,0.0,App Móvil,2309.9
ORD000277,CLI0145,PRD012,2022-08-15,3,592.23,0.1,App Móvil,1599.02
ORD000278,CLI0044,PRD010,2023-07-24,5,266.02,0.15,Online,1130.58
ORD000279,CLI0217,PRD068,2022-09-02,1,461.98,0.0,App Móvil,461.98
ORD000280,CLI0011,PRD009,2023-02-27,5,49.35,0.0,Online,246.75
ORD000281,CLI0402,PRD026,2024-02-06,3,36.31,0.2,App Móvil,87.14
ORD000282,CLI0148,PRD068,2022-11-30,3,461.98,0.0,Tienda Física,1385.94
ORD000283,CLI0371,PRD075,2023-12-16,5,168.7,0.05,Tienda Física,801.32
ORD000284,CLI0027,PRD064,2024-03-18,2,120.71,0.0,Tienda Física,241.42
ORD000285,CLI0017,PRD075,2023-12-15,1,168.7,0.15,Tienda Física,143.39
ORD000286,CLI0212,PRD053,2022-06-17,4,290.91,0.0,Online,1163.64
ORD000287,CLI0395,PRD065,2023-11-22,4,220.99,0.2,Tienda Física,707.17
ORD000288,CLI0407,PRD037,2022-02-03,1,534.5,0.2,Tienda Física,427.6
ORD000289,CLI0273,PRD066,2022-12-05,3,183.17,0.15,Online,467.08
ORD000290,CLI0307,PRD061,2023-12-13,2,597.08,0.1,Online,1074.74
ORD000291,CLI0345,PRD053,2023-08-08,5,290.91,0.1,Online,1309.1
ORD000292,CLI0337,PRD079,2023-03-21,5,350.58,0.2,App Móvil,1402.32
ORD000293,CLI0371,PRD048,2022-12-02,1,40.26,0.0,Online,40.26
ORD000294,CLI0016,PRD056,2023-11-19,3,204.92,0.1,Tienda Física,553.28
ORD000295,CLI0215,PRD050,2023-08-30,4,441.75,0.0,Marketplace,1767.0
ORD000296,CLI0420,PRD026,2023-01-13,2,36.31,0.0,Online,72.62
ORD000297,CLI0220,PRD034,2023-12-23,5,426.71,0.0,Online,2133.55
ORD000298,CLI0074,PRD078,2022-08-06,5,130.9,0.2,Marketplace,523.6
ORD000299,CLI0333,PRD044,2022-06-21,1,194.96,0.0,App Móvil,194.96
ORD000300,CLI0152,PRD061,2023-07-03,1,597.08,0.05,Online,567.23
ORD000301,CLI0256,PRD053,2024-03-02,3,290.91,0.05,Online,829.09
ORD000302,CLI0259,PRD075,2022-08-24,5,168.7,0.05,Tienda Física,801.32
ORD000303,CLI0349,PRD064,2022-08-27,4,120.71,0.0,App Móvil,482.84
ORD000304,CLI0465,PRD009,2022-05-27,4,49.35,0.05,Online,187.53
ORD000305,CLI0347,PRD039,2023-12-09,4,131.88,0.05,App Móvil,501.14
ORD000306,CLI0500,PRD062,2022-08-02,1,61.06,0.15,Online,51.9
ORD000307,CLI0010,PRD017,2023-02-18,1,454.64,0.2,Tienda Física,363.71
ORD000308,CLI0392,PRD050,2024-03-22,1,441.75,0.0,Online,441.75
ORD000309,CLI0209,PRD032,2022-01-13,5,125.04,0.0,Tienda Física,625.2
ORD000310,CLI0365,PRD008,2023-04-15,5,479.3,0.05,App Móvil,2276.67
ORD000311,CLI0043,PRD080,2023-02-28,5,306.33,0.0,Online,1531.65
ORD000312,CLI0264,PRD075,2023-11-17,1,168.7,0.1,Tienda Física,151.83
ORD000313,CLI0015,PRD063,2022-11-19,5,240.04,0.1,Online,1080.18
ORD000314,CLI0333,PRD022,2022-12-12,5,373.28,0.0,Online,1866.4
ORD000315,CLI0109,PRD079,2022-06-19,4,350.58,0.15,Online,1191.97
ORD000316,CLI0073,PRD057,2023-10-02,3,320.2,0.0,Tienda Física,960.6
ORD000317,CLI0040,PRD078,2023-11-07,1,130.9,0.2,Marketplace,104.72
ORD000318,CLI0135,PRD006,2022-05-24,2,320.36,0.0,Online,640.72
ORD000319,CLI0480,PRD018,2022-12-05,2,311.99,0.15,Online,530.38
ORD000320,CLI0493,PRD061,2023-12-23,4,597.08,0.0,Online,2388.32
ORD000321,CLI0041,PRD075,2022-01-03,5,168.7,0.05,Tienda Física,801.32
ORD000322,CLI0490,PRD018,2022-10-18,3,311.99,0.0,Online,935.97
