customer_id,signup_date,segment,age_group,region,country,city
100099,2025-06-28,Básico,18-24,Cono Sur,Uruguay,Montevideo
100100,2024-09-18,Básico,18-24,Cono Sur,Argentina,Córdoba
100101,2023-10-02,Básico,18-24,Centroamérica,El Salvador,San Salvador
100102,2025-05-18,Básico,35-44,Andina,Colombia,Medellín
100103,2026-02-18,Plus,35-44,Cono Sur,Argentina,Córdoba
100104,2024-05-04,Premium,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100105,2023-11-24,Básico,35-44,Centroamérica,Honduras,Tegucigalpa
100106,2023-12-12,Básico,18-24,Caribe,República Dominicana,Santo Domingo
100107,2024-11-15,Básico,25-34,Andina,Ecuador,Guayaquil
100108,2023-02-24,Básico,45-54,Andina,Perú,Lima
100109,2024-07-12,Básico,55+,Cono Sur,Argentina,Rosario
100110,2023-01-29,Premium,25-34,Caribe,República Dominicana,Santiago
100111,2023-02-14,Básico,18-24,Andina,Perú,Arequipa
100112,2024-05-11,Básico,45-54,Caribe,República Dominicana,Santiago
100113,2025-05-11,Premium,45-54,Pacífica,México,CDMX
100114,2025-10-17,Básico,25-34,Andina,Colombia,Medellín
100115,2023-04-12,Premium,25-34,Cono Sur,Uruguay,Montevideo
100116,2023-10-09,Básico,18-24,Centroamérica,Guatemala,Ciudad de Guatemala
100117,2024-05-02,Básico,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100118,2024-10-25,Premium,55+,Caribe,República Dominicana,Santo Domingo
100119,2026-02-14,Básico,35-44,Pacífica,Chile,Valparaíso
100120,2025-03-01,Básico,25-34,Pacífica,México,Guadalajara
100121,2024-09-13,Básico,35-44,Centroamérica,El Salvador,San Salvador
100122,2023-03-12,Plus,45-54,Andina,Ecuador,Guayaquil
100123,2023-04-04,Plus,25-34,Caribe,República Dominicana,Santo Domingo
100124,2023-06-26,Básico,45-54,Andina,Ecuador,Quito
100125,2025-02-02,Plus,25-34,Pacífica,México,Monterrey
100126,2024-01-18,Plus,25-34,Caribe,República Dominicana,Santiago
100127,2023-10-06,Básico,35-44,Andina,Colombia,Barranquilla
100128,2025-02-12,Básico,25-34,Andina,Perú,Arequipa
100129,2025-07-30,Básico,55+,Pacífica,Chile,Santiago
100130,2024-05-22,Básico,35-44,Andina,Colombia,Medellín
100131,2025-10-15,Básico,25-34,Cono Sur,Paraguay,Asunción
100132,2025-04-27,Básico,25-34,Pacífica,México,Monterrey
100133,2025-04-07,Básico,35-44,Caribe,Panamá,Ciudad de Panamá
100134,2025-09-29,Básico,25-34,Pacífica,México,CDMX
100135,2023-08-01,Plus,35-44,Andina,Ecuador,Guayaquil
100136,2025-05-25,Básico,25-34,Cono Sur,Paraguay,Asunción
100137,2026-01-11,Premium,25-34,Pacífica,Chile,Santiago
100138,2026-02-20,Premium,35-44,Cono Sur,Paraguay,Asunción
100139,2024-10-29,Plus,18-24,Andina,Perú,Arequipa
100140,2025-05-21,Premium,35-44,Pacífica,México,CDMX
100141,2025-10-23,Premium,35-44,Pacífica,México,Guadalajara
100142,2025-09-11,Básico,25-34,Cono Sur,Argentina,Rosario
100143,2025-11-02,Plus,35-44,Pacífica,Chile,Valparaíso
100144,2025-08-19,Básico,45-54,Pacífica,Chile,Valparaíso
100145,2024-03-16,Plus,45-54,Andina,Colombia,Bogotá
100146,2025-04-23,Básico,25-34,Caribe,Panamá,Ciudad de Panamá
100147,2024-04-19,Básico,25-34,Pacífica,México,CDMX
100148,2025-07-15,Básico,35-44,Caribe,Costa Rica,San José
100149,2025-07-24,Premium,35-44,Andina,Perú,Cusco
100150,2025-12-15,Básico,35-44,Cono Sur,Argentina,Córdoba
100151,2024-11-10,Básico,35-44,Cono Sur,Uruguay,Montevideo
100152,2024-07-02,Básico,45-54,Andina,Ecuador,Quito
100153,2023-07-11,Básico,25-34,Pacífica,México,Monterrey
100154,2025-01-07,Plus,35-44,Andina,Colombia,Cali
100155,2024-10-16,Plus,18-24,Centroamérica,Guatemala,Ciudad de Guatemala
100156,2024-08-17,Básico,25-34,Caribe,Costa Rica,San José
100157,2025-02-20,Básico,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100158,2025-09-09,Básico,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100159,2023-06-21,Básico,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100160,2024-05-13,Plus,45-54,Andina,Perú,Lima
100161,2025-04-14,Plus,45-54,Cono Sur,Uruguay,Montevideo
100162,2025-08-04,Básico,35-44,Andina,Perú,Cusco
100163,2025-06-18,Plus,55+,Andina,Colombia,Cali
100164,2025-07-12,Básico,25-34,Pacífica,México,Guadalajara
100165,2025-09-14,Plus,45-54,Caribe,Costa Rica,San José
100166,2026-01-15,Básico,18-24,Cono Sur,Uruguay,Montevideo
100167,2024-12-03,Plus,25-34,Cono Sur,Argentina,Rosario
100168,2023-10-15,Básico,25-34,Caribe,Panamá,Ciudad de Panamá
100169,2024-10-12,Premium,18-24,Cono Sur,Paraguay,Asunción
100170,2025-03-30,Básico,35-44,Caribe,Panamá,Ciudad de Panamá
100171,2023-04-27,Básico,25-34,Pacífica,Chile,Santiago
100172,2025-05-24,Básico,35-44,Andina,Perú,Arequipa
100173,2024-09-20,Básico,25-34,Cono Sur,Uruguay,Montevideo
100174,2025-12-17,Básico,18-24,Andina,Perú,Arequipa
100175,2023-09-02,Plus,55+,Andina,Perú,Lima
100176,2025-11-13,Plus,35-44,Caribe,República Dominicana,Santo Domingo
100177,2024-06-01,Básico,55+,Cono Sur,Paraguay,Asunción
100178,2024-10-24,Plus,25-34,Cono Sur,Uruguay,Montevideo
100179,2025-02-01,Plus,18-24,Centroamérica,Honduras,San Pedro Sula
100180,2024-10-30,Básico,35-44,Cono Sur,Uruguay,Montevideo
100181,2025-11-09,Básico,35-44,Cono Sur,Uruguay,Montevideo
100182,2023-07-13,Básico,18-24,Pacífica,Chile,Santiago
100183,2025-04-23,Básico,45-54,Caribe,Costa Rica,San José
100184,2026-01-31,Plus,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100185,2023-09-12,Premium,45-54,Centroamérica,Honduras,San Pedro Sula
100186,2023-10-22,Plus,25-34,Caribe,República Dominicana,Santo Domingo
100187,2024-07-02,Básico,35-44,Andina,Colombia,Bogotá
100188,2025-04-17,Plus,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100189,2026-01-12,Plus,55+,Andina,Ecuador,Guayaquil
100190,2025-07-08,Básico,25-34,Cono Sur,Uruguay,Montevideo
100191,2025-07-06,Plus,18-24,Andina,Perú,Cusco
100192,2024-05-24,Básico,18-24,Andina,Ecuador,Quito
100193,2025-01-15,Básico,35-44,Cono Sur,Argentina,Buenos Aires
100194,2023-09-01,Básico,55+,Andina,Perú,Lima
100195,2024-06-18,Básico,45-54,Andina,Perú,Lima
100196,2023-08-07,Premium,35-44,Pacífica,México,Monterrey
100197,2023-02-01,Básico,55+,Cono Sur,Argentina,Buenos Aires
100198,2025-09-16,Básico,35-44,Andina,Ecuador,Quito
100199,2025-07-18,Básico,25-34,Caribe,República Dominicana,Santo Domingo
100200,2024-08-12,Básico,35-44,Centroamérica,El Salvador,San Salvador
100201,2023-01-17,Básico,18-24,Cono Sur,Paraguay,Asunción
100202,2023-04-15,Básico,25-34,Pacífica,Chile,Santiago
100203,2023-05-10,Plus,25-34,Andina,Colombia,Barranquilla
100204,2025-04-08,Básico,25-34,Andina,Colombia,Medellín
100205,2023-08-24,Plus,55+,Andina,Ecuador,Guayaquil
100206,2023-10-16,Básico,55+,Andina,Ecuador,Quito
100207,2025-09-21,Plus,25-34,Centroamérica,El Salvador,San Salvador
100208,2025-10-09,Plus,35-44,Andina,Colombia,Bogotá
100209,2025-05-31,Básico,25-34,Pacífica,México,Monterrey
100210,2023-12-24,Básico,18-24,Centroamérica,Guatemala,Ciudad de Guatemala
100211,2024-10-31,Premium,25-34,Pacífica,México,CDMX
100212,2023-08-20,Básico,25-34,Andina,Perú,Arequipa
100213,2025-09-17,Plus,25-34,Cono Sur,Paraguay,Asunción
100214,2023-04-09,Básico,25-34,Centroamérica,El Salvador,San Salvador
100215,2025-05-09,Básico,18-24,Centroamérica,El Salvador,San Salvador
100216,2024-08-13,Básico,25-34,Andina,Perú,Lima
100217,2025-05-24,Premium,55+,Andina,Perú,Lima
100218,2024-06-04,Básico,18-24,Cono Sur,Uruguay,Montevideo
100219,2023-07-02,Plus,25-34,Caribe,República Dominicana,Santiago
100220,2025-05-17,Plus,35-44,Caribe,República Dominicana,Santiago
100221,2024-12-29,Básico,25-34,Pacífica,México,CDMX
100222,2024-06-20,Básico,35-44,Centroamérica,El Salvador,San Salvador
100223,2024-03-06,Básico,18-24,Cono Sur,Uruguay,Montevideo
100224,2024-02-02,Básico,35-44,Caribe,Costa Rica,San José
100225,2024-07-09,Plus,35-44,Cono Sur,Argentina,Rosario
100226,2023-10-30,Básico,35-44,Andina,Perú,Arequipa
100227,2023-11-23,Básico,35-44,Pacífica,México,Monterrey
100228,2023-11-18,Plus,25-34,Pacífica,Chile,Santiago
100229,2023-01-15,Plus,25-34,Andina,Colombia,Barranquilla
100230,2025-12-07,Básico,25-34,Andina,Colombia,Bogotá
100231,2023-10-01,Plus,35-44,Caribe,Costa Rica,San José
100232,2023-07-10,Básico,18-24,Cono Sur,Uruguay,Montevideo
100233,2023-06-24,Plus,25-34,Pacífica,Chile,Valparaíso
100234,2026-02-15,Básico,35-44,Cono Sur,Argentina,Córdoba
100235,2024-07-04,Básico,18-24,Cono Sur,Argentina,Córdoba
100236,2024-01-13,Básico,18-24,Pacífica,México,CDMX
100237,2024-04-11,Plus,35-44,Cono Sur,Argentina,Córdoba
100238,2023-04-13,Plus,25-34,Andina,Ecuador,Quito
100239,2023-12-29,Básico,45-54,Andina,Colombia,Cali
100240,2023-10-15,Premium,55+,Cono Sur,Uruguay,Montevideo
100241,2025-07-16,Plus,55+,Cono Sur,Argentina,Rosario
100242,2023-03-09,Básico,25-34,Andina,Ecuador,Quito
100243,2024-05-06,Plus,25-34,Pacífica,Chile,Santiago
100244,2025-07-01,Básico,35-44,Pacífica,Chile,Santiago
100245,2025-08-20,Premium,35-44,Cono Sur,Argentina,Buenos Aires
100246,2024-08-14,Básico,35-44,Pacífica,Chile,Santiago
100247,2023-09-15,Básico,25-34,Caribe,República Dominicana,Santo Domingo
100248,2024-01-25,Básico,18-24,Caribe,Costa Rica,San José
100249,2023-09-14,Básico,25-34,Caribe,Panamá,Ciudad de Panamá
100250,2025-02-03,Plus,18-24,Centroamérica,Honduras,San Pedro Sula
100251,2023-12-05,Básico,18-24,Cono Sur,Uruguay,Montevideo
100252,2024-12-29,Básico,55+,Caribe,Costa Rica,San José
100253,2025-01-27,Básico,18-24,Andina,Perú,Lima
100254,2025-12-21,Premium,35-44,Andina,Perú,Cusco
100255,2024-03-03,Plus,55+,Centroamérica,Guatemala,Ciudad de Guatemala
100256,2026-01-15,Básico,25-34,Cono Sur,Argentina,Rosario
100257,2024-04-07,Básico,35-44,Andina,Colombia,Barranquilla
100258,2025-02-25,Básico,35-44,Andina,Perú,Arequipa
100259,2025-02-03,Premium,25-34,Pacífica,Chile,Santiago
100260,2025-08-02,Plus,25-34,Andina,Colombia,Barranquilla
100261,2024-06-25,Plus,45-54,Cono Sur,Argentina,Buenos Aires
100262,2025-07-04,Premium,45-54,Caribe,República Dominicana,Santo Domingo
100263,2024-02-15,Básico,45-54,Andina,Ecuador,Quito
100264,2024-07-21,Plus,55+,Cono Sur,Uruguay,Montevideo
100265,2024-07-31,Básico,25-34,Andina,Ecuador,Guayaquil
100266,2025-03-24,Básico,45-54,Caribe,Panamá,Ciudad de Panamá
100267,2024-12-15,Básico,35-44,Andina,Ecuador,Guayaquil
100268,2023-04-01,Básico,35-44,Andina,Colombia,Barranquilla
100269,2025-07-23,Premium,35-44,Andina,Perú,Cusco
100270,2025-05-25,Básico,45-54,Andina,Ecuador,Quito
100271,2023-05-01,Plus,45-54,Andina,Perú,Cusco
100272,2026-01-15,Plus,25-34,Andina,Ecuador,Quito
100273,2025-02-02,Plus,35-44,Pacífica,Chile,Valparaíso
100274,2023-04-09,Premium,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100275,2024-07-21,Básico,35-44,Caribe,Costa Rica,San José
100276,2025-08-23,Básico,45-54,Caribe,República Dominicana,Santo Domingo
100277,2023-11-20,Básico,45-54,Pacífica,México,Monterrey
100278,2025-12-13,Básico,25-34,Cono Sur,Paraguay,Asunción
100279,2024-04-28,Premium,35-44,Cono Sur,Paraguay,Asunción
100280,2023-09-19,Básico,25-34,Andina,Perú,Arequipa
100281,2024-02-16,Básico,18-24,Andina,Ecuador,Guayaquil
100282,2024-08-29,Básico,25-34,Andina,Colombia,Bogotá
100283,2025-03-05,Básico,55+,Andina,Perú,Arequipa
100284,2025-12-07,Plus,25-34,Pacífica,Chile,Valparaíso
100285,2023-08-14,Básico,55+,Caribe,Costa Rica,San José
100286,2026-01-14,Plus,25-34,Andina,Ecuador,Quito
100287,2024-09-01,Plus,35-44,Caribe,Costa Rica,San José
100288,2023-05-28,Plus,35-44,Pacífica,México,CDMX
100289,2025-12-06,Básico,35-44,Andina,Colombia,Bogotá
100290,2024-02-08,Plus,35-44,Cono Sur,Argentina,Buenos Aires
100291,2024-12-17,Básico,35-44,Andina,Ecuador,Quito
100292,2025-03-17,Básico,55+,Cono Sur,Uruguay,Montevideo
100293,2023-01-16,Plus,35-44,Andina,Colombia,Cali
100294,2023-09-13,Plus,18-24,Cono Sur,Paraguay,Asunción
100295,2025-03-03,Básico,25-34,Cono Sur,Paraguay,Asunción
100296,2024-01-11,Premium,35-44,Cono Sur,Uruguay,Montevideo
100297,2023-01-11,Básico,25-34,Cono Sur,Paraguay,Asunción
100298,2023-01-27,Plus,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100299,2025-08-12,Premium,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100300,2023-06-27,Básico,25-34,Centroamérica,Guatemala,Ciudad de Guatemala
100301,2023-04-26,Plus,45-54,Andina,Perú,Lima
100302,2024-10-11,Plus,35-44,Pacífica,Chile,Santiago
100303,2023-05-18,Plus,35-44,Pacífica,Chile,Santiago
100304,2025-01-24,Plus,35-44,Cono Sur,Paraguay,Asunción
100305,2024-09-20,Plus,45-54,Pacífica,México,Monterrey
100306,2025-01-19,Básico,35-44,Caribe,Costa Rica,San José
100307,2024-07-21,Plus,55+,Pacífica,México,Monterrey
100308,2025-06-18,Básico,18-24,Andina,Ecuador,Quito
100309,2025-01-14,Premium,35-44,Andina,Perú,Lima
100310,2024-04-24,Básico,35-44,Pacífica,México,CDMX
100311,2023-01-18,Básico,25-34,Caribe,Costa Rica,San José
100312,2023-11-12,Premium,25-34,Andina,Perú,Cusco
100313,2023-06-01,Básico,35-44,Caribe,República Dominicana,Santiago
100314,2023-01-18,Básico,25-34,Caribe,Costa Rica,San José
100315,2023-11-12,Plus,55+,Caribe,República Dominicana,Santiago
100316,2023-08-27,Básico,25-34,Caribe,Costa Rica,San José
100317,2023-03-30,Básico,18-24,Centroamérica,Honduras,Tegucigalpa
100318,2023-12-27,Básico,35-44,Caribe,Costa Rica,San José
100319,2024-08-08,Básico,25-34,Cono Sur,Argentina,Córdoba
100320,2023-07-25,Básico,18-24,Cono Sur,Uruguay,Montevideo
100321,2023-11-12,Básico,35-44,Pacífica,Chile,Santiago
100322,2023-01-24,Básico,35-44,Caribe,Panamá,Ciudad de Panamá
100323,2023-02-28,Básico,18-24,Pacífica,Chile,Valparaíso
100324,2023-07-01,Básico,35-44,Cono Sur,Paraguay,Asunción
100325,2024-06-07,Plus,35-44,Centroamérica,Honduras,San Pedro Sula
100326,2025-02-08,Plus,45-54,Cono Sur,Paraguay,Asunción
100327,2025-06-29,Básico,25-34,Pacífica,Chile,Santiago
100328,2024-12-28,Básico,25-34,Pacífica,Chile,Valparaíso
100329,2024-12-13,Premium,55+,Caribe,Costa Rica,San José
100330,2025-12-16,Plus,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100331,2023-10-23,Básico,18-24,Andina,Colombia,Cali
100332,2025-07-10,Básico,45-54,Centroamérica,El Salvador,San Salvador
100333,2025-12-18,Básico,25-34,Cono Sur,Paraguay,Asunción
100334,2024-10-17,Plus,45-54,Andina,Ecuador,Quito
100335,2025-08-28,Premium,35-44,Pacífica,Chile,Santiago
100336,2023-06-08,Premium,55+,Andina,Ecuador,Quito
100337,2025-10-11,Básico,55+,Centroamérica,Guatemala,Ciudad de Guatemala
100338,2024-10-13,Básico,25-34,Andina,Ecuador,Guayaquil
100339,2023-09-13,Básico,45-54,Cono Sur,Uruguay,Montevideo
100340,2023-03-13,Básico,25-34,Andina,Colombia,Medellín
100341,2025-04-11,Básico,35-44,Cono Sur,Uruguay,Montevideo
100342,2024-05-12,Plus,35-44,Cono Sur,Uruguay,Montevideo
100343,2023-12-25,Básico,18-24,Pacífica,Chile,Santiago
100344,2024-03-26,Premium,18-24,Cono Sur,Uruguay,Montevideo
100345,2026-02-18,Básico,18-24,Cono Sur,Uruguay,Montevideo
100346,2024-05-09,Básico,18-24,Cono Sur,Argentina,Rosario
100347,2023-04-01,Premium,25-34,Andina,Colombia,Medellín
100348,2023-11-20,Plus,55+,Pacífica,México,Guadalajara
100349,2023-06-17,Básico,35-44,Andina,Perú,Cusco
100350,2025-03-03,Plus,45-54,Pacífica,México,Guadalajara
100351,2025-07-13,Básico,45-54,Andina,Perú,Arequipa
100352,2025-08-29,Básico,35-44,Pacífica,México,CDMX
100353,2024-12-31,Básico,25-34,Pacífica,Chile,Santiago
100354,2025-06-06,Básico,45-54,Pacífica,Chile,Santiago
100355,2024-04-26,Plus,45-54,Pacífica,México,Guadalajara
100356,2024-12-26,Básico,45-54,Centroamérica,El Salvador,San Salvador
100357,2023-05-04,Plus,55+,Cono Sur,Argentina,Buenos Aires
100358,2024-09-13,Plus,35-44,Pacífica,México,CDMX
100359,2024-10-05,Básico,35-44,Pacífica,México,Monterrey
100360,2023-02-05,Básico,45-54,Cono Sur,Argentina,Rosario
100361,2024-09-25,Básico,25-34,Andina,Ecuador,Guayaquil
100362,2025-04-14,Plus,45-54,Andina,Perú,Lima
100363,2024-02-29,Plus,18-24,Andina,Ecuador,Guayaquil
100364,2024-09-21,Plus,18-24,Centroamérica,Honduras,Tegucigalpa
100365,2023-11-27,Básico,35-44,Caribe,Costa Rica,San José
100366,2023-11-09,Básico,18-24,Centroamérica,Guatemala,Ciudad de Guatemala
100367,2023-05-30,Básico,55+,Centroamérica,Guatemala,Ciudad de Guatemala
100368,2024-01-14,Básico,18-24,Caribe,Costa Rica,San José
100369,2025-07-16,Plus,35-44,Cono Sur,Uruguay,Montevideo
100370,2025-12-16,Básico,25-34,Centroamérica,Honduras,San Pedro Sula
100371,2025-01-04,Básico,55+,Andina,Colombia,Bogotá
100372,2024-12-22,Básico,25-34,Caribe,República Dominicana,Santiago
100373,2024-12-09,Básico,18-24,Caribe,Costa Rica,San José
100374,2024-07-03,Plus,18-24,Andina,Colombia,Medellín
100375,2024-05-03,Básico,35-44,Andina,Perú,Cusco
100376,2024-12-18,Premium,55+,Cono Sur,Argentina,Buenos Aires
100377,2025-06-24,Plus,55+,Caribe,República Dominicana,Santiago
100378,2024-04-22,Premium,25-34,Caribe,República Dominicana,Santo Domingo
100379,2024-10-15,Plus,25-34,Centroamérica,El Salvador,San Salvador
100380,2024-06-27,Plus,18-24,Pacífica,México,CDMX
100381,2023-11-26,Plus,35-44,Cono Sur,Argentina,Buenos Aires
100382,2023-12-02,Básico,35-44,Cono Sur,Uruguay,Montevideo
100383,2023-04-01,Básico,25-34,Pacífica,México,Monterrey
100384,2024-05-23,Plus,35-44,Caribe,Panamá,Ciudad de Panamá
100385,2025-04-02,Básico,45-54,Cono Sur,Paraguay,Asunción
100386,2025-03-02,Básico,18-24,Centroamérica,Guatemala,Ciudad de Guatemala
100387,2026-02-12,Premium,25-34,Cono Sur,Argentina,Buenos Aires
100388,2023-02-16,Básico,25-34,Andina,Perú,Lima
100389,2025-05-28,Básico,18-24,Cono Sur,Uruguay,Montevideo
100390,2025-07-07,Plus,18-24,Pacífica,Chile,Valparaíso
100391,2024-05-19,Básico,35-44,Andina,Ecuador,Quito
100392,2023-11-23,Premium,18-24,Pacífica,Chile,Santiago
100393,2024-02-17,Básico,35-44,Centroamérica,Guatemala,Ciudad de Guatemala
100394,2025-02-27,Premium,45-54,Andina,Perú,Arequipa
100395,2025-09-22,Plus,55+,Caribe,Panamá,Ciudad de Panamá
100396,2025-01-12,Básico,35-44,Cono Sur,Argentina,Rosario
100397,2024-08-16,Básico,25-34,Caribe,República Dominicana,Santiago
