ID_Pedido,Fecha_pedido,ID_Cliente,Segmento_Cliente,Pais,Region,Ciudad,Categoria_Producto,Producto,Canal,Campaña,Estación,Unidades,Descuento_pct,Ingresos,Costo,Ganancia
ORD-202505-00062,23/05/2025,CLI-3108,Estandar,Colombia,Andina,Bogotá,Hogar,Aspiradora,Online,Siempre activo,Otoño,2,0.021926608524005117,437.14,299.0802150828501,138.06341543827966
ORD-202402-00063,04/02/2024,CLI-2845,Premium,Colombia,Andina,Medellín,Deportes,Guantes,Tienda,Temporada baja,Verano,1,0.08821477089555109,36.75515534429513,24.23874763740393,12.516407706891204
ORD-202407-00064,24/07/2024,CLI-4499,Premium,Peru,Sierra,Cusco,Hogar,Cafetera,Online,Black Friday,Invierno,2,0.26028637728575876,195.0532726506768,123.11241990724854,71.94085274342827
ORD-202403-00065,21/03/2024,CLI-3022,Estandar,Colombia,Caribe,Barranquilla,Hogar,Licuadora,Online,Back to School,Otoño,1,0.09591107182727575,82.79453416693386,56.3148212044433,26.47971296249056
ORD-202507-00066,15/07/2025,CLI-5092,Estandar,Peru,Sierra,Cusco,Electronica,Audifonos,Tienda,Siempre activo,Invierno,2,0.05813657386694739,209.7930259048652,137.59908576632617,72.19394013853903
ORD-202501-00067,22/01/2025,CLI-8226,Estandar,Colombia,Andina,Bogotá,Electronica,Smartwatch,Tienda,Siempre activo,Verano,1,0.07416885520111104,168.12241064876162,123.07840171489777,45.04400893386385
ORD-202401-00068,02/01/2024,CLI-2860,Estandar,Peru,Sierra,Arequipa,Deportes,Mancuernas,Online,Siempre activo,Verano,1,0.04821897646305787,75.66638932020777,47.66982527173089,27.996564048476877
ORD-202501-00069,24/01/2025,CLI-5608,Estandar,Peru,Sierra,Cusco,Hogar,Lampara,Online,Black Friday,Verano,1,0.21246425454518747,54.67,37.14222241390569,17.528606975181425
ORD-202507-00070,19/07/2025,CLI-6241,Estandar,Peru,Costa,Lima,Hogar,Lampara,Online,Back to School,Invierno,1,0.09081106147714584,43.443176151051965,30.329069705410834,13.11410644564113
ORD-202404-00071,15/04/2024,CLI-5428,Basico,Chile,Centro,Santiago,Deportes,Cuerda,Online,Siempre activo,Otoño,1,0.02059813094478158,16.51681956162518,10.405596323823863,6.111223237801317
ORD-202504-00072,21/04/2025,CLI-5659,Estandar,Chile,Norte,Antofagasta,Moda,Bolso,Online,Siempre activo,Otoño,1,0.05165081253564396,92.78234921647727,59.741137130019965,33.04121208645731
ORD-202512-00073,03/12/2025,CLI-2631,Estandar,Colombia,Caribe,Barranquilla,Hogar,Aspiradora,Tienda,Siempre activo,Verano,4,0.06342058018010542,958.62,644.3674426875895,314.25350509951136
ORD-202502-00074,05/02/2025,CLI-4574,Premium,Chile,Sur,Concepción,Hogar,Licuadora,Tienda,Siempre activo,Verano,2,0.06932371303550326,219.84470824376376,134.10527202869588,85.73943621506788
ORD-202512-00075,30/12/2025,CLI-6873,Estandar,Colombia,Andina,Bogotá,Moda,Zapatillas,Online,Black Friday,Verano,2,0.17417812509813985,204.32721876111796,120.92269669552294,83.40452206559502
ORD-202507-00076,09/07/2025,CLI-2773,Premium,Peru,Costa,Lima,Deportes,Guantes,Online,Siempre activo,Invierno,1,0.0647865191555561,33.29591833613691,22.040772650352736,11.255145685784171
ORD-202406-00077,10/06/2024,CLI-1632,Estandar,Mexico,Centro,CDMX,Electronica,Smartwatch,Online,Temporada baja,Invierno,2,0.1349774956076567,240.46503924880187,161.67431759431835,78.79072165448352
ORD-202407-00078,20/07/2024,CLI-4773,Basico,Colombia,Andina,Bogotá,Electronica,Smartwatch,Tienda,Black Friday,Invierno,1,,115.41148046206689,80.41172201506761,34.99975844699928
ORD-202409-00079,26/09/2024,CLI-6152,Estandar,Colombia,Caribe,Barranquilla,Electronica,Smartwatch,Tienda,Siempre activo,Primavera,2,0.03865170366267775,389.57,284.60139420459694,104.96484311376923
ORD-202409-00080,27/09/2024,CLI-8205,Estandar,Chile,Centro,Santiago,Electronica,Parlante,Tienda,Siempre activo,Primavera,5,0.020050796741268355,780.2624434184612,566.3970700870435,213.8653733314177
ORD-202503-00081,31/03/2025,CLI-7312,Basico,Peru,Costa,Trujillo,Moda,Chaqueta,Tienda,Siempre activo,Otoño,1,0.055144079527711734,137.86440335135163,86.0792449667049,51.78515838464672
ORD-202504-00082,06/04/2025,CLI-6052,Estandar,Colombia,Pacífico,Cali,Hogar,Cafetera,Online,Siempre activo,Otoño,1,0.03416343481652861,126.22,87.12568584694093,39.09912450306429
ORD-202512-00083,27/12/2025,CLI-5218,Estandar,Colombia,Caribe,Barranquilla,Hogar,Cafetera,Online,Siempre activo,Verano,1,0.05213838817052824,130.55711480159135,92.69555150912987,37.86156329246148
ORD-202409-00084,08/09/2024,CLI-9457,Basico,Chile,Norte,Antofagasta,Moda,Zapatillas,Tienda,Black Friday,Primavera,1,0.1893569443652371,89.1110194568378,58.713006205402436,30.39801325143536
ORD-202512-00085,02/12/2025,CLI-3787,Estandar,Chile,Centro,Santiago,Deportes,Bicicleta,Tienda,Siempre activo,Verano,1,0.06699275083963298,601.7914998829766,417.8933816010402,183.89811828193643
ORD-202410-00086,22/10/2024,CLI-2100,Basico,Peru,Costa,Lima,Hogar,Cafetera,Tienda,Siempre activo,Primavera,1,0.03976070461370455,131.56390137802208,89.44725432856976,42.116647049452325
ORD-202512-00087,25/12/2025,CLI-9009,Estandar,Colombia,Andina,Medellín,Moda,Zapatillas,Online,Siempre activo,Verano,1,0.05423915372314432,110.71174928044402,73.88599723243374,36.82575204801029
ORD-202512-00088,20/12/2025,CLI-6977,Basico,Peru,Sierra,Arequipa,Moda,Jeans,Online,Temporada baja,Verano,1,,73.57483947448227,47.16878484209048,26.406054632391793
ORD-202412-00089,03/12/2024,CLI-5979,Estandar,Colombia,Andina,Medellín,Deportes,Cuerda,Tienda,Back to School,Verano,1,0.07633029853601765,17.09078311001156,11.82281837286986,5.2679647371417015
ORD-202402-00090,22/02/2024,CLI-2654,Premium,Colombia,Andina,Bogotá,Moda,Zapatillas,Tienda,Siempre activo,Verano,1,0.07467051412687262,120.23668936811315,76.5377380639776,43.69895130413555
ORD-202408-00091,04/08/2024,CLI-4785,Estandar,Mexico,Occidente,Guadalajara,Moda,Zapatillas,Tienda,Navidad,Invierno,2,0.10967705915213001,150.63947775582335,85.8645023208193,64.77497543500405
ORD-202407-00092,06/07/2024,CLI-7939,Estandar,Mexico,Centro,CDMX,Hogar,Cafetera,Online,Siempre activo,Invierno,3,0.0,295.51,206.80324605636287,88.70237686137597
ORD-202501-00093,14/01/2025,CLI-5962,Estandar,Peru,Costa,Trujillo,Hogar,Cafetera,Online,Siempre activo,Verano,5,0.11627551900066037,623.355047368529,404.97033857406655,218.38470879446243
ORD-202505-00094,07/05/2025,CLI-3018,Estandar,Colombia,Andina,Medellín,Moda,Bolso,Online,Siempre activo,Otoño,2,0.0949176167263816,184.4999776473397,115.44737161306294,69.05260603427676
ORD-202402-00095,10/02/2024,CLI-6520,Estandar,Peru,Costa,Trujillo,Electronica,Audifonos,Online,Siempre activo,Verano,1,0.031209040689589164,134.5025516976207,93.08931903112496,41.413232666495745
ORD-202406-00096,05/06/2024,CLI-1233,Estandar,Peru,Sierra,Cusco,Moda,Zapatillas,Online,Black Friday,Invierno,3,0.21461949449656736,213.60,134.4868317429709,79.11221939075335
ORD-202401-00097,15/01/2024,CLI-9326,Premium,Peru,Costa,Lima,Moda,Chaqueta,Online,Siempre activo,Verano,1,0.024804863876588302,173.87558025646803,113.1365599187169,60.73902033775113
ORD-202403-00098,05/03/2024,CLI-8372,Estandar,Chile,Sur,Concepción,Hogar,Lampara,Online,Navidad,Otoño,1,0.07593194298512933,57.02,35.30560499296933,21.714772241867763
ORD-202506-00099,04/06/2025,CLI-7030,Estandar,Peru,Sierra,Cusco,Electronica,Audifonos,Online,Siempre activo,Invierno,1,0.0,99.47730113463157,73.72293183454357,25.754369300088
ORD-202412-00100,09/12/2024,CLI-9904,Basico,Peru,Costa,Lima,Hogar,Licuadora,Tienda,Siempre activo,Verano,1,0.016511040947364962,87.33,59.15914506786222,28.1740317095611
ORD-202405-00101,08/05/2024,CLI-7852,Estandar,Peru,Costa,Trujillo,Hogar,Lampara,Tienda,Black Friday,Otoño,1,0.2314305218332519,53.3255593302241,34.480841925529454,18.84471740469465
ORD-202510-00102,09/10/2025,CLI-2426,Estandar,Peru,Sierra,Arequipa,Electronica,Tablet,Online,Siempre activo,Primavera,5,0.10875495205636984,1804.5383279405423,1238.5464885240162,565.9918394165261
ORD-202504-00103,16/04/2025,CLI-1755,Estandar,Peru,Costa,Trujillo,Electronica,Tablet,Online,Navidad,Otoño,1,0.10882880824782357,356.4110851129619,254.76953002346858,101.64155508949335
ORD-202403-00104,03/03/2024,CLI-1994,Premium,Peru,Sierra,Arequipa,Hogar,Licuadora,Tienda,Back to School,Otoño,4,0.0741939354021039,423.20,265.79835227343017,157.39776981632747
ORD-202405-00105,18/05/2024,CLI-3529,Basico,Colombia,Pacífico,Cali,Deportes,Guantes,Tienda,Siempre activo,Otoño,2,0.0,66.64775168832749,47.295380860472086,19.352370827855403
ORD-202505-00106,13/05/2025,CLI-3550,Estandar,Peru,Sierra,Arequipa,Hogar,Aspiradora,Tienda,Siempre activo,Otoño,1,0.030537895859582314,235.24196807002022,152.37238788058283,82.86958018943739
ORD-202508-00107,15/08/2025,CLI-8238,Estandar,Peru,Sierra,Cusco,Electronica,Smartwatch,Online,Siempre activo,Invierno,1,0.05481544604996758,133.39286524098853,100.0446489307414,33.348216310247125
ORD-202501-00108,26/01/2025,CLI-7651,Premium,Colombia,Pacífico,Cali,Deportes,Guantes,Online,Navidad,Verano,1,0.14072732872176577,35.345821349431084,24.182581011557872,11.163240337873212
ORD-202511-00109,05/11/2025,CLI-5228,Estandar,Peru,Costa,Trujillo,Hogar,Licuadora,Tienda,Siempre activo,Primavera,1,0.04864631329027845,100.15143635660056,66.87355633363954,33.277880022961014
ORD-202502-00110,22/02/2025,CLI-6756,Estandar,Colombia,Caribe,Barranquilla,Electronica,Parlante,Tienda,Siempre activo,Verano,4,0.049600014588906144,563.7645285464963,384.49309706096227,179.27143148553404
ORD-202410-00111,15/10/2024,CLI-4397,Estandar,Colombia,Andina,Medellín,Hogar,Lampara,Online,Temporada baja,Primavera,4,0.05,249.80701391082653,160.25130093057606,89.55571298025046
ORD-202501-00112,13/01/2025,CLI-7025,Estandar,Chile,Sur,Concepción,Moda,Chaqueta,Online,Temporada baja,Verano,1,0.09230792333403112,138.06711043256735,90.808544921446,47.25856551112135
ORD-202505-00113,04/05/2025,CLI-7255,Basico,Chile,Centro,Valparaíso,Electronica,Smartwatch,Online,Siempre activo,Otoño,5,0.06010802990432156,752.8358971527726,564.6269228645795,188.2089742881932
ORD-202408-00114,18/08/2024,CLI-1264,Estandar,Peru,Sierra,Cusco,Moda,Jeans,Online,Siempre activo,Invierno,1,0.07212877790391507,59.88273403667165,37.77339834877546,22.10933568789619
ORD-202402-00115,10/02/2024,CLI-7065,Estandar,Chile,Centro,Santiago,Moda,Jeans,Online,Siempre activo,Verano,1,0.0524876167792874,80.37,50.66348316786244,29.709524543055934
ORD-202401-00116,28/01/2024,CLI-1442,Basico,Mexico,Centro,Puebla,Moda,Zapatillas,Online,Black Friday,Verano,1,0.24058401604690177,75.19674646645402,45.20376409389201,29.992982372562004
ORD-202405-00117,14/05/2024,CLI-2291,Premium,Peru,Costa,Lima,Moda,Chaqueta,Tienda,Temporada baja,Otoño,5,,892.13,545.3109897279412,346.82196261135925
ORD-202407-00118,19/07/2024,CLI-5997,Estandar,Mexico,Norte,Monterrey,Electronica,Audifonos,Online,Navidad,Invierno,1,0.08704772346112341,80.63244299920113,52.79846573956991,27.83397725963122
ORD-202402-00119,02/02/2024,CLI-9592,Estandar,Peru,Sierra,Cusco,Moda,Jeans,Tienda,Siempre activo,Verano,4,0.019871283095172408,389.68,240.53106868991264,149.15343927046243
ORD-202402-00120,17/02/2024,CLI-9910,Basico,Colombia,Caribe,Barranquilla,Electronica,Parlante,Tienda,Temporada baja,Verano,2,0.0850382109977853,239.3386967328384,160.34437996298055,78.99431676985785
ORD-202505-00121,17/05/2025,CLI-8614,Premium,Peru,Sierra,Arequipa,Moda,Zapatillas,Online,Siempre activo,Otoño,3,0.03567453973269348,424.81191491335505,274.4463209832364,150.36559393011868
ORD-202502-00122,10/02/2025,CLI-5681,Estandar,Chile,Norte,Antofagasta,Electronica,Smartwatch,Online,Siempre activo,Verano,5,0.03858532751468324,907.2120064445977,634.7277587155846,272.4842477290131
ORD-202507-00123,27/07/2025,CLI-8073,Estandar,Colombia,Pacífico,Cali,Deportes,Bicicleta,Online,Siempre activo,Invierno,1,0.00569467515912446,417.5668294492202,304.8237854979308,112.7430439512894
ORD-202512-00124,28/12/2025,CLI-9065,Estandar,Chile,Sur,Concepción,Moda,Zapatillas,Online,Navidad,Verano,1,0.13503513793466004,104.97,63.66617315201698,41.30227288873503
ORD-202404-00125,08/04/2024,CLI-3169,Estandar,Colombia,Pacífico,Cali,Moda,Bolso,Online,Siempre activo,Otoño,2,0.05606677623775894,187.3572266466823,119.84190788731426,67.51531875936804
ORD-202511-00126,14/11/2025,CLI-6373,Premium,Peru,Costa,Trujillo,Deportes,Cuerda,Online,Siempre activo,Primavera,1,0.06670548205808238,18.68691237457436,12.184880045259607,6.502032329314751
ORD-202512-00127,26/12/2025,CLI-7516,Basico,Colombia,Andina,Medellín,Hogar,Lampara,Online,Temporada baja,Verano,1,0.12046412999016926,54.28,35.5121036762571,18.771383386572523
ORD-202506-00128,30/06/2025,CLI-6880,Basico,Chile,Norte,Antofagasta,Hogar,Cafetera,Online,Siempre activo,Invierno,4,0.04882750661192277,392.32,266.42182501193685,125.90025341931573
ORD-202509-00129,04/09/2025,CLI-7609,Estandar,Peru,Sierra,Cusco,Electronica,Tablet,Online,Black Friday,Primavera,1,0.21503509803582638,312.0434812160225,230.28977954468007,81.75370167134241
ORD-202504-00130,06/04/2025,CLI-5274,Premium,Peru,Costa,Trujillo,Hogar,Lampara,Online,Siempre activo,Otoño,1,0.06476718393394565,65.53248924806222,42.37147816147168,23.16101108659054
ORD-202510-00131,04/10/2025,CLI-3428,Estandar,Mexico,Norte,Monterrey,Deportes,Mancuernas,Online,Siempre activo,Primavera,2,0.06955651843810903,111.1645500078599,72.75523363305516,38.409316374804746
ORD-202401-00132,05/01/2024,CLI-4279,Premium,Peru,Sierra,Cusco,Hogar,Lampara,Online,Siempre activo,Verano,1,0.060961827257754224,73.3033323736969,46.940814609501004,26.3625177641959
ORD-202408-00133,05/08/2024,CLI-6044,Estandar,Colombia,Andina,Medellín,Electronica,Tablet,Tienda,Siempre activo,Invierno,2,0.0,593.2322432043178,396.22113140084025,197.01111180347755
