customer_id,country,city,segment,signup_date,last_activity_date,device_os,plan_type,monthly_fee_usd,orders_90d,avg_order_value_usd,total_spend_90d_usd,support_tickets_90d,satisfaction_score,coupon_used,preferred_category,churned,age,monthly_fee_raw,last_activity_raw
C000019,Chile,Santiago,Retail,2024-11-06,2025-10-17,Android,Plus,45.12,4,28.61,114.43,0,4.3,no,Belleza,0,29.0,45.12,2025-10-17
C000020,Argentina,Mendoza,Enterprise,2024-03-21,2024-05-06,iOS,Pro,,10,34.03,340.27,0,4.1,no,Hogar,1,20.0,,2024-05-06
C000021,Colombia,Medellín,Retail,2025-06-10,2025-09-15,macOS,Basic,26.22,2,25.69,51.37,0,4.8,no,Juguetes,0,31.0,26.22,2025-09-15
C000022,Colombia,Bogotá,Retail,2024-05-02,2024-12-26,Android,Basic,17.86,3,15.66,46.99,0,4.3,yes,Alimentos,0,40.0,17.86,2024-12-26
C000023,Perú,Lima,SMB,2024-11-06,2025-11-11,Android,Basic,27.87,4,36.4,145.6,2,4.1,yes,Hogar,0,43.0,27.87,2025-11-11
C000024,México,Guadalajara,Retail,2024-12-19,2025-07-21,macOS,Pro,,0,18.56,0.0,0,4.3,no,Deportes,0,42.0,N/A,2025-07-21
C000025,Perú,Lima,Retail,2025-11-18,2026-07-01,Android,Basic,18.56,6,27.15,162.88,0,3.9,no,Hogar,0,29.0,18.56,2026-07-01
C000026,México,CDMX,Retail,2025-09-27,2026-07-09,Android,Plus,42.71,3,38.86,116.57,0,4.3,yes,Belleza,0,41.0,42.71,2026-07-09
C000027,México,CDMX,Retail,2025-09-30,2026-06-08,iOS,Plus,43.53,0,48.26,0.0,2,4.9,no,Deportes,0,,43.53,2026-06-08
C000028,Argentina,Mendoza,Retail,2025-10-25,2026-02-02,Android,Pro,68.73,2,23.49,46.98,0,4.1,no,Belleza,0,34.0,68.73,2026-02-02
C000029,México,CDMX,SMB,2024-04-18,2025-01-01,Android,Pro,73.8,7,24.97,174.82,2,4.4,yes,Deportes,1,37.0,73.8,2025-01-01
C000030,Chile,La Serena,Retail,2025-06-22,2026-01-11,iOS,Pro,74.26,4,54.09,216.36,0,4.0,yes,Juguetes,0,29.0,74.26,2026-01-11
C000031,México,Monterrey,Retail,2024-04-17,2024-06-20,iOS,Plus,52.24,3,24.98,74.93,0,4.5,yes,Moda,1,44.0,52.24,2024-06-20
C000032,Colombia,Barranquilla,Retail,2024-07-29,2025-07-06,Windows,Plus,48.44,7,12.5,87.48,0,2.9,yes,Hogar,1,35.0,48.44,2025-07-06
C000033,Colombia,Medellín,Retail,2025-05-20,2026-05-31,iOS,Pro,,0,80.17,0.0,1,4.3,no,Electrónica,0,29.0,,2026-05-31
C000034,Perú,Trujillo,Retail,2024-07-19,2025-01-09,Android,Plus,47.07,0,36.01,0.0,3,3.6,no,Juguetes,1,41.0,47.07,2025-01-09
C000035,México,Puebla,SMB,2024-04-01,2025-03-22,iOS,Basic,27.21,6,24.66,147.97,0,4.7,no,Juguetes,1,40.0,27.21,2025-03-22
C000036,Chile,Concepción,SMB,2025-11-14,2025-12-10,iOS,Basic,19.9,2,63.02,126.04,1,4.4,no,Belleza,0,,19.9,2025-12-10
C000037,México,Puebla,Retail,2025-04-19,2026-01-17,Android,Basic,24.51,4,39.85,159.41,1,3.4,no,Hogar,0,38.0,24.51,2026-01-17
C000038,Perú,Trujillo,Retail,2025-09-27,2026-08-02,Android,Plus,47.68,7,37.99,265.94,0,3.6,no,Hogar,0,24.0,47.68,2026-08-02
C000039,Argentina,Buenos Aires,Retail,2025-05-26,2025-11-04,macOS,Pro,59.96,0,15.13,0.0,1,3.9,yes,Alimentos,0,27.0,59.96,2025-11-04
C000040,México,Monterrey,SMB,2025-05-24,2025-10-29,Android,Basic,15.13,3,41.54,124.61,1,3.1,no,Deportes,0,34.0,15.13,2025-10-29
C000041,Colombia,Barranquilla,Retail,2025-01-13,2025-09-25,Windows,Enterprise,178.73,5,23.0,115.01,0,3.6,no,Alimentos,0,28.0,178.73,2025-09-25
C000042,Perú,Arequipa,SMB,2024-11-22,2025-10-07,Android,Basic,31.21,9,41.82,376.4,0,4.2,no,Hogar,1,36.0,31.21,2025-10-07
C000043,México,Puebla,Retail,2025-01-24,2025-07-24,iOS,Plus,46.98,3,27.25,81.76,1,4.0,no,Hogar,0,31.0,46.98,2025-07-24
C000044,México,Monterrey,Retail,2024-10-23,2025-09-05,Windows,Basic,20.89,4,72.56,290.25,1,3.7,yes,Juguetes,1,,20.89,2025-09-05
C000045,México,Puebla,Retail,2024-08-07,2025-08-09,iOS,Pro,77.19,7,15.43,107.98,0,4.4,yes,Moda,0,22.0,77.19,2025-08-09
C000046,Colombia,Medellín,SMB,2025-11-29,2026-02-10,Android,Plus,47.62,13,38.56,501.28,2,4.0,no,Moda,0,27.0,47.62,2026-02-10
C000047,México,Monterrey,SMB,2025-01-31,2025-05-13,Linux,Pro,69.5,3,43.3,129.91,1,3.4,no,Electrónica,0,44.0,69.5,2025-05-13
C000048,Colombia,Bogotá,SMB,2025-06-14,2025-09-19,iOS,Plus,30.25,10,80.89,808.92,0,4.6,yes,Belleza,0,30.0,30.25,2025-09-19
C000049,Colombia,Cali,Retail,2025-06-13,2026-03-17,iOS,Plus,51.8,2,35.39,70.78,0,3.8,no,Hogar,0,31.0,51.8,2026-03-17
C000050,,Arequipa,Retail,2024-11-18,2025-11-15,Windows,Basic,,3,19.71,59.13,2,4.2,yes,Alimentos,0,31.0,,2025-11-15
C000051,Colombia,Barranquilla,Retail,2024-02-06,2025-01-08,Android,Enterprise,181.95,3,19.44,58.32,1,3.8,no,Moda,0,36.0,181.95,2025-01-08
C000052,Perú,Trujillo,Retail,2025-07-03,2025-10-23,iOS,Basic,23.27,3,11.41,34.23,2,2.8,no,Alimentos,1,,23.27,2025-10-23
C000053,México,Puebla,Retail,2025-10-26,2026-05-12,iOS,Basic,24.66,2,38.82,77.63,1,4.6,no,Moda,1,29.0,24.66,2026-05-12
C000054,México,Puebla,SMB,2024-02-25,2024-06-03,iOS,Pro,69.79,10,28.3,283.02,1,3.8,no,Moda,1,37.0,69.79,2024-06-03
C000055,México,Guadalajara,Retail,2025-03-14,2025-05-08,Android,Plus,40.03,2,32.93,65.86,0,4.3,yes,Alimentos,0,36.0,40.03,2025-05-08
C000056,Colombia,Cali,Retail,2025-04-02,2026-04-30,iOS,Basic,24.52,1,49.18,49.18,1,4.6,no,Hogar,0,,24.52,2026-04-30
C000057,Colombia,Medellín,Retail,2025-03-12,2025-04-01,iOS,Plus,41.75,3,21.48,64.45,0,3.1,yes,Juguetes,1,21.0,41.75,2025-04-01
C000058,Chile,Concepción,SMB,2024-03-08,2024-04-02,iOS,Pro,69.02,3,87.15,261.44,1,3.1,yes,Juguetes,1,47.0,69.02,2024-04-02
C000059,Colombia,Bogotá,Retail,2024-02-08,2024-06-15,Android,Enterprise,183.43,1,18.87,18.87,1,2.3,no,Deportes,1,24.0,183.43,2024-06-15
C000060,Colombia,Cali,SMB,2025-11-27,2026-12-14,Android,Basic,32.19,4,66.12,264.46,1,4.2,yes,Deportes,0,53.0,32.19,2026-12-14
C000061,Colombia,Medellín,Retail,2025-09-07,2025-12-31,Linux,Basic,18.01,5,38.61,193.07,0,4.8,no,Juguetes,0,28.0,18.01,2025-12-31
C000062,Chile,Concepción,Retail,2024-06-19,2024-06-29,Windows,Basic,25.45,2,21.01,42.02,2,4.6,no,Deportes,1,37.0,25.45,2024-06-29
C000063,Argentina,Córdoba,Retail,2025-11-15,2026-08-25,iOS,Basic,18.02,2,29.36,58.72,1,4.6,no,Alimentos,0,29.0,18.02,2026-08-25
C000064,,Monterrey,SMB,2024-05-22,2024-12-17,iOS,Basic,16.41,7,25.52,178.66,0,4.8,yes,Juguetes,1,41.0,16.41,2024-12-17
C000065,Colombia,Barranquilla,Retail,2025-05-16,2026-01-14,macOS,Plus,45.41,3,9.7,29.09,0,5.0,no,Electrónica,0,39.0,45.41,2026-01-14
C000066,Chile,Valparaíso,Retail,2024-06-29,2024-11-01,Android,Basic,26.67,4,29.37,117.49,1,3.4,no,Hogar,1,24.0,26.67,2024-11-01
C000067,México,Guadalajara,Retail,2025-08-16,2026-06-02,Windows,Enterprise,181.82,2,15.7,31.39,2,3.1,no,Hogar,0,49.0,181.82,2026-06-02
C000068,Chile,Valparaíso,Retail,2024-07-24,2025-01-01,Android,Pro,74.83,6,29.28,175.69,0,3.3,no,Moda,1,45.0,74.83,2025-01-01
C000069,Colombia,Cali,SMB,2024-10-25,2025-08-13,Linux,Enterprise,179.65,4,22.15,88.59,0,4.6,yes,Deportes,0,36.0,179.65,2025-08-13
C000070,Chile,Concepción,SMB,2025-03-01,2025-08-29,macOS,Plus,45.51,5,26.48,132.4,0,4.2,no,Juguetes,0,25.0,45.51,2025-08-29
C000071,Argentina,Rosario,Retail,2024-04-24,2025-05-04,Android,Plus,42.46,2,32.93,65.85,0,2.8,no,Electrónica,1,33.0,42.46,2025-05-04
C000072,Colombia,Cali,Retail,2024-02-06,2024-11-29,Android,Plus,46.64,4,23.26,93.05,2,5.0,no,Deportes,1,30.0,46.64,2024-11-29
C000073,Argentina,Córdoba,Retail,2024-11-15,2025-05-10,Android,Basic,21.19,4,25.34,101.38,0,3.2,no,Belleza,1,16.0,21.19,2025-05-10
C000074,Chile,Concepción,SMB,2025-08-10,2026-08-02,Android,Basic,18.14,6,23.71,142.26,0,3.0,yes,Moda,0,26.0,18.14,2026-08-02
C000075,Perú,Trujillo,SMB,2025-06-02,2025-10-09,Android,Plus,46.16,7,12.72,89.06,0,4.7,no,Juguetes,0,27.0,46.16,2025-10-09
C000076,Colombia,Bogotá,SMB,2025-01-20,2025-05-09,iOS,Basic,26.85,13,13.5,175.56,2,2.9,no,Deportes,0,37.0,26.85,2025-05-09
C000077,México,Guadalajara,SMB,2025-02-24,2025-06-14,iOS,Pro,62.27,8,62.4,499.16,0,4.5,no,Electrónica,1,51.0,62.27,2025-06-14
C000078,Argentina,,Retail,2024-01-10,2025-02-06,Linux,Basic,27.24,6,42.58,255.47,1,3.9,no,Belleza,1,41.0,27.24,2025-02-06
C000079,Perú,Trujillo,SMB,2024-11-05,2024-11-14,Android,Pro,71.03,5,13.53,67.66,0,3.3,no,Moda,1,21.0,71.03,2024-11-14
C000080,Chile,La Serena,Retail,2025-09-13,2026-04-12,macOS,Pro,74.25,3,19.36,58.08,0,4.9,no,Belleza,0,28.0,74.25,2026-04-12
C000081,Perú,Trujillo,Retail,2024-06-11,2025-06-17,Android,Basic,32.49,3,141.99,425.96,0,5.0,no,Deportes,0,24.0,32.49,2025-06-17
C000082,México,Puebla,Retail,2025-10-25,2026-07-20,iOS,Pro,62.25,3,16.63,49.9,0,4.0,yes,Juguetes,0,24.0,62.25,2026-07-20
C000083,México,Puebla,Retail,2025-07-20,2026-01-22,Android,Plus,30.39,6,10.5,63.01,1,5.0,no,Deportes,0,24.0,30.39,2026-01-22
C000084,Colombia,Medellín,Enterprise,2025-11-20,2026-06-24,iOS,Plus,44.46,11,14.62,160.8,1,4.9,yes,Belleza,0,44.0,44.46,2026-06-24
C000085,México,CDMX,SMB,2024-11-12,2025-06-26,macOS,Plus,41.67,6,17.09,102.55,0,3.7,yes,Hogar,1,40.0,41.67,2025-06-26
C000086,México,Puebla,Retail,2025-10-15,2026-02-13,Android,Basic,20.23,4,21.1,84.42,0,4.6,no,Belleza,0,33.0,20.23,2026-02-13
C000087,México,CDMX,Retail,2025-03-17,2025-04-03,Android,Basic,12.75,6,23.67,142.0,1,4.6,no,Deportes,1,36.0,12.75,2025-04-03
C000088,Colombia,Cali,Retail,2024-10-03,2025-06-03,macOS,Pro,69.85,3,48.84,146.53,0,3.8,no,Juguetes,1,31.0,69.85,2025-06-03
C000089,Argentina,Córdoba,Retail,2025-05-27,2026-02-14,Android,Basic,18.83,3,69.91,209.74,2,4.5,no,Juguetes,0,22.0,18.83,2026-02-14
C000090,Argentina,Rosario,Retail,2024-06-06,2025-06-05,Android,Basic,31.02,1,73.06,73.06,1,3.7,no,Belleza,0,44.0,31.02,2025-06-05
C000091,Perú,Lima,Retail,2024-07-06,2024-07-06,Android,Enterprise,174.16,3,35.78,107.33,0,5.0,yes,Deportes,1,34.0,174.16,2024-07-06
C000092,Colombia,Medellín,Retail,2024-04-14,2024-12-08,Windows,Plus,50.73,3,20.25,60.75,1,3.9,no,Belleza,1,,50.73,2024-12-08
C000093,Argentina,Rosario,Retail,2024-01-30,2025-01-20,Android,Basic,25.15,5,32.74,163.71,1,3.9,yes,Deportes,1,25.0,25.15,2025-01-20
C000094,Colombia,Cali,SMB,2025-09-30,2026-09-02,macOS,Plus,42.28,7,12.08,84.53,1,3.6,yes,Juguetes,0,29.0,42.28,2026-09-02
C000095,Colombia,Bogotá,Retail,2025-09-29,2025-10-05,Android,Plus,39.59,3,11.46,34.39,1,3.5,no,Electrónica,0,23.0,39.59,2025-10-05
C000096,Colombia,Barranquilla,Retail,2025-01-01,2025-09-06,iOS,Pro,75.88,7,22.35,156.45,0,4.5,yes,Belleza,0,30.0,75.88,2025-09-06
C000097,Perú,Trujillo,Retail,2025-04-22,2026-04-03,Windows,Pro,80.45,2,72.36,144.71,0,5.0,no,Alimentos,0,999.0,80.45,2026-04-03
C000098,Argentina,Rosario,Retail,2024-01-10,2025-01-29,Android,Basic,24.19,0,37.31,0.0,1,4.2,no,Alimentos,1,24.0,24.19,2025-01-29
C000099,Argentina,Mendoza,SMB,2025-02-22,2026-03-11,iOS,Pro,72.1,5,77.58,387.9,0,3.3,yes,Moda,0,23.0,72.1,2026-03-11
C000100,Perú,Cusco,Retail,2024-08-27,2025-05-04,iOS,Plus,47.81,5,88.19,440.97,1,3.9,yes,Moda,1,40.0,47.81,2025-05-04
C000101,Colombia,Medellín,Retail,2025-09-07,2026-09-05,Android,Plus,46.9,3,18.97,56.91,0,4.4,yes,Electrónica,0,23.0,46.9,2026-09-05
C000102,México,CDMX,SMB,2024-06-09,2024-06-15,Windows,Pro,74.13,8,33.09,264.75,0,4.1,no,Electrónica,1,35.0,74.13,2024-06-15
C000103,Perú,Trujillo,SMB,2024-11-20,2025-09-20,Linux,Plus,47.77,6,14.95,89.67,1,4.2,no,Hogar,0,40.0,47.77,2025-09-20
C000104,Colombia,Barranquilla,Retail,2025-02-22,2025-05-21,iOS,Enterprise,174.28,3,22.96,68.88,0,5.0,no,Hogar,0,32.0,174.28,2025-05-21
C000105,,Medellín,Retail,2025-11-21,2026-03-01,Linux,Plus,46.92,8,38.29,306.32,0,4.0,no,Juguetes,0,44.0,46.92,2026-03-01
C000106,Perú,Trujillo,SMB,2025-04-01,2025-04-02,iOS,Plus,45.75,11,20.22,222.4,2,3.9,no,Hogar,1,20.0,45.75,2025-04-02
C000107,Colombia,Bogotá,SMB,2025-08-16,2026-06-19,Android,Pro,75.15,6,121.45,728.68,0,5.0,no,Belleza,0,17.0,75.15,2026-06-19
C000108,Colombia,Barranquilla,Retail,2025-05-24,2025-11-21,Linux,Pro,58.44,6,19.99,119.93,0,3.6,yes,Deportes,0,37.0,58.44,2025-11-21
C000109,México,CDMX,Retail,2024-09-02,2024-10-13,macOS,Basic,26.72,4,39.15,156.58,0,4.2,yes,Moda,1,37.0,26.72,2024-10-13
C000110,Colombia,Barranquilla,Retail,2025-07-09,2026-04-30,Android,Basic,25.67,2,65.53,131.06,1,4.8,no,Deportes,0,,25.67,2026-04-30
C000111,Chile,Santiago,SMB,2025-10-02,2026-08-28,iOS,Basic,21.86,8,58.12,464.97,0,4.3,no,Electrónica,0,20.0,21.86,2026-08-28
C000112,Colombia,Medellín,SMB,2024-08-11,2025-03-01,iOS,Basic,,6,29.45,176.71,0,3.5,no,Hogar,1,,,2025-03-01
C000113,Argentina,Córdoba,SMB,2025-11-08,2026-11-23,Linux,Basic,13.21,7,44.4,310.81,0,4.9,no,Belleza,0,38.0,13.21,2026-11-23
C000114,Perú,Trujillo,Retail,2025-09-21,2026-05-27,Windows,Basic,22.27,5,37.08,185.39,2,4.2,no,Moda,0,24.0,22.27,2026-05-27
C000115,Colombia,Bogotá,Retail,2025-07-18,2025-09-10,macOS,Basic,36.47,3,25.67,77.02,1,3.6,no,Moda,0,30.0,36.47,2025-09-10
C000116,Colombia,Medellín,Retail,2024-07-25,2024-12-26,Android,Plus,42.41,4,45.31,181.24,1,3.0,no,Hogar,1,40.0,42.41,2024-12-26
C000117,Perú,Lima,Retail,2025-03-23,2025-05-04,macOS,Basic,23.38,5,14.66,73.32,0,4.2,no,Juguetes,1,26.0,23.38,2025-05-04
C000118,Colombia,Barranquilla,Retail,2025-07-30,2026-08-24,Android,Pro,68.14,6,80.76,484.58,0,3.0,no,Hogar,0,31.0,68.14,2026-08-24
C000119,Argentina,Rosario,Retail,2025-07-30,2026-06-15,Android,Basic,20.29,1,79.91,79.91,1,3.0,no,Electrónica,0,47.0,20.29,2026-06-15
C000120,Perú,Lima,SMB,2025-02-22,2026-01-06,macOS,Plus,41.52,6,18.45,110.73,1,3.9,yes,Hogar,0,48.0,41.52,2026-01-06
C000121,Perú,Arequipa,Retail,2024-08-04,2025-08-18,iOS,Basic,25.21,3,38.2,114.61,0,3.4,no,Electrónica,0,36.0,25.21,2025-08-18
C000122,México,Guadalajara,Retail,2025-05-28,2026-02-01,Android,Plus,55.57,9,24.7,222.32,0,3.3,no,Moda,0,32.0,55.57,2026-02-01
C000123,Perú,Cusco,SMB,2024-03-13,2024-05-01,Android,Basic,25.49,6,28.48,170.9,1,3.9,yes,Juguetes,1,42.0,25.49,2024-05-01
C000124,Argentina,Rosario,Retail,2024-11-08,2025-01-17,Android,Basic,19.75,2,23.49,46.98,1,3.7,no,Moda,1,42.0,19.75,2025-01-17
C000125,Argentina,Mendoza,SMB,2024-10-11,2024-11-03,iOS,Plus,43.93,7,18.42,128.95,1,3.5,no,Alimentos,1,39.0,43.93,2024-11-03
C000126,Colombia,Bogotá,Retail,2024-08-20,2025-04-12,iOS,Basic,25.53,2,19.81,39.61,1,4.0,no,Moda,1,28.0,25.53,2025-04-12
C000127,Colombia,Barranquilla,Retail,2024-11-17,2025-04-07,Android,Plus,48.92,3,27.46,82.38,1,3.5,no,Juguetes,1,,48.92,2025-04-07
C000128,Colombia,Medellín,Retail,2024-04-28,2024-08-26,iOS,Plus,44.02,4,23.16,92.65,1,3.8,no,Juguetes,1,44.0,44.02,2024-08-26
C000129,Colombia,Barranquilla,SMB,2024-07-16,2025-06-21,Windows,Pro,71.13,2,59.19,118.39,1,4.9,no,Juguetes,0,16.0,71.13,2025-06-21
C000130,Chile,Santiago,Retail,2024-09-01,2025-06-07,Linux,Pro,72.74,4,26.77,107.09,0,4.5,no,Juguetes,0,31.0,72.74,2025-06-07
C000131,Colombia,Medellín,Retail,2025-11-15,2026-09-17,Android,Basic,28.71,4,45.59,182.34,2,3.8,no,Moda,0,53.0,28.71,2026-09-17
C000132,México,Guadalajara,Retail,2025-01-28,2025-04-17,Android,Basic,19.31,2,29.53,59.07,0,4.6,no,Electrónica,1,24.0,19.31,2025-04-17
C000133,Argentina,Mendoza,Retail,2025-08-30,2026-07-12,Windows,Basic,21.96,10,24.85,248.53,0,3.6,no,Electrónica,0,25.0,21.96,2026-07-12
C000134,Chile,Valparaíso,Retail,2024-05-24,2024-07-24,Android,Basic,23.49,2,24.04,48.07,3,4.0,no,Hogar,1,32.0,23.49,2025-13-40
C000135,México,Monterrey,Enterprise,2024-04-15,2024-08-03,Android,Pro,72.99,9,26.64,239.78,3,3.8,yes,Moda,1,24.0,72.99,2024-08-03
C000136,Colombia,Bogotá,Retail,2024-04-21,2024-12-20,iOS,Basic,25.03,5,36.02,180.12,2,2.9,no,Deportes,1,42.0,25.03,2024-12-20
C000137,Chile,Valparaíso,Retail,2025-07-11,2026-01-22,Android,Pro,66.5,5,38.95,194.74,0,3.7,yes,Alimentos,0,44.0,66.5,2026-01-22
C000138,México,Guadalajara,SMB,2024-01-15,2024-03-01,iOS,Basic,25.74,7,21.53,150.7,2,4.4,no,Alimentos,1,16.0,25.74,2024-03-01
C000139,Colombia,Medellín,Retail,2025-11-19,2025-12-02,iOS,Plus,43.2,3,57.51,172.52,1,4.7,yes,Hogar,0,34.0,43.2,2025-12-02
C000140,Chile,La Serena,SMB,2024-01-18,2024-10-10,iOS,Plus,48.68,3,21.89,65.68,1,4.4,no,Moda,1,21.0,48.68,2024-10-10
C000141,Chile,Santiago,Retail,2024-12-11,2025-04-27,iOS,Pro,62.3,4,10.19,40.76,2,3.4,no,Hogar,1,30.0,62.3,2025-04-27
C000142,Argentina,Buenos Aires,Enterprise,2024-09-10,2025-08-09,iOS,Plus,48.7,15,25.33,379.98,0,4.3,no,Deportes,0,,48.7,2025-08-09
C000143,Colombia,Bogotá,Retail,2024-03-14,2024-11-25,Windows,Plus,49.45,4,65.11,260.44,1,3.2,no,Hogar,1,22.0,49.45,2024-11-25
C000144,Colombia,Barranquilla,Retail,2025-08-31,2025-10-04,Android,Pro,75.23,2,41.63,83.25,0,3.6,yes,Hogar,0,18.0,75.23,2025-10-04
C000145,Colombia,Bogotá,SMB,2024-07-12,2024-08-27,Android,Basic,27.45,12,17.33,208.0,2,5.0,yes,Moda,1,31.0,27.45,2024-08-27
C000146,Colombia,Barranquilla,Retail,2024-11-17,2025-10-21,Windows,Basic,31.53,3,46.9,140.71,2,4.4,no,Alimentos,0,38.0,31.53,2025-10-21
C000147,Colombia,Bogotá,Retail,2024-10-28,2025-09-22,macOS,Pro,69.66,5,19.59,97.96,1,3.9,yes,Electrónica,0,27.0,69.66,2025-09-22
C000148,Colombia,Medellín,Retail,2024-01-24,2024-11-15,macOS,Pro,76.6,1,29.64,29.64,1,3.5,no,Moda,1,32.0,76.6,2024-11-15
C000149,Chile,La Serena,SMB,2024-11-02,2025-11-17,iOS,Basic,26.56,12,40.5,485.97,1,4.9,no,Electrónica,1,37.0,26.56,2025-11-17
C000150,México,Guadalajara,Retail,2025-03-12,2025-12-21,Android,Pro,70.78,4,17.27,69.08,0,3.5,no,Alimentos,0,27.0,70.78,2025-12-21
C000151,Colombia,Bogotá,Enterprise,2024-04-08,2024-05-05,macOS,Basic,32.4,12,35.55,426.6,3,5.0,no,Hogar,1,31.0,32.4,2024-05-05
C000152,Colombia,Cali,SMB,2025-05-02,2025-07-05,Android,Plus,-10.0,9,14.08,126.73,1,3.7,yes,Juguetes,1,50.0,-10.0,2025-07-05
C000153,Colombia,Medellín,Retail,2024-05-28,2024-12-08,macOS,Basic,27.0,4,25.35,101.39,1,3.7,yes,Moda,1,50.0,27.0,2024-12-08
C000154,México,Puebla,Retail,2024-02-04,2024-06-10,Android,Basic,17.78,2,38.44,76.88,0,4.5,no,Alimentos,1,36.0,17.78,2024-06-10
C000155,México,Monterrey,Retail,2024-07-23,2025-04-24,Windows,Plus,36.57,4,45.42,181.68,1,4.0,no,Belleza,1,29.0,36.57,2025-04-24
C000156,Chile,Concepción,SMB,2025-02-20,2025-03-01,macOS,Basic,,12,20.63,247.54,0,3.1,no,Electrónica,1,50.0,,2025-03-01
C000157,Chile,Concepción,SMB,2024-09-19,2025-01-19,Android,Pro,68.22,13,23.07,299.91,1,3.9,no,Juguetes,1,45.0,68.22,2025-01-19
C000158,Argentina,Córdoba,Retail,2025-06-26,2025-10-23,Android,Basic,27.2,5,43.96,219.8,1,4.5,no,Deportes,0,16.0,27.2,2025-10-23
C000159,México,CDMX,Retail,2025-09-12,2026-08-03,Android,Basic,21.97,1,59.94,59.94,1,3.7,yes,Deportes,0,37.0,21.97,2026-08-03
C000160,Colombia,Bogotá,Retail,2024-08-22,2025-06-18,iOS,Basic,26.19,5,32.74,163.71,0,3.7,no,Deportes,1,30.0,26.19,2025-06-18
C000161,Chile,Santiago,Retail,2024-08-26,2025-02-13,Linux,Plus,42.04,4,16.52,66.1,1,5.0,no,Belleza,1,16.0,42.04,2025-02-13
C000162,Argentina,Buenos Aires,Retail,2025-07-04,2026-07-18,iOS,Plus,47.45,5,26.03,130.13,0,4.7,yes,Electrónica,0,32.0,47.45,2026-07-18
C000163,Colombia,Medellín,SMB,2025-03-21,2025-08-28,Android,Basic,20.25,4,19.42,77.67,2,5.0,no,Juguetes,1,41.0,20.25,2025-08-28
C000164,Chile,Concepción,Enterprise,2024-01-31,2024-12-04,iOS,Plus,42.64,19,12.89,244.88,1,5.0,no,Deportes,0,36.0,42.64,2024-12-04
