id_venta,fecha_venta,id_cliente,id_propiedad,ciudad,precio_venta,tipo_propiedad,canal_venta,porcentaje_comision,monto_comision
SALE000019,2023-08-28,CUST00093,PROP00749,Bogotá,353113.0,Apartment,Digital,0.032,11282.0
SALE000020,2022-11-02,CUST00284,PROP00202,Cartagena,553697.0,Commercial,Digital,0.0347,19231.0
SALE000021,2024-06-03,CUST00103,PROP00377,Barranquilla,270436.0,Office,Digital,0.0295,7991.0
SALE000022,2023-07-08,CUST00283,PROP00482,Bogotá,512872.0,Office,Referral,0.0365,18705.0
SALE000023,2022-05-16,CUST00448,PROP00457,Bogotá,413691.0,Office,Broker,0.0532,22000.0
SALE000024,2024-08-28,CUST00440,PROP00025,Bogotá,283378.0,Office,Referral,0.0376,10659.0
SALE000025,2022-11-08,CUST00417,PROP00230,Cali,485509.0,House,Broker,0.055,26682.0
SALE000026,2022-10-25,CUST00121,PROP00517,Barranquilla,447504.0,Commercial,Broker,0.0506,22658.0
SALE000027,2024-10-22,CUST00096,PROP00556,Cali,261402.0,House,Referral,0.0373,9757.0
SALE000028,2024-04-28,CUST00081,PROP00588,Medellín,289762.0,Apartment,Digital,0.03,8681.0
SALE000029,2024-07-30,CUST00064,PROP00794,Medellín,340749.0,House,Broker,0.0484,16477.0
SALE000030,2023-12-27,CUST00307,PROP00539,Medellín,208721.0,Apartment,Digital,0.0328,6845.0
SALE000031,2024-09-23,CUST00330,PROP00464,Bogotá,582393.0,House,Referral,0.0361,21000.0
SALE000032,2022-05-07,CUST00442,PROP00266,Barranquilla,151899.0,Apartment,Direct,0.0286,4340.0
SALE000033,2023-10-19,CUST00046,PROP00297,Bucaramanga,330269.0,Apartment,Digital,0.0327,10791.0
SALE000034,2022-11-18,CUST00133,PROP00662,Bucaramanga,164946.0,Apartment,Broker,0.0536,8843.0
SALE000035,2023-03-13,CUST00364,PROP00375,Cali,553385.0,House,Digital,0.0339,18787.0
SALE000036,2022-09-18,CUST00341,PROP00573,Medellín,650746.0,House,Broker,0.0473,30779.0
SALE000037,2022-08-13,CUST00214,PROP00100,Cali,452850.0,House,Broker,0.0502,22738.0
SALE000038,2023-04-30,CUST00077,PROP00103,Cartagena,567927.0,Commercial,Digital,0.0335,19025.0
SALE000039,2024-10-02,CUST00243,PROP00173,Bucaramanga,308408.0,House,Referral,0.0388,11958.0
SALE000040,2023-11-27,CUST00086,PROP00157,Bogotá,345927.0,Apartment,Broker,0.0456,15776.0
SALE000041,2023-01-18,CUST00268,PROP00486,Barranquilla,653626.0,House,Referral,0.0379,24783.0
SALE000042,2023-04-20,CUST00451,PROP00510,Cartagena,277713.0,Apartment,Referral,0.0374,10392.0
SALE000043,2023-08-04,CUST00098,PROP00447,Barranquilla,222192.0,Apartment,Referral,0.0437,9710.0
SALE000044,2022-09-25,CUST00059,PROP00232,Barranquilla,389005.0,House,Broker,0.0496,19310.0
SALE000045,2023-07-25,CUST00369,PROP00462,Cali,568243.0,House,Broker,0.0518,29455.0
SALE000046,2024-02-01,CUST00013,PROP00096,Bogotá,299976.0,House,Broker,0.0546,16385.0
SALE000047,2022-09-24,CUST00492,PROP00379,Bucaramanga,429803.0,House,Broker,0.048,20627.0
SALE000048,2023-10-02,CUST00388,PROP00124,Bucaramanga,442633.0,Commercial,Broker,0.0526,23288.0
SALE000049,2024-02-15,CUST00202,PROP00062,Cali,245973.0,Apartment,Broker,0.0452,11125.0
SALE000050,2023-07-23,CUST00182,PROP00133,Bucaramanga,226151.0,Apartment,Broker,0.046,10412.0
SALE000051,2022-11-16,CUST00194,PROP00089,Bucaramanga,651145.0,House,Broker,0.0466,30356.0
SALE000052,2023-08-31,CUST00199,PROP00383,Barranquilla,313421.0,Apartment,Direct,0.0231,7248.0
SALE000053,2024-05-18,CUST00420,PROP00437,Cartagena,302760.0,Apartment,Referral,0.039,11817.0
SALE000054,2022-08-31,CUST00400,PROP00486,Barranquilla,620134.0,House,Broker,0.0498,30864.0
SALE000055,2023-09-22,CUST00103,PROP00352,Cali,420458.0,House,Direct,0.0225,9441.0
SALE000056,2024-01-16,CUST00090,PROP00142,Cali,176026.0,Apartment,Broker,0.0457,8038.0
SALE000057,2022-12-19,CUST00271,PROP00017,Cartagena,220511.0,Office,Digital,0.0318,7007.0
SALE000058,2023-03-01,CUST00326,PROP00570,Bogotá,200846.0,Apartment,Referral,0.0352,7077.0
SALE000059,2024-08-31,CUST00364,PROP00787,Bogotá,632621.0,House,Digital,0.0331,20936.0
SALE000060,2023-02-02,CUST00157,PROP00225,Cartagena,315907.0,Commercial,Broker,0.0543,17151.0
SALE000061,2023-10-18,CUST00242,PROP00164,Cali,282560.0,Apartment,Broker,0.0521,14722.0
SALE000062,2022-06-13,CUST00053,PROP00250,Bucaramanga,254927.0,Apartment,Digital,0.031,7892.0
SALE000063,2024-10-10,CUST00228,PROP00172,Bucaramanga,514868.0,House,Digital,0.0316,16254.0
SALE000064,2023-10-16,CUST00344,PROP00179,Barranquilla,714397.0,Commercial,Digital,0.0315,22519.0
SALE000065,2024-04-12,CUST00153,PROP00396,Barranquilla,319075.0,Apartment,Digital,0.0343,10950.0
SALE000066,2023-10-22,CUST00160,PROP00629,Barranquilla,294865.0,Commercial,Broker,0.0546,16112.0
SALE000067,2023-01-25,CUST00232,PROP00570,Bogotá,185832.0,Apartment,Digital,0.0293,5439.0
SALE000068,2023-01-08,CUST00434,PROP00768,Cartagena,632679.0,House,Broker,0.0512,32375.0
SALE000069,2024-02-07,CUST00303,PROP00286,Bogotá,263678.0,Apartment,Referral,0.043,11346.0
SALE000070,2024-07-30,CUST00460,PROP00394,Bucaramanga,655904.0,Commercial,Referral,0.035,22963.0
SALE000071,2022-05-20,CUST00031,PROP00305,Medellín,559859.0,Commercial,Digital,0.0303,16947.0
SALE000072,2024-07-14,CUST00425,PROP00034,Medellín,327829.0,Apartment,Referral,0.0415,13614.0
SALE000073,2024-06-27,CUST00022,PROP00311,Barranquilla,264092.0,House,Broker,0.0522,13778.0
SALE000074,2022-04-30,CUST00162,PROP00209,Cartagena,202817.0,Apartment,Broker,0.0487,9875.0
SALE000075,2022-04-29,CUST00214,PROP00383,Barranquilla,303086.0,Apartment,Digital,0.028,8473.0
SALE000076,2024-02-01,CUST00119,PROP00127,Bucaramanga,248966.0,Office,Digital,0.0268,6678.0
SALE000077,2024-07-11,CUST00495,PROP00594,Medellín,169131.0,Apartment,Referral,0.0406,6863.0
SALE000078,2023-03-08,CUST00447,PROP00675,Bucaramanga,307622.0,Apartment,Direct,0.0292,8980.0
SALE000079,2023-12-03,CUST00286,PROP00769,Bogotá,287398.0,Apartment,Broker,0.054,15508.0
SALE000080,2024-12-30,CUST00227,PROP00068,Barranquilla,412614.0,House,Broker,0.0486,20053.0
SALE000081,2022-12-20,CUST00381,PROP00095,Medellín,382130.0,Office,Digital,0.0276,10539.0
SALE000082,2022-09-04,CUST00354,PROP00774,Cali,283854.0,Apartment,Broker,0.0529,15012.0
SALE000083,2024-12-21,CUST00241,PROP00679,Medellín,442718.0,House,Broker,0.0522,23132.0
SALE000084,2022-11-04,CUST00414,PROP00471,Barranquilla,312890.0,Apartment,Direct,0.0251,7839.0
SALE000085,2023-06-02,CUST00097,PROP00258,Barranquilla,161900.0,Apartment,Referral,0.0389,6296.0
SALE000086,2023-04-30,CUST00139,PROP00415,Cali,430368.0,House,Direct,0.0212,9140.0
SALE000087,2023-07-27,CUST00009,PROP00429,Medellín,183234.0,Apartment,Broker,0.0529,9684.0
SALE000088,2022-10-22,CUST00060,PROP00678,Medellín,339425.0,Apartment,Broker,0.0512,17370.0
SALE000089,2024-01-14,CUST00100,PROP00424,Barranquilla,435819.0,Commercial,Digital,0.0288,12538.0
SALE000090,2024-01-28,CUST00313,PROP00023,Medellín,354687.0,Office,Direct,0.0292,10353.0
SALE000091,2022-08-08,CUST00428,PROP00560,Medellín,338230.0,Apartment,Broker,0.0516,17452.0
SALE000092,2023-06-11,CUST00296,PROP00622,Bucaramanga,532362.0,House,Broker,0.0543,28903.0
SALE000093,2022-03-04,CUST00223,PROP00239,Cali,307242.0,Commercial,Broker,0.0497,15283.0
SALE000094,2022-08-30,CUST00136,PROP00094,Bogotá,203789.0,Land,Referral,0.0395,8059.0
SALE000095,2024-12-17,CUST00051,PROP00114,Barranquilla,330171.0,Apartment,Referral,0.0444,14650.0
SALE000096,2023-07-09,CUST00293,PROP00673,Cali,349328.0,House,Digital,0.0346,12086.0
SALE000097,2023-11-13,CUST00071,PROP00359,Cartagena,288317.0,Apartment,Broker,0.0546,15744.0
SALE000098,2024-08-31,CUST00396,PROP00424,Barranquilla,487981.0,Commercial,Referral,0.0432,21075.0
SALE000099,2024-02-21,CUST00205,PROP00769,Bogotá,308095.0,Apartment,Digital,0.0296,9127.0
SALE000100,2024-05-17,CUST00176,PROP00049,Cali,141428.0,Land,Broker,0.0471,6662.0
SALE000101,2024-02-19,CUST00014,PROP00165,Medellín,360704.0,Office,Broker,0.0488,17615.0
SALE000102,2023-07-01,CUST00122,PROP00667,Cartagena,193863.0,Apartment,Digital,0.0344,6666.0
SALE000103,2023-11-24,CUST00007,PROP00433,Bogotá,380311.0,House,Broker,0.0486,18497.0
SALE000104,2022-11-12,CUST00363,PROP00022,Bogotá,653327.0,House,Direct,0.0276,18010.0
SALE000105,2024-09-02,CUST00245,PROP00563,Cali,657545.0,Commercial,Digital,0.0342,22508.0
SALE000106,2022-07-16,CUST00393,PROP00111,Bucaramanga,314886.0,Apartment,Broker,0.0547,17225.0
SALE000107,2024-08-26,CUST00283,PROP00626,Bucaramanga,147675.0,Apartment,Digital,0.0345,5091.0
SALE000108,2024-08-19,CUST00478,PROP00639,Cali,312496.0,Apartment,Digital,0.0306,9547.0
SALE000109,2022-06-05,CUST00392,PROP00660,Bucaramanga,325758.0,Commercial,Broker,0.0499,16261.0
SALE000110,2024-02-17,CUST00074,PROP00372,Bucaramanga,240785.0,Apartment,Digital,0.0349,8398.0
SALE000111,2024-12-19,CUST00059,PROP00215,Barranquilla,325248.0,House,Broker,0.0472,15346.0
SALE000112,2023-09-19,CUST00445,PROP00706,Cartagena,185534.0,Office,Broker,0.0469,8697.0
SALE000113,2023-01-08,CUST00135,PROP00448,Cali,451681.0,House,Referral,0.0446,20159.0
SALE000114,2024-08-20,CUST00383,PROP00509,Barranquilla,479339.0,House,Digital,0.0319,15287.0
SALE000115,2023-07-16,CUST00315,PROP00110,Cartagena,379762.0,Commercial,Broker,0.0504,19126.0
SALE000116,2022-05-14,CUST00351,PROP00499,Cali,508181.0,Office,Broker,0.0463,23539.0
SALE000117,2022-09-30,CUST00134,PROP00465,Cartagena,192221.0,Apartment,Digital,0.0301,5792.0
SALE000118,2024-01-18,CUST00157,PROP00234,Medellín,178825.0,Office,Broker,0.0544,9736.0
SALE000119,2023-05-14,CUST00278,PROP00614,Bucaramanga,326875.0,Apartment,Direct,0.026,8508.0
SALE000120,2022-08-26,CUST00012,PROP00107,Barranquilla,242819.0,Apartment,Digital,0.029,7053.0
SALE000121,2024-05-24,CUST00156,PROP00576,Cartagena,258696.0,Apartment,Referral,0.0405,10480.0
SALE000122,2022-05-13,CUST00254,PROP00769,Bogotá,290077.0,Apartment,Broker,0.0539,15624.0
SALE000123,2022-08-28,CUST00103,PROP00454,Cali,488393.0,Commercial,Referral,0.0441,21552.0
SALE000124,2023-05-25,CUST00143,PROP00084,Barranquilla,236174.0,Apartment,Broker,0.049,11573.0
SALE000125,2022-02-13,CUST00492,PROP00443,Cartagena,496754.0,House,Broker,0.0511,25374.0
SALE000126,2023-03-01,CUST00145,PROP00424,Barranquilla,432535.0,Commercial,Broker,0.0478,20672.0
SALE000127,2024-09-23,CUST00452,PROP00442,Bucaramanga,617161.0,Commercial,Broker,0.0495,30556.0
SALE000128,2024-10-27,CUST00464,PROP00219,Barranquilla,605628.0,House,Direct,0.0222,13444.0
SALE000129,2024-08-12,CUST00337,PROP00501,Cartagena,659349.0,House,Referral,0.0403,26581.0
SALE000130,2022-12-21,CUST00077,PROP00212,Bogotá,241885.0,Land,Digital,0.0308,7446.0
SALE000131,2022-03-13,CUST00103,PROP00447,Barranquilla,259452.0,Apartment,Digital,0.0284,7363.0
SALE000132,2024-06-11,CUST00468,PROP00476,Cali,300316.0,Apartment,Digital,0.0277,8325.0
SALE000133,2023-02-13,CUST00001,PROP00517,Barranquilla,430193.0,Commercial,Digital,0.0265,11405.0
SALE000134,2024-03-30,CUST00252,PROP00639,Cali,323991.0,Apartment,Referral,0.0364,11792.0
SALE000135,2022-05-11,CUST00299,PROP00707,Bucaramanga,422186.0,House,Digital,0.0321,13558.0
SALE000136,2024-01-02,CUST00420,PROP00622,Bucaramanga,544706.0,House,Referral,0.0372,20272.0
SALE000137,2023-10-05,CUST00448,PROP00637,Barranquilla,296508.0,Commercial,Broker,0.0462,13693.0
SALE000138,2024-10-04,CUST00142,PROP00696,Medellín,192607.0,Apartment,Direct,0.03,5776.0
SALE000139,2022-04-22,CUST00252,PROP00194,Cali,706253.0,Commercial,Broker,0.0476,33617.0
SALE000140,2023-03-23,CUST00317,PROP00235,Cali,268080.0,Apartment,Broker,0.054,14466.0
SALE000141,2024-12-19,CUST00483,PROP00427,Barranquilla,190612.0,Land,Referral,0.0411,7833.0
SALE000142,2023-03-03,CUST00279,PROP00373,Cartagena,176441.0,Apartment,Broker,0.0522,9202.0
SALE000143,2023-12-22,CUST00061,PROP00562,Medellín,235405.0,House,Broker,0.0506,11914.0
SALE000144,2022-06-26,CUST00463,PROP00008,Barranquilla,453027.0,Office,Broker,0.0468,21205.0
SALE000145,2024-03-08,CUST00257,PROP00112,Bucaramanga,150188.0,Apartment,Digital,0.0335,5027.0
SALE000146,2022-10-29,CUST00090,PROP00598,Medellín,484503.0,House,Direct,0.0283,13702.0
SALE000147,2023-09-19,CUST00096,PROP00658,Bucaramanga,357596.0,House,Referral,0.0385,13766.0
SALE000148,2024-08-21,CUST00103,PROP00242,Bogotá,177169.0,Office,Digital,0.0326,5783.0
SALE000149,2023-12-25,CUST00361,PROP00249,Cali,225457.0,Apartment,Direct,0.0254,5733.0
SALE000150,2023-06-04,CUST00475,PROP00450,Barranquilla,269290.0,Apartment,Digital,0.0341,9180.0
SALE000151,2022-07-28,CUST00221,PROP00382,Medellín,587118.0,House,Referral,0.043,25263.0
SALE000152,2023-01-09,CUST00049,PROP00136,Bogotá,271854.0,Office,Broker,0.0454,12345.0
SALE000153,2024-07-18,CUST00445,PROP00401,Barranquilla,87289.0,Land,Digital,0.0338,2950.0
SALE000154,2022-08-25,CUST00318,PROP00656,Bucaramanga,244892.0,Apartment,Broker,0.0547,13392.0
SALE000155,2023-12-20,CUST00286,PROP00584,Medellín,753023.0,Commercial,Broker,0.0524,39475.0
SALE000156,2023-06-16,CUST00031,PROP00654,Cartagena,526743.0,House,Referral,0.0362,19068.0
SALE000157,2022-12-18,CUST00486,PROP00516,Cali,191248.0,Apartment,Broker,0.0531,10150.0
SALE000158,2024-02-24,CUST00039,PROP00702,Bucaramanga,726410.0,Commercial,Digital,0.0315,22864.0
SALE000159,2023-02-01,CUST00306,PROP00200,Bogotá,254129.0,Office,Digital,0.0284,7214.0
SALE000160,2022-11-10,CUST00299,PROP00037,Medellín,684440.0,House,Broker,0.0538,36850.0
SALE000161,2023-08-03,CUST00257,PROP00092,Cali,227526.0,Apartment,Digital,0.0307,6975.0
SALE000162,2024-04-09,CUST00276,PROP00794,Medellín,357679.0,House,Digital,0.0335,11993.0
SALE000163,2024-08-04,CUST00199,PROP00513,Bogotá,221773.0,Apartment,Referral,0.0417,9248.0
SALE000164,2023-11-21,CUST00287,PROP00199,Bogotá,695120.0,House,Broker,0.0479,33286.0
SALE000165,2023-12-26,CUST00182,PROP00684,Bogotá,141189.0,Apartment,Direct,0.0298,4200.0
SALE000166,2024-05-12,CUST00237,PROP00248,Cartagena,337122.0,Apartment,Referral,0.0407,13724.0
SALE000167,2022-10-22,CUST00340,PROP00478,Bucaramanga,183260.0,Apartment,Digital,0.0302,5529.0
SALE000168,2022-10-02,CUST00372,PROP00200,Bogotá,255367.0,Office,Broker,0.049,12522.0
SALE000169,2023-06-14,CUST00077,PROP00076,Medellín,281958.0,Apartment,Referral,0.0364,10253.0
SALE000170,2023-11-22,CUST00497,PROP00215,Barranquilla,336484.0,House,Referral,0.0419,14086.0
SALE000171,2023-12-09,CUST00049,PROP00183,Cali,237002.0,House,Broker,0.0493,11686.0
SALE000172,2022-06-18,CUST00138,PROP00443,Cartagena,532027.0,House,Direct,0.0293,15613.0
SALE000173,2024-05-04,CUST00174,PROP00017,Cartagena,205707.0,Office,Direct,0.0297,6099.0
SALE000174,2023-02-03,CUST00162,PROP00192,Barranquilla,398168.0,House,Digital,0.0327,13011.0
SALE000175,2024-08-18,CUST00176,PROP00455,Medellín,555216.0,House,Referral,0.0374,20779.0
SALE000176,2024-03-04,CUST00162,PROP00316,Bogotá,182813.0,Apartment,Digital,0.0322,5879.0
SALE000177,2024-12-12,CUST00219,PROP00509,Barranquilla,496382.0,House,Referral,0.0352,17475.0
SALE000178,2023-11-23,CUST00382,PROP00525,Cali,188622.0,Apartment,Referral,0.0433,8161.0
SALE000179,2023-08-01,CUST00414,PROP00773,Barranquilla,518414.0,Office,Broker,0.0499,25888.0
SALE000180,2022-07-25,CUST00175,PROP00669,Cartagena,395338.0,House,Broker,0.0544,21493.0
SALE000181,2023-03-13,CUST00130,PROP00183,Cali,200036.0,House,Broker,0.0488,9757.0
SALE000182,2024-07-28,CUST00339,PROP00555,Cartagena,189360.0,Apartment,Direct,0.0226,4286.0
SALE000183,2023-02-23,CUST00030,PROP00502,Cartagena,267895.0,Apartment,Broker,0.055,14721.0
SALE000184,2022-02-28,CUST00223,PROP00476,Cali,260187.0,Apartment,Referral,0.0403,10487.0
SALE000185,2022-09-26,CUST00111,PROP00640,Cali,328110.0,Apartment,Digital,0.0336,11035.0
SALE000186,2023-10-14,CUST00304,PROP00119,Barranquilla,308528.0,Apartment,Broker,0.0541,16695.0
SALE000187,2023-11-20,CUST00040,PROP00301,Cartagena,161285.0,Land,Direct,0.0252,4062.0
SALE000188,2024-12-13,CUST00415,PROP00653,Medellín,556322.0,House,Digital,0.0296,16443.0
SALE000189,2024-10-19,CUST00135,PROP00714,Bucaramanga,463977.0,Commercial,Broker,0.0505,23444.0
SALE000190,2023-08-05,CUST00258,PROP00030,Barranquilla,349261.0,House,Broker,0.0535,18678.0
SALE000191,2023-08-31,CUST00287,PROP00378,Bucaramanga,319813.0,Apartment,Broker,0.0546,17477.0
SALE000192,2024-05-26,CUST00238,PROP00212,Bogotá,221546.0,Land,Broker,0.0483,10697.0
SALE000193,2022-02-23,CUST00224,PROP00135,Bogotá,126180.0,Apartment,Broker,0.0524,6610.0
SALE000194,2023-10-14,CUST00134,PROP00046,Cali,540808.0,House,Digital,0.0279,15064.0
SALE000195,2023-06-04,CUST00387,PROP00431,Medellín,274557.0,Apartment,Broker,0.0511,14032.0
SALE000196,2024-05-07,CUST00258,PROP00534,Bogotá,260447.0,Apartment,Broker,0.053,13816.0
SALE000197,2024-05-26,CUST00108,PROP00426,Medellín,400136.0,House,Broker,0.0539,21553.0
SALE000198,2023-12-19,CUST00132,PROP00295,Bogotá,295484.0,Office,Digital,0.0295,8713.0
SALE000199,2023-12-21,CUST00220,PROP00618,Barranquilla,544118.0,House,Direct,0.0237,12894.0
SALE000200,2024-01-27,CUST00422,PROP00522,Bogotá,331593.0,Apartment,Broker,0.0475,15762.0
SALE000201,2023-09-28,CUST00481,PROP00727,Barranquilla,521860.0,Commercial,Broker,0.0463,24180.0
SALE000202,2022-09-07,CUST00195,PROP00278,Bucaramanga,316973.0,Office,Digital,0.0286,9081.0
SALE000203,2022-11-08,CUST00198,PROP00192,Barranquilla,390393.0,House,Direct,0.0287,11212.0
SALE000204,2024-03-23,CUST00065,PROP00365,Bogotá,612273.0,House,Referral,0.0392,23994.0
SALE000205,2023-11-09,CUST00273,PROP00406,Bucaramanga,571210.0,House,Referral,0.0382,21805.0
SALE000206,2022-09-18,CUST00120,PROP00367,Medellín,245111.0,Apartment,Direct,0.0274,6714.0
SALE000207,2024-08-19,CUST00410,PROP00666,Cali,287325.0,Apartment,Digital,0.0272,7803.0
SALE000208,2024-12-09,CUST00268,PROP00037,Medellín,639143.0,House,Direct,0.0226,14421.0
SALE000209,2023-11-17,CUST00111,PROP00423,Bogotá,286175.0,Apartment,Broker,0.0544,15556.0
SALE000210,2022-09-07,CUST00459,PROP00345,Cali,381465.0,House,Referral,0.0358,13663.0
SALE000211,2024-10-24,CUST00408,PROP00169,Bogotá,222416.0,House,Referral,0.0391,8707.0
SALE000212,2022-09-17,CUST00151,PROP00513,Bogotá,222057.0,Apartment,Direct,0.0258,5722.0
SALE000213,2023-04-19,CUST00061,PROP00642,Cali,222623.0,Office,Digital,0.0273,6078.0
SALE000214,2024-07-29,CUST00133,PROP00437,Cartagena,270925.0,Apartment,Referral,0.0378,10244.0
SALE000215,2023-07-25,CUST00189,PROP00068,Barranquilla,373499.0,House,Broker,0.0472,17636.0
SALE000216,2022-09-24,CUST00204,PROP00061,Barranquilla,325006.0,Office,Digital,0.0285,9247.0
SALE000217,2022-03-29,CUST00412,PROP00338,Bucaramanga,638007.0,House,Broker,0.054,34443.0
SALE000218,2023-01-31,CUST00484,PROP00535,Bogotá,508051.0,House,Digital,0.0293,14894.0
SALE000219,2024-01-06,CUST00374,PROP00251,Medellín,291344.0,House,Digital,0.0292,8501.0
SALE000220,2024-02-22,CUST00423,PROP00248,Cartagena,323225.0,Apartment,Broker,0.0489,15795.0
SALE000221,2022-09-02,CUST00063,PROP00689,Bogotá,624875.0,House,Broker,0.0546,34144.0
SALE000222,2022-06-23,CUST00075,PROP00012,Bucaramanga,454267.0,House,Broker,0.0462,20975.0
SALE000223,2024-02-08,CUST00455,PROP00064,Cali,372801.0,Commercial,Digital,0.0337,12570.0
SALE000224,2022-06-24,CUST00307,PROP00125,Bucaramanga,641722.0,House,Digital,0.0283,18143.0
SALE000225,2022-03-12,CUST00118,PROP00787,Bogotá,613536.0,House,Referral,0.0446,27342.0
SALE000226,2023-06-17,CUST00396,PROP00399,Cartagena,167311.0,Apartment,Broker,0.0482,8056.0
SALE000227,2023-09-18,CUST00088,PROP00127,Bucaramanga,251622.0,Office,Referral,0.0358,9015.0
SALE000228,2022-09-24,CUST00385,PROP00249,Cali,230172.0,Apartment,Digital,0.0302,6951.0
SALE000229,2022-08-20,CUST00442,PROP00776,Bucaramanga,251893.0,Office,Broker,0.0473,11909.0
SALE000230,2022-09-16,CUST00245,PROP00556,Cali,306754.0,House,Broker,0.0525,16114.0
SALE000231,2023-01-11,CUST00329,PROP00179,Barranquilla,722534.0,Commercial,Digital,0.0316,22813.0
SALE000232,2022-01-11,CUST00366,PROP00193,Bucaramanga,149667.0,Apartment,Broker,0.0519,7762.0
SALE000233,2022-01-13,CUST00441,PROP00060,Barranquilla,354858.0,Apartment,Broker,0.0469,16655.0
SALE000234,2023-02-10,CUST00292,PROP00619,Bogotá,354795.0,Office,Broker,0.0521,18480.0
SALE000235,2022-01-22,CUST00147,PROP00110,Cartagena,417302.0,Commercial,Broker,0.0481,20078.0
SALE000236,2022-12-15,CUST00101,PROP00230,Cali,531819.0,House,Broker,0.055,29243.0
SALE000237,2023-09-29,CUST00178,PROP00279,Cali,156648.0,Apartment,Broker,0.0523,8195.0
SALE000238,2022-02-04,CUST00029,PROP00497,Medellín,324465.0,Apartment,Referral,0.0409,13272.0
SALE000239,2023-11-08,CUST00350,PROP00486,Barranquilla,605202.0,House,Digital,0.0337,20378.0
SALE000240,2023-11-12,CUST00185,PROP00640,Cali,337777.0,Apartment,Digital,0.0309,10435.0
SALE000241,2023-09-20,CUST00356,PROP00238,Medellín,273581.0,Apartment,Digital,0.0305,8352.0
SALE000242,2023-11-18,CUST00031,PROP00309,Cartagena,351091.0,Office,Digital,0.0274,9610.0
SALE000243,2024-06-05,CUST00161,PROP00311,Barranquilla,283225.0,House,Broker,0.0518,14666.0
SALE000244,2022-03-19,CUST00198,PROP00038,Cali,526557.0,House,Broker,0.0487,25668.0
SALE000245,2022-07-04,CUST00044,PROP00591,Cali,241994.0,Apartment,Broker,0.0454,10994.0
SALE000246,2022-12-14,CUST00415,PROP00429,Medellín,164377.0,Apartment,Digital,0.0332,5451.0
SALE000247,2024-01-24,CUST00299,PROP00381,Bogotá,286216.0,Apartment,Digital,0.0255,7304.0
SALE000248,2024-08-13,CUST00423,PROP00797,Medellín,143581.0,Apartment,Broker,0.0517,7426.0
SALE000249,2024-10-02,CUST00401,PROP00144,Cali,467586.0,House,Digital,0.0266,12422.0
SALE000250,2023-09-30,CUST00018,PROP00776,Bucaramanga,247024.0,Office,Direct,0.0243,6009.0
SALE000251,2023-03-26,CUST00433,PROP00545,Medellín,330530.0,House,Broker,0.0536,17713.0
SALE000252,2023-03-28,CUST00035,PROP00177,Bucaramanga,361712.0,House,Digital,0.0259,9384.0
SALE000253,2022-03-07,CUST00436,PROP00543,Medellín,504053.0,Office,Digital,0.0317,15964.0
SALE000254,2023-05-25,CUST00335,PROP00605,Cartagena,181117.0,Land,Referral,0.0411,7449.0
SALE000255,2023-07-16,CUST00410,PROP00290,Bucaramanga,188161.0,Apartment,Referral,0.0437,8218.0
SALE000256,2022-08-17,CUST00250,PROP00276,Medellín,154484.0,Apartment,Referral,0.0367,5674.0
SALE000257,2024-04-20,CUST00081,PROP00669,Cartagena,378956.0,House,Broker,0.053,20084.0
SALE000258,2024-06-08,CUST00075,PROP00129,Barranquilla,288164.0,Apartment,Digital,0.0295,8501.0
