id_cliente,edad,nivel_ingreso,visitas_mes,compras_mes,gasto_publicidad_dirigida,satisfaccion,miembro_premium,abandono,tipo_dispositivo,region,ingreso_anual
C000097,32.0,42.31,11,1,10.26,2.0,0,0,móvil,norte,0.0
C000098,23.0,35.25,16,0,10.07,3.0,0,0,móvil,este,413.31
C000099,20.0,49.26,13,1,11.53,2.0,0,0,móvil,norte,443.06
C000100,47.0,73.42,13,1,9.09,1.0,0,0,móvil,norte,0.0
C000101,50.0,72.76,12,0,14.88,3.0,0,1,escritorio,sur,0.0
C000102,18.0,49.52,10,1,17.27,2.0,1,0,escritorio,norte,1160.17
C000103,34.0,34.94,11,1,8.57,3.0,0,1,móvil,oeste,155.66
C000104,37.0,18.27,9,0,6.98,3.0,0,0,móvil,sur,0.0
C000105,29.0,59.25,17,1,9.56,2.0,0,1,móvil,oeste,554.15
C000106,48.0,46.37,10,4,14.08,4.0,1,0,tablet,oeste,3239.06
C000107,34.0,39.17,5,2,9.45,,0,0,escritorio,sur,61.12
C000108,49.0,47.25,11,2,12.81,2.0,1,1,móvil,oeste,614.49
C000109,32.0,37.65,12,2,7.48,3.0,0,1,móvil,oeste,488.43
C000110,26.0,51.9,19,4,10.68,3.0,0,0,móvil,oeste,1880.65
C000111,51.0,53.43,13,6,14.85,3.0,0,0,móvil,este,2048.98
C000112,34.0,45.4,4,1,8.04,4.0,0,0,escritorio,oeste,675.7
C000113,29.0,40.12,7,0,10.22,3.0,0,0,escritorio,oeste,0.0
C000114,38.0,21.46,18,3,7.13,3.0,0,0,móvil,oeste,1495.85
C000115,30.0,59.92,21,1,8.33,3.0,0,0,móvil,oeste,0.0
C000116,45.0,24.75,16,2,11.08,3.0,1,0,móvil,este,737.63
C000117,32.0,33.59,8,0,8.0,2.0,0,0,escritorio,norte,758.84
C000118,50.0,50.39,10,2,13.09,4.0,1,0,tablet,oeste,1219.05
C000119,19.0,35.22,6,0,7.98,2.0,0,1,escritorio,oeste,0.0
C000120,19.0,67.05,12,2,8.64,3.0,0,0,escritorio,norte,1588.29
C000121,31.0,73.15,17,2,14.46,1.0,1,0,móvil,oeste,1625.35
C000122,27.0,48.06,12,2,9.93,3.0,0,0,móvil,oeste,535.82
C000123,18.0,32.9,10,1,9.12,4.0,0,0,escritorio,norte,215.63
C000124,40.0,54.05,7,0,7.73,2.0,0,0,tablet,sur,206.89
C000125,18.0,49.3,11,3,8.53,4.0,0,0,móvil,sur,659.33
C000126,36.0,44.52,16,2,14.76,5.0,0,0,móvil,oeste,123.25
C000127,55.0,32.65,9,3,12.2,3.0,1,0,escritorio,este,929.13
C000128,52.0,28.63,7,2,14.99,3.0,1,0,tablet,sur,306.52
C000129,25.0,31.28,8,2,10.51,5.0,0,0,móvil,este,1041.46
C000130,20.0,79.89,19,3,8.52,3.0,0,0,móvil,este,819.77
C000131,40.0,34.2,10,1,7.67,3.0,0,1,móvil,este,0.0
C000132,43.0,28.07,15,2,9.07,4.0,0,0,móvil,sur,202.02
C000133,31.0,29.3,7,3,8.71,3.0,0,1,escritorio,oeste,291.92
C000134,36.0,42.25,13,0,10.23,2.0,0,0,móvil,este,138.34
C000135,43.0,24.47,10,1,11.96,3.0,1,0,móvil,norte,204.93
C000136,36.0,36.53,18,4,8.5,,0,0,móvil,este,385.66
C000137,34.0,35.68,8,3,6.68,2.0,0,0,escritorio,sur,1230.21
C000138,21.0,40.57,11,1,15.34,3.0,0,0,tablet,sur,371.96
C000139,50.0,29.61,9,0,7.01,2.0,0,0,móvil,norte,195.51
C000140,33.0,21.94,6,0,8.07,2.0,0,1,móvil,sur,0.0
C000141,41.0,40.65,13,0,9.54,3.0,0,0,móvil,este,155.19
C000142,36.0,44.94,13,3,9.25,4.0,0,0,móvil,sur,46.59
C000143,23.0,36.33,7,3,11.34,2.0,1,0,móvil,oeste,1419.71
C000144,37.0,34.71,16,3,7.74,3.0,0,0,móvil,norte,1266.8
C000145,39.0,22.15,10,1,7.6,3.0,0,0,móvil,este,0.0
C000146,40.0,20.41,7,0,13.23,2.0,0,0,escritorio,oeste,193.97
C000147,18.0,26.1,6,0,8.75,3.0,0,0,escritorio,este,0.0
C000148,47.0,45.86,12,1,7.28,3.0,0,1,móvil,sur,0.0
C000149,49.0,37.03,11,2,13.84,4.0,1,0,móvil,sur,1357.04
C000150,39.0,25.98,15,0,8.53,4.0,0,0,tablet,oeste,0.0
C000151,36.0,15.48,13,1,6.82,3.0,0,0,móvil,oeste,13.02
C000152,29.0,38.61,19,1,8.84,2.0,0,0,escritorio,este,748.22
C000153,35.0,49.32,10,1,9.23,4.0,0,0,tablet,este,370.22
C000154,27.0,36.01,9,1,8.28,2.0,0,0,móvil,norte,124.03
C000155,34.0,28.96,12,3,8.84,2.0,0,0,móvil,norte,2022.93
C000156,35.0,63.83,14,2,8.12,3.0,0,0,móvil,sur,683.02
C000157,18.0,50.83,14,1,18.02,2.0,0,0,móvil,oeste,508.4
C000158,24.0,38.55,24,2,8.15,4.0,0,0,móvil,norte,1301.73
C000159,28.0,32.95,12,2,10.52,3.0,0,1,tablet,oeste,0.0
C000160,44.0,23.78,11,0,9.54,3.0,0,0,escritorio,norte,0.0
C000161,34.0,31.33,15,3,8.43,3.0,0,0,móvil,norte,2347.78
C000162,18.0,38.74,16,2,8.43,3.0,0,0,móvil,este,1954.12
C000163,48.0,39.79,15,3,8.53,3.0,0,0,móvil,oeste,1687.93
C000164,33.0,43.3,6,0,8.33,3.0,0,0,móvil,sur,0.0
C000165,51.0,22.26,9,2,7.7,3.0,0,0,escritorio,este,221.29
C000166,53.0,16.42,4,1,10.84,5.0,1,0,escritorio,sur,264.92
C000167,18.0,41.88,18,2,13.37,3.0,0,0,móvil,sur,421.85
C000168,41.0,29.84,12,5,7.81,2.0,0,0,móvil,sur,2280.33
C000169,25.0,26.72,12,0,8.06,3.0,0,0,móvil,sur,162.19
C000170,28.0,29.02,26,2,6.62,3.0,0,0,móvil,norte,520.16
C000171,23.0,26.44,7,1,7.98,2.0,0,1,móvil,sur,266.92
C000172,42.0,23.5,20,4,12.08,3.0,0,0,móvil,sur,1193.28
C000173,30.0,21.35,13,1,7.36,4.0,0,0,móvil,sur,405.89
C000174,37.0,68.39,12,4,9.63,2.0,0,0,móvil,norte,2396.63
C000175,51.0,16.08,9,4,6.78,3.0,0,0,móvil,sur,1497.99
C000176,18.0,56.08,12,2,9.43,2.0,0,0,móvil,oeste,665.08
C000177,21.0,46.14,6,0,8.75,2.0,0,0,escritorio,norte,434.68
C000178,19.0,39.55,13,2,7.84,4.0,0,0,móvil,oeste,844.17
C000179,21.0,93.2,12,0,9.41,3.0,0,0,móvil,norte,131.29
C000180,30.0,40.12,19,3,11.78,3.0,1,0,móvil,sur,913.98
C000181,22.0,25.78,14,1,7.55,3.0,0,0,escritorio,este,529.44
C000182,22.0,31.79,13,3,7.13,4.0,0,1,tablet,norte,1057.79
C000183,35.0,33.14,12,0,7.37,1.0,0,0,escritorio,norte,176.52
C000184,39.0,53.49,9,0,8.4,2.0,0,0,móvil,este,0.0
C000185,34.0,62.3,15,3,10.23,5.0,0,0,móvil,oeste,1284.88
C000186,50.0,43.8,5,1,13.1,,1,0,escritorio,este,659.35
C000187,28.0,34.58,11,1,12.98,3.0,1,0,móvil,este,917.73
C000188,18.0,43.2,8,0,7.91,4.0,0,0,móvil,este,0.0
C000189,39.0,38.96,16,4,9.83,5.0,0,0,móvil,norte,1818.91
C000190,27.0,44.61,14,2,10.08,2.0,0,0,móvil,norte,847.94
C000191,32.0,24.37,10,1,11.42,3.0,1,0,escritorio,norte,0.0
C000192,23.0,51.32,13,0,12.33,2.0,0,0,móvil,este,0.0
C000193,39.0,52.98,12,4,9.7,3.0,0,0,tablet,norte,1534.5
C000194,30.0,37.61,11,1,10.68,4.0,0,1,tablet,oeste,204.0
C000195,19.0,14.35,9,1,6.38,4.0,0,0,móvil,sur,0.0
C000196,37.0,60.58,17,4,10.09,4.0,0,0,móvil,norte,2018.85
C000197,37.0,70.94,15,0,10.16,1.0,0,0,escritorio,norte,0.0
C000198,33.0,35.77,18,1,14.36,2.0,0,0,móvil,sur,459.0
C000199,41.0,30.79,15,1,8.76,2.0,0,0,móvil,oeste,680.97
C000200,40.0,95.93,10,4,18.69,4.0,0,0,escritorio,norte,827.46
C000201,48.0,73.76,13,2,9.02,3.0,0,0,móvil,este,1115.65
C000202,39.0,42.86,8,0,9.74,3.0,0,0,móvil,este,0.0
C000203,31.0,45.94,13,1,7.47,4.0,0,0,móvil,oeste,513.28
C000204,42.0,51.83,16,2,8.63,3.0,0,1,móvil,norte,61.2
C000205,55.0,22.93,6,1,8.0,2.0,0,0,móvil,sur,137.92
C000206,31.0,50.77,8,0,8.01,2.0,0,0,escritorio,norte,0.0
C000207,59.0,30.0,4,1,9.4,3.0,0,0,escritorio,sur,0.0
C000208,18.0,28.58,10,2,13.23,3.0,1,0,móvil,norte,345.84
C000209,21.0,34.48,13,2,7.53,4.0,0,0,móvil,oeste,308.97
C000210,37.0,21.1,13,2,8.9,2.0,0,0,móvil,oeste,1177.5
C000211,45.0,25.22,13,1,6.9,2.0,0,0,móvil,oeste,956.53
C000212,38.0,21.9,10,2,9.98,4.0,0,0,tablet,sur,236.59
C000213,42.0,32.74,7,2,15.65,4.0,1,0,móvil,este,734.15
C000214,18.0,25.93,15,0,9.96,2.0,0,0,móvil,este,0.0
C000215,44.0,36.95,13,2,16.84,2.0,1,0,móvil,este,1456.3
C000216,41.0,37.13,13,2,7.95,3.0,0,1,móvil,norte,191.74
C000217,34.0,38.46,14,1,8.01,4.0,0,0,escritorio,oeste,489.82
C000218,38.0,43.97,11,2,8.56,2.0,0,0,escritorio,este,802.53
C000219,25.0,47.1,6,0,7.64,4.0,0,0,escritorio,oeste,105.43
C000220,29.0,45.36,9,3,13.88,4.0,0,1,escritorio,oeste,880.37
C000221,28.0,32.5,11,1,8.59,3.0,0,0,tablet,oeste,843.06
C000222,34.0,32.19,16,2,11.0,4.0,0,0,móvil,norte,834.0
C000223,38.0,41.65,11,3,8.54,4.0,0,0,móvil,norte,1915.35
C000224,51.0,20.6,16,3,8.1,3.0,0,0,móvil,este,0.0
C000225,32.0,35.46,10,0,8.37,4.0,0,0,móvil,este,0.0
C000226,18.0,52.54,20,3,10.0,3.0,0,0,móvil,sur,28.08
C000227,43.0,34.42,13,2,7.37,2.0,0,0,móvil,oeste,721.39
C000228,47.0,40.58,12,1,8.4,3.0,0,0,móvil,oeste,622.56
C000229,38.0,36.19,13,2,10.87,4.0,0,0,móvil,sur,0.0
C000230,36.0,65.52,13,0,7.67,4.0,0,0,móvil,sur,229.45
C000231,18.0,39.15,11,3,9.07,3.0,0,0,móvil,norte,1296.91
C000232,21.0,21.09,10,2,7.78,4.0,0,0,escritorio,norte,1624.76
C000233,27.0,26.76,13,1,11.14,4.0,0,0,móvil,este,184.53
C000234,39.0,40.03,17,1,10.41,3.0,0,0,móvil,oeste,314.78
C000235,37.0,47.44,10,3,10.69,3.0,0,0,tablet,sur,819.19
C000236,28.0,23.3,14,0,7.68,2.0,0,0,escritorio,norte,131.01
C000237,26.0,53.29,10,2,12.33,3.0,1,0,móvil,norte,777.76
C000238,40.0,19.34,13,2,6.3,2.0,0,0,móvil,este,551.78
C000239,33.0,27.12,4,0,12.51,4.0,0,0,móvil,norte,138.97
C000240,38.0,52.57,8,1,9.31,4.0,0,0,móvil,oeste,791.11
C000241,36.0,49.75,17,0,11.99,2.0,0,0,móvil,sur,290.05
C000242,41.0,27.81,8,2,11.39,3.0,1,0,escritorio,oeste,1105.42
C000243,38.0,41.68,6,2,8.17,3.0,0,0,móvil,oeste,514.9
C000244,34.0,23.26,13,1,12.38,2.0,1,1,tablet,este,383.29
C000245,33.0,36.96,10,1,7.95,2.0,0,0,móvil,este,239.75
C000246,31.0,33.14,15,1,11.29,3.0,1,0,móvil,oeste,772.54
C000247,53.0,23.69,17,1,7.68,2.0,0,1,móvil,sur,328.49
C000248,39.0,22.27,12,2,11.3,5.0,1,1,móvil,este,652.76
C000249,39.0,43.13,19,4,7.5,4.0,0,1,móvil,norte,270.29
C000250,21.0,34.85,12,1,8.19,3.0,0,0,móvil,oeste,716.87
C000251,39.0,32.06,11,1,8.0,1.0,0,1,móvil,sur,0.0
C000252,30.0,54.61,10,0,10.45,3.0,0,0,escritorio,sur,370.22
C000253,43.0,38.72,19,2,8.39,1.0,0,0,móvil,oeste,488.68
C000254,43.0,36.84,8,2,8.55,2.0,0,0,móvil,oeste,719.92
C000255,34.0,30.76,8,0,9.15,3.0,0,0,móvil,este,134.01
C000256,28.0,29.97,11,1,7.48,4.0,0,0,móvil,norte,308.24
C000257,39.0,42.0,10,0,7.41,3.0,0,0,escritorio,norte,0.0
C000258,40.0,49.89,14,1,11.18,3.0,0,0,móvil,norte,522.61
C000259,22.0,24.09,26,3,8.28,3.0,0,1,móvil,sur,481.96
C000260,33.0,50.03,10,3,9.02,4.0,0,0,móvil,oeste,1627.61
C000261,32.0,45.23,12,2,9.98,3.0,0,0,móvil,oeste,1560.3
C000262,44.0,22.72,16,1,11.11,2.0,0,0,móvil,norte,513.88
C000263,40.0,41.68,21,4,17.71,3.0,1,0,móvil,oeste,2054.46
C000264,22.0,14.94,14,2,13.8,3.0,1,0,móvil,este,1233.35
C000265,25.0,38.44,12,4,7.65,3.0,0,0,móvil,oeste,270.54
C000266,33.0,35.88,7,0,8.91,3.0,0,0,móvil,oeste,371.25
C000267,31.0,35.03,6,1,17.57,2.0,1,0,escritorio,sur,1106.23
C000268,25.0,47.58,14,1,7.63,4.0,0,0,móvil,este,475.09
C000269,24.0,28.5,13,0,7.62,3.0,0,0,escritorio,sur,325.41
C000270,40.0,60.96,13,1,15.68,1.0,0,1,móvil,este,345.41
C000271,59.0,28.64,12,2,7.34,2.0,0,0,móvil,sur,471.03
C000272,40.0,59.91,23,6,12.78,4.0,1,0,móvil,norte,3414.64
C000273,38.0,40.71,10,0,12.52,3.0,0,0,móvil,este,0.0
C000274,36.0,37.45,14,2,14.77,2.0,1,0,escritorio,norte,1209.82
C000275,26.0,24.59,7,0,7.26,2.0,0,0,móvil,sur,106.42
C000276,36.0,72.64,20,2,10.67,2.0,0,1,móvil,oeste,926.44
C000277,50.0,23.02,15,3,10.83,3.0,1,0,tablet,oeste,1711.38
C000278,41.0,70.58,7,3,9.39,4.0,0,0,escritorio,norte,1649.31
C000279,47.0,23.4,15,4,10.28,4.0,0,0,escritorio,sur,2052.65
C000280,37.0,31.72,16,2,13.52,3.0,0,0,tablet,este,1341.71
C000281,28.0,64.98,13,4,12.97,3.0,0,1,móvil,oeste,588.81
C000282,22.0,25.73,8,0,8.03,2.0,0,0,móvil,sur,243.85
C000283,35.0,23.06,15,1,10.01,5.0,0,0,móvil,este,319.84
C000284,22.0,30.12,11,0,8.01,2.0,0,1,escritorio,este,0.0
C000285,39.0,28.61,11,2,8.5,3.0,0,1,móvil,sur,637.8
C000286,18.0,30.33,11,2,11.22,3.0,0,0,escritorio,sur,501.89
C000287,41.0,35.14,10,1,8.86,4.0,0,1,móvil,oeste,486.32
C000288,54.0,45.45,10,3,10.21,4.0,0,0,tablet,norte,606.9
C000289,41.0,54.1,6,1,8.44,2.0,0,0,escritorio,este,41.03
C000290,32.0,36.1,9,0,9.0,2.0,0,0,escritorio,norte,116.28
C000291,46.0,27.83,13,2,12.62,3.0,1,0,móvil,este,1178.24
C000292,33.0,45.77,9,0,7.04,3.0,0,0,móvil,este,0.0
C000293,28.0,17.4,12,2,8.51,3.0,0,0,escritorio,este,612.6
C000294,32.0,34.42,11,1,7.83,3.0,0,0,móvil,sur,733.66
C000295,53.0,50.21,8,1,9.32,4.0,0,0,móvil,sur,0.0
C000296,25.0,32.38,6,0,9.6,4.0,0,0,tablet,este,201.19
C000297,33.0,41.64,12,3,8.82,5.0,0,1,tablet,oeste,1337.78
C000298,41.0,71.86,12,0,8.01,3.0,0,0,tablet,oeste,397.6
C000299,18.0,45.88,13,2,18.7,3.0,1,0,móvil,sur,1102.71
C000300,33.0,28.7,18,1,7.96,2.0,0,0,móvil,oeste,443.95
C000301,30.0,25.52,17,1,8.27,2.0,0,0,móvil,sur,935.61
C000302,24.0,59.89,13,1,7.8,3.0,0,1,móvil,norte,0.0
C000303,19.0,35.58,9,0,8.66,4.0,0,0,escritorio,este,0.0
C000304,18.0,44.81,13,1,10.74,4.0,0,0,móvil,norte,252.21
C000305,21.0,22.1,17,1,12.76,4.0,1,0,móvil,oeste,968.63
C000306,29.0,13.64,17,3,7.92,3.0,0,0,móvil,norte,1055.98
C000307,38.0,57.26,11,4,16.2,4.0,1,0,tablet,norte,2114.76
C000308,39.0,35.05,8,2,15.94,,0,0,escritorio,oeste,1035.55
C000309,25.0,29.84,13,1,6.63,1.0,0,1,móvil,sur,113.6
C000310,25.0,19.75,11,0,6.77,5.0,0,0,móvil,oeste,0.0
C000311,34.0,44.54,12,2,11.12,3.0,1,1,móvil,este,382.35
C000312,39.0,42.31,12,0,11.08,2.0,0,0,móvil,oeste,75.45
C000313,38.0,63.69,9,0,9.12,2.0,0,0,móvil,este,0.0
C000314,28.0,48.29,13,5,14.99,3.0,1,0,móvil,oeste,4370.98
C000315,46.0,38.87,5,1,11.72,4.0,1,0,escritorio,este,717.04
C000316,32.0,83.92,12,4,14.11,3.0,1,1,móvil,este,1185.95
C000317,26.0,52.41,14,0,10.37,,0,0,móvil,norte,0.0
C000318,56.0,33.44,11,2,11.49,3.0,0,0,móvil,este,813.38
C000319,46.0,23.0,12,0,11.49,1.0,0,0,tablet,norte,11.29
C000320,40.0,73.35,13,0,9.85,2.0,0,0,móvil,sur,189.4
C000321,40.0,41.18,10,0,9.95,2.0,0,1,móvil,este,0.0
C000322,21.0,27.12,12,1,10.34,4.0,0,0,móvil,sur,476.71
C000323,32.0,20.07,9,0,7.21,4.0,0,0,móvil,oeste,47.21
C000324,18.0,25.44,8,1,9.96,3.0,0,0,escritorio,sur,41.83
C000325,37.0,30.85,11,4,8.85,4.0,0,0,móvil,norte,1313.61
C000326,18.0,28.43,12,0,8.2,3.0,0,0,tablet,este,98.89
C000327,38.0,36.55,10,2,14.41,3.0,0,0,móvil,sur,688.17
C000328,66.0,24.73,13,2,7.43,3.0,0,0,móvil,este,1347.4
C000329,18.0,50.32,13,4,9.25,3.0,0,0,escritorio,este,1261.05
C000330,43.0,44.39,9,2,17.29,4.0,1,0,móvil,oeste,1135.69
C000331,30.0,42.39,10,1,12.95,2.0,1,0,tablet,este,520.01
C000332,26.0,64.69,8,3,14.17,4.0,1,0,móvil,norte,2362.36
C000333,30.0,40.5,10,1,9.74,3.0,0,0,móvil,oeste,339.19
C000334,30.0,27.62,10,2,7.38,3.0,0,0,móvil,sur,676.72
C000335,24.0,35.38,7,3,12.05,3.0,1,0,escritorio,norte,1547.06
C000336,42.0,40.27,11,0,7.83,4.0,0,0,móvil,este,51.45
C000337,26.0,57.55,17,2,9.24,4.0,0,0,móvil,oeste,388.19
C000338,33.0,41.71,18,3,144.45000000000002,2.0,0,0,móvil,oeste,665.22
C000339,34.0,28.7,11,2,7.16,3.0,0,0,móvil,sur,968.46
C000340,23.0,21.57,14,3,8.58,4.0,0,0,escritorio,norte,1812.52
C000341,40.0,28.14,7,1,9.69,4.0,0,0,móvil,sur,74.82
C000342,39.0,27.26,12,0,10.66,5.0,0,0,escritorio,sur,10.28
C000343,33.0,95.0,12,3,10.88,4.0,0,1,tablet,este,496.32
C000344,52.0,15.37,14,2,6.0,3.0,0,1,móvil,oeste,84.56
C000345,35.0,33.92,13,2,7.22,3.0,0,0,móvil,sur,736.81
C000346,43.0,72.78,9,4,13.14,3.0,1,0,escritorio,este,2012.2
C000347,45.0,31.88,13,1,7.86,3.0,0,0,móvil,sur,0.0
C000348,46.0,64.74,13,2,12.17,4.0,1,0,móvil,este,549.64
C000349,40.0,44.87,16,5,11.89,3.0,0,1,móvil,oeste,0.0
C000350,31.0,46.94,11,1,10.21,1.0,0,0,tablet,sur,1200.01
