order_item_id,order_id,order_date,customer_id,product_id,channel_id,quantity,unit_price,discount_pct,revenue,cost,profit,delivery_days,returned,rating,signup_date,segment,age_group,region,country,city,category,subcategory,brand,product_name,channel,campaign,device,profit_margin,delivery_class,ticket_band
11,500004,2026-02-10,101446,2041,16,2,63.48,0.0,126.96,67.14,59.82,3,0,4.0,2024-07-03,Básico,25-34,Cono Sur,Paraguay,Asunción,Moda,Accesorios,Pampa,Accesorios Pampa 189,Referidos,Always-on,Mobile,0.4712,Rápido (<=3d),Alto
12,500004,2026-02-10,101446,2003,16,3,42.41,0.0,127.23,52.89,74.34,3,0,4.2,2024-07-03,Básico,25-34,Cono Sur,Paraguay,Asunción,Libros,No ficción,Andes,No ficción Andes 294,Referidos,Always-on,Mobile,0.5843,Rápido (<=3d),Alto
13,500004,2026-02-10,101446,2006,16,3,28.73,0.0,86.19,52.34,33.85,5,0,4.0,2024-07-03,Básico,25-34,Cono Sur,Paraguay,Asunción,Hogar,Organización,Pampa,Organización Pampa 408,Referidos,Always-on,Mobile,0.3927,Normal (4-7d),Alto
14,500005,2024-08-04,100539,2002,19,3,86.43,0.0,259.29,140.61,118.68,5,0,3.6,2023-11-24,Plus,25-34,Cono Sur,Paraguay,Asunción,Moda,Jeans,Pacífico,Jeans Pacífico 642,Email,Influencers,Desktop,0.4577,Normal (4-7d),Muy alto
15,500006,2024-11-04,101476,2054,15,1,64.04,0.1,64.04,35.9,28.14,8,0,3.6,2024-01-05,Básico,25-34,Caribe,República Dominicana,Santo Domingo,Deportes,Outdoor,Nova,Outdoor Nova 122,Orgánico,Seasonal,Mobile,0.4394,Lento (8-14d),Medio
16,500006,2024-11-04,101476,2013,15,1,94.56,0.0,94.56,62.33,32.23,4,1,2.3,2024-01-05,Básico,25-34,Caribe,República Dominicana,Santo Domingo,Deportes,Ciclismo,Río,Ciclismo Río 503,Orgánico,Seasonal,Mobile,0.3408,Normal (4-7d),Alto
17,500007,2024-05-31,101766,2058,10,2,25.94,0.0,51.88,31.3,20.58,5,0,4.6,2025-04-16,Básico,35-44,Cono Sur,Argentina,Buenos Aires,Libros,Ficción,MxTech,Ficción MxTech 758,Email,Influencers,Desktop,0.3967,Normal (4-7d),Medio
18,500007,2024-05-31,101766,2038,10,3,65.2,0.0,195.6,112.5,83.1,3,0,4.0,2025-04-16,Básico,35-44,Cono Sur,Argentina,Buenos Aires,Hogar,Cocina,Orion,Cocina Orion 295,Email,Influencers,Desktop,0.4248,Rápido (<=3d),Muy alto
19,500008,2024-04-28,101778,2058,17,3,24.58,0.05,73.74,41.12,32.62,4,0,4.1,2025-01-25,Plus,35-44,Caribe,Costa Rica,San José,Libros,Ficción,MxTech,Ficción MxTech 758,Email,Seasonal,Desktop,0.4424,Normal (4-7d),Medio
20,500009,2024-07-20,101478,2023,17,1,159.99,0.05,159.99,132.73,27.26,5,0,3.8,2023-09-17,Plus,35-44,Pacífica,Chile,Valparaíso,Tecnología,Audífonos,MxTech,Audífonos MxTech 446,Email,Seasonal,Desktop,0.1704,Normal (4-7d),Muy alto
21,500009,2024-07-20,101478,2045,17,3,92.2,0.1,276.6,175.93,100.67,1,0,4.4,2023-09-17,Plus,35-44,Pacífica,Chile,Valparaíso,Deportes,Running,Pacífico,Running Pacífico 366,Email,Seasonal,Desktop,0.364,Rápido (<=3d),Muy alto
22,500010,2024-04-16,101464,2025,12,3,80.83,0.0,242.49,156.68,85.81,5,0,4.4,2023-07-15,Básico,35-44,Centroamérica,Guatemala,Ciudad de Guatemala,Tecnología,Cables,Nova,Cables Nova 514,Afiliados,Always-on,Mobile,0.3539,Normal (4-7d),Muy alto
23,500011,2025-08-01,101569,2039,18,3,207.83,0.05,623.49,387.6,235.89,4,0,4.6,2023-06-14,Plus,35-44,Pacífica,Chile,Valparaíso,Tecnología,Audífonos,Nova,Audífonos Nova 831,Afiliados,Seasonal,Desktop,0.3783,Normal (4-7d),Muy alto
24,500011,2025-08-01,101569,2017,18,1,258.14,0.1,258.14,202.93,55.21,4,0,3.9,2023-06-14,Plus,35-44,Pacífica,Chile,Valparaíso,Tecnología,Mouse,LimaLab,Mouse LimaLab 296,Afiliados,Seasonal,Desktop,0.2139,Normal (4-7d),Muy alto
25,500011,2025-08-01,101569,2043,18,2,18.59,0.05,37.18,15.0,22.18,3,0,4.0,2023-06-14,Plus,35-44,Pacífica,Chile,Valparaíso,Libros,No ficción,MxTech,No ficción MxTech 173,Afiliados,Seasonal,Desktop,0.5966,Rápido (<=3d),Medio
26,500012,2025-04-17,101472,2034,12,3,56.47,0.0,169.41,90.51,78.9,4,0,4.1,2023-01-31,Básico,35-44,Andina,Ecuador,Guayaquil,Moda,Zapatos,MxTech,Zapatos MxTech 800,Afiliados,Always-on,Mobile,0.4657,Normal (4-7d),Muy alto
27,500012,2025-04-17,101472,2041,12,1,63.1,0.0,63.1,32.81,30.29,3,0,3.9,2023-01-31,Básico,35-44,Andina,Ecuador,Guayaquil,Moda,Accesorios,Pampa,Accesorios Pampa 189,Afiliados,Always-on,Mobile,0.48,Rápido (<=3d),Medio
28,500012,2025-04-17,101472,2043,12,2,19.33,0.0,38.66,17.54,21.12,1,0,4.0,2023-01-31,Básico,35-44,Andina,Ecuador,Guayaquil,Libros,No ficción,MxTech,No ficción MxTech 173,Afiliados,Always-on,Mobile,0.5463,Rápido (<=3d),Medio
29,500013,2024-11-04,100267,2043,18,1,17.02,0.1,17.02,8.13,8.89,7,0,4.0,2024-12-15,Básico,35-44,Andina,Ecuador,Guayaquil,Libros,No ficción,MxTech,No ficción MxTech 173,Afiliados,Seasonal,Desktop,0.5223,Normal (4-7d),Bajo
30,500013,2024-11-04,100267,2049,18,1,19.26,0.0,19.26,7.48,11.78,3,0,4.1,2024-12-15,Básico,35-44,Andina,Ecuador,Guayaquil,Libros,Ficción,Río,Ficción Río 258,Afiliados,Seasonal,Desktop,0.6116,Rápido (<=3d),Bajo
31,500013,2024-11-04,100267,2057,18,1,20.21,0.05,20.21,9.75,10.46,2,0,4.5,2024-12-15,Básico,35-44,Andina,Ecuador,Guayaquil,Libros,No ficción,Pacífico,No ficción Pacífico 569,Afiliados,Seasonal,Desktop,0.5176,Rápido (<=3d),Bajo
32,500014,2025-03-08,101608,2057,18,1,19.98,0.05,19.98,8.85,11.13,4,0,4.1,2024-07-19,Básico,35-44,Caribe,Panamá,Ciudad de Panamá,Libros,No ficción,Pacífico,No ficción Pacífico 569,Afiliados,Seasonal,Desktop,0.5571,Normal (4-7d),Bajo
33,500014,2025-03-08,101608,2059,18,2,4.5,0.1,9.0,3.86,5.14,3,0,4.2,2024-07-19,Básico,35-44,Caribe,Panamá,Ciudad de Panamá,Libros,Ficción,Orion,Ficción Orion 782,Afiliados,Seasonal,Desktop,0.5711,Rápido (<=3d),Bajo
34,500014,2025-03-08,101608,2013,18,3,90.05,0.0,270.15,154.69,115.46,5,0,3.2,2024-07-19,Básico,35-44,Caribe,Panamá,Ciudad de Panamá,Deportes,Ciclismo,Río,Ciclismo Río 503,Afiliados,Seasonal,Desktop,0.4274,Normal (4-7d),Muy alto
35,500015,2025-04-22,100359,2010,11,1,27.99,0.0,27.99,13.2,14.79,5,1,3.1,2024-10-05,Básico,35-44,Pacífica,México,Monterrey,Libros,No ficción,Andes,No ficción Andes 524,Afiliados,Always-on,Desktop,0.5284,Normal (4-7d),Bajo
36,500015,2025-04-22,100359,2013,11,2,90.36,0.0,180.72,115.32,65.4,4,0,4.0,2024-10-05,Básico,35-44,Pacífica,México,Monterrey,Deportes,Ciclismo,Río,Ciclismo Río 503,Afiliados,Always-on,Desktop,0.3619,Normal (4-7d),Muy alto
37,500015,2025-04-22,100359,2004,11,2,29.53,0.0,59.06,31.49,27.57,6,0,3.9,2024-10-05,Básico,35-44,Pacífica,México,Monterrey,Hogar,Cocina,Andes,Cocina Andes 691,Afiliados,Always-on,Desktop,0.4668,Normal (4-7d),Medio
38,500016,2024-05-25,101112,2013,13,1,88.22,0.0,88.22,67.52,20.7,4,0,4.5,2023-04-29,Básico,18-24,Pacífica,México,Guadalajara,Deportes,Ciclismo,Río,Ciclismo Río 503,Email,Retargeting,Desktop,0.2346,Normal (4-7d),Alto
39,500016,2024-05-25,101112,2003,13,1,42.29,0.0,42.29,19.88,22.41,7,0,3.8,2023-04-29,Básico,18-24,Pacífica,México,Guadalajara,Libros,No ficción,Andes,No ficción Andes 294,Email,Retargeting,Desktop,0.5299,Normal (4-7d),Medio
40,500017,2024-08-22,100678,2046,11,3,91.04,0.03,273.12,183.48,89.64,2,0,3.9,2024-11-02,Premium,25-34,Andina,Perú,Lima,Moda,Zapatos,Pampa,Zapatos Pampa 220,Afiliados,Always-on,Desktop,0.3282,Rápido (<=3d),Muy alto
41,500017,2024-08-22,100678,2007,11,1,26.35,0.03,26.35,12.21,14.14,5,0,2.9,2024-11-02,Premium,25-34,Andina,Perú,Lima,Libros,No ficción,CaliCo,No ficción CaliCo 479,Afiliados,Always-on,Desktop,0.5366,Normal (4-7d),Bajo
42,500017,2024-08-22,100678,2000,11,2,123.15,0.03,246.3,178.37,67.93,2,0,4.0,2024-11-02,Premium,25-34,Andina,Perú,Lima,Tecnología,Teclados,Pacífico,Teclados Pacífico 971,Afiliados,Always-on,Desktop,0.2758,Rápido (<=3d),Muy alto
43,500018,2025-11-27,100426,2015,18,3,58.24,0.05,174.72,102.65,72.07,4,0,3.7,2025-07-17,Básico,35-44,Andina,Colombia,Bogotá,Hogar,Cocina,Río,Cocina Río 804,Afiliados,Seasonal,Desktop,0.4125,Normal (4-7d),Muy alto
44,500018,2025-11-27,100426,2026,18,3,26.17,0.0,78.51,39.38,39.13,2,0,4.6,2025-07-17,Básico,35-44,Andina,Colombia,Bogotá,Libros,Educación,MxTech,Educación MxTech 363,Afiliados,Seasonal,Desktop,0.4984,Rápido (<=3d),Medio
45,500019,2024-01-10,100563,2026,12,3,24.35,0.03,73.05,36.74,36.31,2,0,4.4,2023-12-30,Premium,18-24,Pacífica,Chile,Santiago,Libros,Educación,MxTech,Educación MxTech 363,Afiliados,Always-on,Mobile,0.4971,Rápido (<=3d),Medio
46,500019,2024-01-10,100563,2020,12,2,43.46,0.03,86.92,52.65,34.27,4,0,3.3,2023-12-30,Premium,18-24,Pacífica,Chile,Santiago,Hogar,Limpieza,LimaLab,Limpieza LimaLab 225,Afiliados,Always-on,Mobile,0.3943,Normal (4-7d),Alto
47,500019,2024-01-10,100563,2019,12,3,277.15,0.03,831.45,585.24,246.21,5,0,3.6,2023-12-30,Premium,18-24,Pacífica,Chile,Santiago,Tecnología,Teclados,LimaLab,Teclados LimaLab 547,Afiliados,Always-on,Mobile,0.2961,Normal (4-7d),Muy alto
48,500020,2026-01-25,100169,2025,17,2,73.42,0.13,146.84,124.43,22.41,4,0,4.0,2024-10-12,Premium,18-24,Cono Sur,Paraguay,Asunción,Tecnología,Cables,Nova,Cables Nova 514,Email,Seasonal,Desktop,0.1526,Normal (4-7d),Alto
49,500020,2026-01-25,100169,2039,17,3,215.76,0.08,647.28,447.52,199.76,6,0,4.2,2024-10-12,Premium,18-24,Cono Sur,Paraguay,Asunción,Tecnología,Audífonos,Nova,Audífonos Nova 831,Email,Seasonal,Desktop,0.3086,Normal (4-7d),Muy alto
50,500020,2026-01-25,100169,2020,17,1,40.62,0.03,40.62,23.28,17.34,6,0,3.5,2024-10-12,Premium,18-24,Cono Sur,Paraguay,Asunción,Hogar,Limpieza,LimaLab,Limpieza LimaLab 225,Email,Seasonal,Desktop,0.4269,Normal (4-7d),Medio
51,500021,2026-01-31,100879,2023,15,1,164.56,0.05,164.56,113.79,50.77,4,0,5.0,2023-05-04,Plus,18-24,Pacífica,México,Guadalajara,Tecnología,Audífonos,MxTech,Audífonos MxTech 446,Orgánico,Seasonal,Mobile,0.3085,Normal (4-7d),Muy alto
52,500021,2026-01-31,100879,2004,15,2,27.73,0.05,55.46,37.25,18.21,4,0,3.2,2023-05-04,Plus,18-24,Pacífica,México,Guadalajara,Hogar,Cocina,Andes,Cocina Andes 691,Orgánico,Seasonal,Mobile,0.3283,Normal (4-7d),Medio
53,500022,2024-07-19,100838,2046,10,2,89.81,0.0,179.62,102.02,77.6,1,0,4.9,2023-07-06,Básico,35-44,Caribe,Costa Rica,San José,Moda,Zapatos,Pampa,Zapatos Pampa 220,Email,Influencers,Desktop,0.432,Rápido (<=3d),Muy alto
54,500023,2024-09-10,100806,2010,20,1,24.36,0.15,24.36,13.62,10.74,2,0,4.1,2023-10-06,Básico,25-34,Centroamérica,Honduras,Tegucigalpa,Libros,No ficción,Andes,No ficción Andes 524,Búsqueda paga,Lanzamiento,Desktop,0.4409,Rápido (<=3d),Bajo
55,500024,2024-06-12,100183,2006,18,3,28.37,0.0,85.11,56.93,28.18,2,0,4.1,2025-04-23,Básico,45-54,Caribe,Costa Rica,San José,Hogar,Organización,Pampa,Organización Pampa 408,Afiliados,Seasonal,Desktop,0.3311,Rápido (<=3d),Alto
56,500024,2024-06-12,100183,2053,18,2,40.29,0.0,80.58,47.58,33.0,5,0,4.6,2025-04-23,Básico,45-54,Caribe,Costa Rica,San José,Hogar,Organización,Andes,Organización Andes 454,Afiliados,Seasonal,Desktop,0.4095,Normal (4-7d),Alto
57,500025,2025-03-18,101213,2046,13,2,87.75,0.0,175.5,109.02,66.48,2,0,3.8,2023-11-14,Básico,25-34,Caribe,Panamá,Ciudad de Panamá,Moda,Zapatos,Pampa,Zapatos Pampa 220,Email,Retargeting,Desktop,0.3788,Rápido (<=3d),Muy alto
58,500026,2024-06-17,100338,2013,20,1,83.04,0.1,83.04,49.01,34.03,6,0,2.6,2024-10-13,Básico,25-34,Andina,Ecuador,Guayaquil,Deportes,Ciclismo,Río,Ciclismo Río 503,Búsqueda paga,Lanzamiento,Desktop,0.4098,Normal (4-7d),Alto
59,500026,2024-06-17,100338,2017,20,2,260.29,0.1,520.58,360.26,160.32,6,0,4.2,2024-10-13,Básico,25-34,Andina,Ecuador,Guayaquil,Tecnología,Mouse,LimaLab,Mouse LimaLab 296,Búsqueda paga,Lanzamiento,Desktop,0.308,Normal (4-7d),Muy alto
60,500026,2024-06-17,100338,2025,20,3,84.27,0.0,252.81,180.69,72.12,7,0,5.0,2024-10-13,Básico,25-34,Andina,Ecuador,Guayaquil,Tecnología,Cables,Nova,Cables Nova 514,Búsqueda paga,Lanzamiento,Desktop,0.2853,Normal (4-7d),Muy alto
61,500027,2025-09-16,101711,2002,18,1,77.74,0.1,77.74,43.09,34.65,1,1,3.5,2023-04-15,Básico,45-54,Caribe,Costa Rica,San José,Moda,Jeans,Pacífico,Jeans Pacífico 642,Afiliados,Seasonal,Desktop,0.4457,Rápido (<=3d),Medio
62,500028,2024-11-02,100047,2022,19,1,160.87,0.0,160.87,117.94,42.93,4,0,4.6,2024-01-21,Básico,18-24,Caribe,República Dominicana,Santiago,Tecnología,Monitores,MxTech,Monitores MxTech 521,Email,Influencers,Desktop,0.2669,Normal (4-7d),Muy alto
63,500028,2024-11-02,100047,2036,19,3,95.48,0.0,286.44,173.86,112.58,6,0,4.4,2024-01-21,Básico,18-24,Caribe,República Dominicana,Santiago,Deportes,Outdoor,Río,Outdoor Río 286,Email,Influencers,Desktop,0.393,Normal (4-7d),Muy alto
64,500028,2024-11-02,100047,2021,19,3,29.69,0.0,89.07,52.69,36.38,7,0,4.7,2024-01-21,Básico,18-24,Caribe,República Dominicana,Santiago,Moda,Zapatos,Nova,Zapatos Nova 642,Email,Influencers,Desktop,0.4084,Normal (4-7d),Alto
65,500029,2026-02-03,100110,2020,12,3,43.97,0.03,131.91,73.57,58.34,3,0,3.7,2023-01-29,Premium,25-34,Caribe,República Dominicana,Santiago,Hogar,Limpieza,LimaLab,Limpieza LimaLab 225,Afiliados,Always-on,Mobile,0.4423,Rápido (<=3d),Alto
66,500029,2026-02-03,100110,2056,12,3,21.75,0.03,65.25,29.14,36.11,4,0,3.3,2023-01-29,Premium,25-34,Caribe,República Dominicana,Santiago,Libros,No ficción,CaliCo,No ficción CaliCo 105,Afiliados,Always-on,Mobile,0.5534,Normal (4-7d),Medio
67,500030,2025-11-05,100600,2043,10,2,19.89,0.0,39.78,19.75,20.03,3,0,4.7,2024-12-03,Básico,25-34,Pacífica,México,CDMX,Libros,No ficción,MxTech,No ficción MxTech 173,Email,Influencers,Desktop,0.5035,Rápido (<=3d),Medio
68,500030,2025-11-05,100600,2041,10,1,63.55,0.0,63.55,38.22,25.33,2,1,4.0,2024-12-03,Básico,25-34,Pacífica,México,CDMX,Moda,Accesorios,Pampa,Accesorios Pampa 189,Email,Influencers,Desktop,0.3986,Rápido (<=3d),Medio
69,500031,2024-11-13,100815,2000,10,2,128.23,0.0,256.46,189.99,66.47,5,0,3.9,2023-07-28,Básico,35-44,Cono Sur,Argentina,Buenos Aires,Tecnología,Teclados,Pacífico,Teclados Pacífico 971,Email,Influencers,Desktop,0.2592,Normal (4-7d),Muy alto
70,500031,2024-11-13,100815,2043,10,2,18.59,0.0,37.18,17.79,19.39,2,0,4.5,2023-07-28,Básico,35-44,Cono Sur,Argentina,Buenos Aires,Libros,No ficción,MxTech,No ficción MxTech 173,Email,Influencers,Desktop,0.5215,Rápido (<=3d),Medio
71,500031,2024-11-13,100815,2056,10,2,22.69,0.0,45.38,25.67,19.71,3,0,3.8,2023-07-28,Básico,35-44,Cono Sur,Argentina,Buenos Aires,Libros,No ficción,CaliCo,No ficción CaliCo 105,Email,Influencers,Desktop,0.4343,Rápido (<=3d),Medio
72,500032,2025-04-15,101939,2036,16,1,89.0,0.0,89.0,49.44,39.56,4,0,4.5,2025-04-13,Básico,18-24,Andina,Colombia,Medellín,Deportes,Outdoor,Río,Outdoor Río 286,Referidos,Always-on,Mobile,0.4445,Normal (4-7d),Alto
73,500032,2025-04-15,101939,2020,16,2,45.61,0.0,91.22,48.54,42.68,6,0,3.0,2025-04-13,Básico,18-24,Andina,Colombia,Medellín,Hogar,Limpieza,LimaLab,Limpieza LimaLab 225,Referidos,Always-on,Mobile,0.4679,Normal (4-7d),Alto
74,500033,2024-01-20,101050,2001,19,2,47.87,0.0,95.74,66.27,29.47,4,0,4.0,2024-09-11,Plus,25-34,Centroamérica,Honduras,Tegucigalpa,Hogar,Cocina,Pacífico,Cocina Pacífico 473,Email,Influencers,Desktop,0.3078,Normal (4-7d),Alto
75,500034,2024-02-23,100757,2012,20,2,83.29,0.15,166.58,88.12,78.46,6,0,3.7,2024-04-25,Básico,25-34,Cono Sur,Argentina,Buenos Aires,Deportes,Running,Andes,Running Andes 442,Búsqueda paga,Lanzamiento,Desktop,0.471,Normal (4-7d),Muy alto
76,500034,2024-02-23,100757,2056,20,2,21.95,0.05,43.9,23.36,20.54,6,0,3.2,2024-04-25,Básico,25-34,Cono Sur,Argentina,Buenos Aires,Libros,No ficción,CaliCo,No ficción CaliCo 105,Búsqueda paga,Lanzamiento,Desktop,0.4679,Normal (4-7d),Medio
77,500035,2025-02-03,101675,2043,21,1,16.75,0.1,16.75,9.43,7.32,3,0,4.1,2025-10-18,Plus,25-34,Cono Sur,Argentina,Rosario,Libros,No ficción,MxTech,No ficción MxTech 173,Referidos,Lanzamiento,Desktop,0.437,Rápido (<=3d),Bajo
78,500035,2025-02-03,101675,2030,21,2,56.61,0.0,113.22,56.98,56.24,6,0,3.8,2025-10-18,Plus,25-34,Cono Sur,Argentina,Rosario,Hogar,Organización,MxTech,Organización MxTech 167,Referidos,Lanzamiento,Desktop,0.4967,Normal (4-7d),Alto
79,500035,2025-02-03,101675,2041,21,2,65.59,0.0,131.18,76.02,55.16,2,0,4.9,2025-10-18,Plus,25-34,Cono Sur,Argentina,Rosario,Moda,Accesorios,Pampa,Accesorios Pampa 189,Referidos,Lanzamiento,Desktop,0.4205,Rápido (<=3d),Alto
80,500036,2025-01-08,100481,2037,17,3,26.21,0.05,78.63,38.76,39.87,4,0,4.6,2023-11-25,Básico,55+,Andina,Colombia,Barranquilla,Libros,Educación,Pacífico,Educación Pacífico 282,Email,Seasonal,Desktop,0.5071,Normal (4-7d),Medio
81,500036,2025-01-08,100481,2023,17,2,136.93,0.15,273.86,213.33,60.53,4,0,4.5,2023-11-25,Básico,55+,Andina,Colombia,Barranquilla,Tecnología,Audífonos,MxTech,Audífonos MxTech 446,Email,Seasonal,Desktop,0.221,Normal (4-7d),Muy alto
82,500037,2024-11-10,101794,2047,17,2,48.23,0.08,96.46,51.7,44.76,5,0,4.2,2023-02-26,Premium,55+,Cono Sur,Uruguay,Montevideo,Hogar,Cocina,Pacífico,Cocina Pacífico 311,Email,Seasonal,Desktop,0.464,Normal (4-7d),Alto
83,500038,2024-03-12,100806,2043,13,3,19.62,0.0,58.86,29.03,29.83,3,0,4.5,2023-10-06,Básico,25-34,Centroamérica,Honduras,Tegucigalpa,Libros,No ficción,MxTech,No ficción MxTech 173,Email,Retargeting,Desktop,0.5068,Rápido (<=3d),Medio
84,500038,2024-03-12,100806,2003,13,2,42.44,0.0,84.88,37.21,47.67,4,0,4.4,2023-10-06,Básico,25-34,Centroamérica,Honduras,Tegucigalpa,Libros,No ficción,Andes,No ficción Andes 294,Email,Retargeting,Desktop,0.5616,Normal (4-7d),Alto
85,500039,2025-10-25,100625,2025,10,2,86.78,0.0,173.56,130.12,43.44,3,0,3.6,2023-08-21,Básico,25-34,Caribe,Panamá,Ciudad de Panamá,Tecnología,Cables,Nova,Cables Nova 514,Email,Influencers,Desktop,0.2503,Rápido (<=3d),Muy alto
86,500040,2024-11-16,100602,2050,12,3,31.54,0.0,94.62,63.35,31.27,4,0,3.4,2023-07-25,Básico,45-54,Cono Sur,Argentina,Córdoba,Hogar,Decoración,CaliCo,Decoración CaliCo 438,Afiliados,Always-on,Mobile,0.3305,Normal (4-7d),Alto
87,500041,2025-01-06,100019,2002,10,2,89.24,0.0,178.48,94.36,84.12,3,0,4.4,2024-09-16,Básico,45-54,Pacífica,México,Guadalajara,Moda,Jeans,Pacífico,Jeans Pacífico 642,Email,Influencers,Desktop,0.4713,Rápido (<=3d),Muy alto
88,500041,2025-01-06,100019,2042,10,3,61.29,0.0,183.87,100.74,83.13,3,1,3.2,2024-09-16,Básico,45-54,Pacífica,México,Guadalajara,Moda,Accesorios,Nova,Accesorios Nova 341,Email,Influencers,Desktop,0.4521,Rápido (<=3d),Muy alto
89,500041,2025-01-06,100019,2047,10,2,48.85,0.0,97.7,54.21,43.49,5,0,4.2,2024-09-16,Básico,45-54,Pacífica,México,Guadalajara,Hogar,Cocina,Pacífico,Cocina Pacífico 311,Email,Influencers,Desktop,0.4451,Normal (4-7d),Alto
90,500042,2024-11-14,101347,2037,18,2,24.92,0.05,49.84,25.34,24.5,3,0,4.2,2025-07-28,Plus,55+,Caribe,Panamá,Ciudad de Panamá,Libros,Educación,Pacífico,Educación Pacífico 282,Afiliados,Seasonal,Desktop,0.4916,Rápido (<=3d),Medio
91,500043,2025-01-27,101154,2055,16,2,57.57,0.0,115.14,71.89,43.25,3,0,3.9,2023-07-29,Plus,25-34,Pacífica,México,Monterrey,Deportes,Outdoor,Río,Outdoor Río 996,Referidos,Always-on,Mobile,0.3756,Rápido (<=3d),Alto
92,500044,2025-05-27,101268,2020,19,3,45.79,0.0,137.37,72.93,64.44,4,0,3.9,2025-09-16,Básico,25-34,Pacífica,México,CDMX,Hogar,Limpieza,LimaLab,Limpieza LimaLab 225,Email,Influencers,Desktop,0.4691,Normal (4-7d),Alto
93,500045,2025-08-26,101303,2038,11,3,62.8,0.0,188.4,132.26,56.14,4,0,4.1,2024-04-19,Plus,25-34,Andina,Perú,Arequipa,Hogar,Cocina,Orion,Cocina Orion 295,Afiliados,Always-on,Desktop,0.298,Normal (4-7d),Muy alto
94,500045,2025-08-26,101303,2000,11,1,126.51,0.0,126.51,87.77,38.74,6,0,3.3,2024-04-19,Plus,25-34,Andina,Perú,Arequipa,Tecnología,Teclados,Pacífico,Teclados Pacífico 971,Afiliados,Always-on,Desktop,0.3062,Normal (4-7d),Alto
95,500046,2025-03-10,100054,2022,20,3,167.6,0.0,502.8,337.28,165.52,1,0,5.0,2024-02-20,Básico,35-44,Centroamérica,Guatemala,Ciudad de Guatemala,Tecnología,Monitores,MxTech,Monitores MxTech 521,Búsqueda paga,Lanzamiento,Desktop,0.3292,Rápido (<=3d),Muy alto
96,500047,2024-05-11,101755,2009,18,1,15.54,0.0,15.54,8.55,6.99,6,0,2.6,2024-09-19,Plus,45-54,Pacífica,Chile,Valparaíso,Libros,Ficción,Orion,Ficción Orion 645,Afiliados,Seasonal,Desktop,0.4498,Normal (4-7d),Bajo
